id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
AZ_TEM_00001,Emma's Southwest Grill,restaurant,Emma (Owner),4342 Central Ave,Tempe,AZ,85281,Maricopa,(480) 509-7992,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142624
AZ_TEM_00002,Lisa's Breakfast Spot,breakfast,Lisa (Owner),5297 1st Ave,Tempe,AZ,85281,Maricopa,(480) 926-7395,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142653
AZ_TEM_00003,Mike Restaurant,restaurant,Mike (Owner),3030 Oak St,Tempe,AZ,85281,Maricopa,(480) 414-5650,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142665
AZ_TEM_00004,Luis Burger Joint,burger,Luis (Owner),4121 Broadway,Tempe,AZ,85281,Maricopa,(480) 585-6069,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142674
AZ_TEM_00005,John Taqueria,taqueria,John (Owner),5616 1st Ave,Tempe,AZ,85281,Maricopa,(480) 556-2594,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142683
AZ_TEM_00006,The Pedro Kitchen,restaurant,Pedro (Owner),149 Scottsdale Rd,Tempe,AZ,85281,Maricopa,(480) 584-8152,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142692
AZ_TEM_00007,Rosa Diner,diner,Rosa (Owner),1241 Central Ave,Tempe,AZ,85281,Maricopa,(480) 675-4726,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142704
AZ_TEM_00008,Santiago's Southwest Grill,restaurant,Santiago (Owner),7990 Central Ave,Tempe,AZ,85281,Maricopa,(480) 595-8150,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142712
AZ_TEM_00009,Isabella Burger Joint,burger,Isabella (Owner),3297 Main St,Tempe,AZ,85281,Maricopa,(480) 931-4181,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142720
AZ_TEM_00010,The Santiago Kitchen,restaurant,Santiago (Owner),4406 Broadway,Tempe,AZ,85281,Maricopa,(480) 708-8055,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142730
AZ_TEM_00011,Luis Restaurant,restaurant,Luis (Owner),4558 Apache Blvd,Tempe,AZ,85281,Maricopa,(480) 863-9343,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142739
AZ_TEM_00012,Maria Burger Joint,burger,Maria (Owner),752 Apache Blvd,Tempe,AZ,85281,Maricopa,(480) 256-3287,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142749
AZ_TEM_00013,David's Cafe,cafe,David (Owner),7424 1st Ave,Tempe,AZ,85281,Maricopa,(480) 784-4527,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142757
AZ_TEM_00014,Pedro Taqueria,taqueria,Pedro (Owner),1001 Broadway,Tempe,AZ,85281,Maricopa,(480) 801-3014,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142765
AZ_TEM_00015,Pedro's Cafe,cafe,Pedro (Owner),7309 Broadway,Tempe,AZ,85281,Maricopa,(480) 308-7727,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142774
