id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
AZ_CHA_00001,Miguel Restaurant,restaurant,Miguel (Owner),6586 Main St,Chandler,AZ,85224,Maricopa,(480) 265-8433,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539419
AZ_CHA_00002,Isabella Burger Joint,burger,Isabella (Owner),3642 Main St,Chandler,AZ,85224,Maricopa,(480) 678-9469,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539441
AZ_CHA_00003,The Maria Kitchen,restaurant,Maria (Owner),3253 Pine St,Chandler,AZ,85224,Maricopa,(480) 802-4511,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539448
AZ_CHA_00004,Jose Burger Joint,burger,Jose (Owner),2765 Pine St,Chandler,AZ,85224,Maricopa,(480) 667-5669,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539454
AZ_CHA_00005,Miguel Diner,diner,Miguel (Owner),392 1st Ave,Chandler,AZ,85224,Maricopa,(480) 879-9977,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539460
AZ_CHA_00006,Elena Burger Joint,burger,Elena (Owner),118 Van Buren,Chandler,AZ,85224,Maricopa,(480) 512-4824,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539465
AZ_CHA_00007,Isabella Burger Joint,burger,Isabella (Owner),103 Van Buren,Chandler,AZ,85224,Maricopa,(480) 413-8882,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539471
AZ_CHA_00008,Tony's Breakfast Spot,breakfast,Tony (Owner),5712 Jefferson St,Chandler,AZ,85224,Maricopa,(480) 867-7547,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539476
AZ_CHA_00009,Pedro Taqueria,taqueria,Pedro (Owner),3304 Apache Blvd,Chandler,AZ,85224,Maricopa,(480) 346-8708,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539481
AZ_CHA_00010,Eduardo Restaurant,restaurant,Eduardo (Owner),234 Main St,Chandler,AZ,85224,Maricopa,(480) 588-7718,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539486
AZ_CHA_00011,Juan's Cafe,cafe,Juan (Owner),7810 Scottsdale Rd,Chandler,AZ,85224,Maricopa,(480) 781-9399,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539492
AZ_CHA_00012,Roberto Restaurant,restaurant,Roberto (Owner),8287 Broadway,Chandler,AZ,85224,Maricopa,(480) 943-5766,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539498
AZ_CHA_00013,The Jose Kitchen,restaurant,Jose (Owner),1621 Van Buren,Chandler,AZ,85224,Maricopa,(480) 797-4252,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539503
AZ_CHA_00014,Carlos's Southwest Grill,restaurant,Carlos (Owner),3805 Pine St,Chandler,AZ,85224,Maricopa,(480) 726-4088,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539508
AZ_CHA_00015,Carmen's Breakfast Spot,breakfast,Carmen (Owner),1099 Van Buren,Chandler,AZ,85224,Maricopa,(480) 310-3092,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539514
AZ_CHA_00016,The John Kitchen,restaurant,John (Owner),4882 Oak St,Chandler,AZ,85224,Maricopa,(480) 874-8737,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539519
AZ_CHA_00017,Javier's Southwest Grill,restaurant,Javier (Owner),3218 Apache Blvd,Chandler,AZ,85224,Maricopa,(480) 266-3877,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539524
AZ_CHA_00018,Hector Diner,diner,Hector (Owner),5361 Van Buren,Chandler,AZ,85224,Maricopa,(480) 336-4284,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539530
AZ_CHA_00019,Javier Restaurant,restaurant,Javier (Owner),414 1st Ave,Chandler,AZ,85224,Maricopa,(480) 563-2694,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539536
AZ_CHA_00020,Hector's Cafe,cafe,Hector (Owner),6490 Main St,Chandler,AZ,85224,Maricopa,(480) 482-5886,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539541
AZ_CHA_00021,Tony's Breakfast Spot,breakfast,Tony (Owner),2887 Apache Blvd,Chandler,AZ,85224,Maricopa,(480) 302-9054,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539547
AZ_CHA_00022,Maria's Cafe,cafe,Maria (Owner),3537 Jefferson St,Chandler,AZ,85224,Maricopa,(480) 805-9507,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539552
AZ_CHA_00023,Roberto's Cafe,cafe,Roberto (Owner),3153 Oak St,Chandler,AZ,85224,Maricopa,(480) 713-1719,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539587
AZ_CHA_00024,Sarah Burger Joint,burger,Sarah (Owner),9907 Oak St,Chandler,AZ,85224,Maricopa,(480) 228-6924,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539592
AZ_CHA_00025,Sofia's Southwest Grill,restaurant,Sofia (Owner),3430 Scottsdale Rd,Chandler,AZ,85224,Maricopa,(480) 673-6209,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539597
AZ_CHA_00026,The Francisco Kitchen,restaurant,Francisco (Owner),4750 Scottsdale Rd,Chandler,AZ,85224,Maricopa,(480) 975-9785,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539604
AZ_CHA_00027,Ana Burger Joint,burger,Ana (Owner),2488 Van Buren,Chandler,AZ,85224,Maricopa,(480) 560-7675,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539611
AZ_CHA_00028,Maria's Southwest Grill,restaurant,Maria (Owner),8524 Pine St,Chandler,AZ,85224,Maricopa,(480) 422-3303,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539624
AZ_CHA_00029,Lisa Burger Joint,burger,Lisa (Owner),8633 1st Ave,Chandler,AZ,85224,Maricopa,(480) 977-6848,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539637
AZ_CHA_00030,Lisa Taqueria,taqueria,Lisa (Owner),7345 Van Buren,Chandler,AZ,85224,Maricopa,(480) 558-5044,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539643
AZ_CHA_00031,Elena Diner,diner,Elena (Owner),6574 Van Buren,Chandler,AZ,85224,Maricopa,(480) 775-8124,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539650
AZ_CHA_00032,Lisa Diner,diner,Lisa (Owner),7411 Oak St,Chandler,AZ,85224,Maricopa,(480) 410-2497,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539656
AZ_CHA_00033,Lisa Burger Joint,burger,Lisa (Owner),9198 1st Ave,Chandler,AZ,85224,Maricopa,(480) 287-5280,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539661
AZ_CHA_00034,The Roberto Kitchen,restaurant,Roberto (Owner),6201 Pine St,Chandler,AZ,85224,Maricopa,(480) 700-8886,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539667
AZ_CHA_00035,Maria Restaurant,restaurant,Maria (Owner),2347 Van Buren,Chandler,AZ,85224,Maricopa,(480) 848-2052,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539674
AZ_CHA_00036,Sofia Burger Joint,burger,Sofia (Owner),8782 Oak St,Chandler,AZ,85224,Maricopa,(480) 626-5470,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539682
AZ_CHA_00037,The Tony Kitchen,restaurant,Tony (Owner),4853 Van Buren,Chandler,AZ,85224,Maricopa,(480) 491-7091,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539689
AZ_CHA_00038,Sofia's Cafe,cafe,Sofia (Owner),1308 Apache Blvd,Chandler,AZ,85224,Maricopa,(480) 601-2431,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539696
AZ_CHA_00039,The Ana Kitchen,restaurant,Ana (Owner),6252 Jefferson St,Chandler,AZ,85224,Maricopa,(480) 358-8250,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539703
AZ_CHA_00040,David's Breakfast Spot,breakfast,David (Owner),1571 Apache Blvd,Chandler,AZ,85224,Maricopa,(480) 863-9477,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539708
AZ_CHA_00041,Mike Burger Joint,burger,Mike (Owner),3502 Jefferson St,Chandler,AZ,85224,Maricopa,(480) 813-1718,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539713
AZ_CHA_00042,Santiago Burger Joint,burger,Santiago (Owner),8534 Central Ave,Chandler,AZ,85224,Maricopa,(480) 588-6062,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539719
AZ_CHA_00043,Sofia Burger Joint,burger,Sofia (Owner),3028 Oak St,Chandler,AZ,85224,Maricopa,(480) 830-5018,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539723
AZ_CHA_00044,Carmen's Cafe,cafe,Carmen (Owner),5735 Oak St,Chandler,AZ,85224,Maricopa,(480) 884-1529,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539728
AZ_CHA_00045,Diego Taqueria,taqueria,Diego (Owner),6016 Apache Blvd,Chandler,AZ,85224,Maricopa,(480) 340-8520,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539733
AZ_CHA_00046,The Roberto Kitchen,restaurant,Roberto (Owner),7256 Central Ave,Chandler,AZ,85224,Maricopa,(480) 745-1073,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539739
AZ_CHA_00047,Isabella Taqueria,taqueria,Isabella (Owner),1409 Broadway,Chandler,AZ,85224,Maricopa,(480) 426-9178,,,B,R2-D2 AZ scrape Chandler,2026-02-28T17:27:40.539744
