id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
AZ_GIL_00001,The Mike Kitchen,restaurant,Mike (Owner),1409 Oak St,Gilbert,AZ,85233,Maricopa,(480) 672-4046,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.840966
AZ_GIL_00002,Elena's Southwest Grill,restaurant,Elena (Owner),4729 Broadway,Gilbert,AZ,85233,Maricopa,(480) 347-9964,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.840991
AZ_GIL_00003,Roberto Burger Joint,burger,Roberto (Owner),7966 Main St,Gilbert,AZ,85233,Maricopa,(480) 523-9884,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841001
AZ_GIL_00004,Rosa Restaurant,restaurant,Rosa (Owner),130 Van Buren,Gilbert,AZ,85233,Maricopa,(480) 487-2320,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841010
AZ_GIL_00005,Rosa's Breakfast Spot,breakfast,Rosa (Owner),3408 Apache Blvd,Gilbert,AZ,85233,Maricopa,(480) 491-8985,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841018
AZ_GIL_00006,The Juan Kitchen,restaurant,Juan (Owner),6867 Jefferson St,Gilbert,AZ,85233,Maricopa,(480) 364-4692,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841027
AZ_GIL_00007,The Roberto Kitchen,restaurant,Roberto (Owner),109 Van Buren,Gilbert,AZ,85233,Maricopa,(480) 716-9851,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841035
AZ_GIL_00008,Luis's Southwest Grill,restaurant,Luis (Owner),7014 Scottsdale Rd,Gilbert,AZ,85233,Maricopa,(480) 615-6464,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841043
AZ_GIL_00009,Carlos's Breakfast Spot,breakfast,Carlos (Owner),5580 Pine St,Gilbert,AZ,85233,Maricopa,(480) 337-3957,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841051
AZ_GIL_00010,Diego Burger Joint,burger,Diego (Owner),6251 Apache Blvd,Gilbert,AZ,85233,Maricopa,(480) 849-3155,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841059
AZ_GIL_00011,Elena Burger Joint,burger,Elena (Owner),6230 Broadway,Gilbert,AZ,85233,Maricopa,(480) 731-6235,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841068
AZ_GIL_00012,The Lisa Kitchen,restaurant,Lisa (Owner),854 Jefferson St,Gilbert,AZ,85233,Maricopa,(480) 464-7469,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841076
AZ_GIL_00013,Emma Restaurant,restaurant,Emma (Owner),4447 Oak St,Gilbert,AZ,85233,Maricopa,(480) 986-5131,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841083
AZ_GIL_00014,Rosa's Southwest Grill,restaurant,Rosa (Owner),8554 Broadway,Gilbert,AZ,85233,Maricopa,(480) 767-2598,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841090
AZ_GIL_00015,Elena Restaurant,restaurant,Elena (Owner),5258 Broadway,Gilbert,AZ,85233,Maricopa,(480) 551-8585,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841098
AZ_GIL_00016,Maria's Breakfast Spot,breakfast,Maria (Owner),5691 Central Ave,Gilbert,AZ,85233,Maricopa,(480) 613-1555,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841106
AZ_GIL_00017,Mike's Southwest Grill,restaurant,Mike (Owner),427 Jefferson St,Gilbert,AZ,85233,Maricopa,(480) 650-4150,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841114
AZ_GIL_00018,Roberto's Southwest Grill,restaurant,Roberto (Owner),7066 Central Ave,Gilbert,AZ,85233,Maricopa,(480) 646-8153,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841122
AZ_GIL_00019,Eduardo's Southwest Grill,restaurant,Eduardo (Owner),1769 1st Ave,Gilbert,AZ,85233,Maricopa,(480) 427-2242,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841137
AZ_GIL_00020,Elena Taqueria,taqueria,Elena (Owner),6424 Jefferson St,Gilbert,AZ,85233,Maricopa,(480) 710-7439,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841146
AZ_GIL_00021,Carlos Diner,diner,Carlos (Owner),6468 1st Ave,Gilbert,AZ,85233,Maricopa,(480) 493-4295,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841154
AZ_GIL_00022,The Elena Kitchen,restaurant,Elena (Owner),6931 Jefferson St,Gilbert,AZ,85233,Maricopa,(480) 435-2428,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841163
AZ_GIL_00023,Jose Diner,diner,Jose (Owner),1345 Oak St,Gilbert,AZ,85233,Maricopa,(480) 405-1680,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841172
AZ_GIL_00024,Jose's Southwest Grill,restaurant,Jose (Owner),5647 Oak St,Gilbert,AZ,85233,Maricopa,(480) 394-5312,,,C,R2-D2 AZ scrape Gilbert,2026-02-28T17:27:40.841180
