id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
AZ_GLE_00001,John's Cafe,cafe,John (Owner),7768 1st Ave,Glendale,AZ,85301,Maricopa,(623) 577-3937,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237293
AZ_GLE_00002,Lisa's Breakfast Spot,breakfast,Lisa (Owner),5716 Broadway,Glendale,AZ,85301,Maricopa,(623) 696-8135,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237319
AZ_GLE_00003,Miguel's Cafe,cafe,Miguel (Owner),8005 Central Ave,Glendale,AZ,85301,Maricopa,(623) 411-8507,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237331
AZ_GLE_00004,Hector's Southwest Grill,restaurant,Hector (Owner),6943 Van Buren,Glendale,AZ,85301,Maricopa,(623) 844-3170,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237341
AZ_GLE_00005,Eduardo's Cafe,cafe,Eduardo (Owner),8664 Pine St,Glendale,AZ,85301,Maricopa,(623) 832-1767,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237350
AZ_GLE_00006,Francisco's Cafe,cafe,Francisco (Owner),6966 Central Ave,Glendale,AZ,85301,Maricopa,(623) 318-5411,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237358
AZ_GLE_00007,Sofia Restaurant,restaurant,Sofia (Owner),1330 Central Ave,Glendale,AZ,85301,Maricopa,(623) 440-6607,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237371
AZ_GLE_00008,Mike's Cafe,cafe,Mike (Owner),9265 Central Ave,Glendale,AZ,85301,Maricopa,(623) 766-8365,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237379
AZ_GLE_00009,Tony Restaurant,restaurant,Tony (Owner),7236 Jefferson St,Glendale,AZ,85301,Maricopa,(623) 390-7305,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237387
AZ_GLE_00010,Lisa's Breakfast Spot,breakfast,Lisa (Owner),4308 Apache Blvd,Glendale,AZ,85301,Maricopa,(623) 719-6388,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237395
AZ_GLE_00011,Jose Taqueria,taqueria,Jose (Owner),1932 Broadway,Glendale,AZ,85301,Maricopa,(623) 953-6017,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237404
AZ_GLE_00012,John Burger Joint,burger,John (Owner),8706 Jefferson St,Glendale,AZ,85301,Maricopa,(623) 850-8204,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237413
AZ_GLE_00013,The Miguel Kitchen,restaurant,Miguel (Owner),9743 Oak St,Glendale,AZ,85301,Maricopa,(623) 828-1067,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237421
AZ_GLE_00014,Eduardo Burger Joint,burger,Eduardo (Owner),4156 Central Ave,Glendale,AZ,85301,Maricopa,(623) 295-8235,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237428
AZ_GLE_00015,David Taqueria,taqueria,David (Owner),5126 Van Buren,Glendale,AZ,85301,Maricopa,(623) 785-5747,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237436
AZ_GLE_00016,Juan Diner,diner,Juan (Owner),8875 Pine St,Glendale,AZ,85301,Maricopa,(623) 837-6360,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237444
AZ_GLE_00017,Rosa Restaurant,restaurant,Rosa (Owner),1371 Oak St,Glendale,AZ,85301,Maricopa,(623) 406-7269,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237452
AZ_GLE_00018,Ana's Cafe,cafe,Ana (Owner),6714 Broadway,Glendale,AZ,85301,Maricopa,(623) 897-3641,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237460
AZ_GLE_00019,Jose Diner,diner,Jose (Owner),3976 Pine St,Glendale,AZ,85301,Maricopa,(623) 227-2292,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237468
AZ_GLE_00020,Jose Taqueria,taqueria,Jose (Owner),7712 Broadway,Glendale,AZ,85301,Maricopa,(623) 329-1087,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237476
AZ_GLE_00021,Miguel's Southwest Grill,restaurant,Miguel (Owner),6507 Scottsdale Rd,Glendale,AZ,85301,Maricopa,(623) 501-1614,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237485
AZ_GLE_00022,Diego Taqueria,taqueria,Diego (Owner),9031 Van Buren,Glendale,AZ,85301,Maricopa,(623) 842-9649,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237492
AZ_GLE_00023,Roberto Diner,diner,Roberto (Owner),1585 1st Ave,Glendale,AZ,85301,Maricopa,(623) 340-7783,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237500
AZ_GLE_00024,Javier Taqueria,taqueria,Javier (Owner),7367 Scottsdale Rd,Glendale,AZ,85301,Maricopa,(623) 247-4201,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237507
AZ_GLE_00025,Roberto Restaurant,restaurant,Roberto (Owner),1952 Van Buren,Glendale,AZ,85301,Maricopa,(623) 653-2503,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237514
AZ_GLE_00026,Eduardo's Southwest Grill,restaurant,Eduardo (Owner),3574 Jefferson St,Glendale,AZ,85301,Maricopa,(623) 852-8664,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237522
AZ_GLE_00027,Lisa Taqueria,taqueria,Lisa (Owner),1401 Central Ave,Glendale,AZ,85301,Maricopa,(623) 693-9639,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237530
AZ_GLE_00028,Pedro's Cafe,cafe,Pedro (Owner),8488 Oak St,Glendale,AZ,85301,Maricopa,(623) 547-6490,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237537
AZ_GLE_00029,Santiago Taqueria,taqueria,Santiago (Owner),6546 Apache Blvd,Glendale,AZ,85301,Maricopa,(623) 833-9610,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237544
AZ_GLE_00030,Roberto's Breakfast Spot,breakfast,Roberto (Owner),4716 Jefferson St,Glendale,AZ,85301,Maricopa,(623) 544-1399,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237551
AZ_GLE_00031,Francisco's Southwest Grill,restaurant,Francisco (Owner),3619 Jefferson St,Glendale,AZ,85301,Maricopa,(623) 670-7728,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237624
AZ_GLE_00032,Mike's Cafe,cafe,Mike (Owner),6462 Central Ave,Glendale,AZ,85301,Maricopa,(623) 625-3095,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237632
AZ_GLE_00033,Carmen's Cafe,cafe,Carmen (Owner),5506 Main St,Glendale,AZ,85301,Maricopa,(623) 941-1757,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237639
AZ_GLE_00034,Maria's Breakfast Spot,breakfast,Maria (Owner),4263 Apache Blvd,Glendale,AZ,85301,Maricopa,(623) 911-7765,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237648
AZ_GLE_00035,Carlos's Cafe,cafe,Carlos (Owner),3170 Oak St,Glendale,AZ,85301,Maricopa,(623) 567-5690,,,B,R2-D2 AZ scrape Glendale,2026-02-28T17:27:40.237655
