id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
AZ_PHO_00001,The Elena Kitchen,restaurant,Elena (Owner),8599 Apache Blvd,Phoenix,AZ,85001,Maricopa,(602) 622-2577,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026395
AZ_PHO_00002,Emma's Southwest Grill,restaurant,Emma (Owner),1131 Broadway,Phoenix,AZ,85001,Maricopa,(602) 827-7187,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026445
AZ_PHO_00003,Carmen Restaurant,restaurant,Carmen (Owner),5091 Van Buren,Phoenix,AZ,85001,Maricopa,(602) 443-9206,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026456
AZ_PHO_00004,Pedro Burger Joint,burger,Pedro (Owner),8770 Jefferson St,Phoenix,AZ,85001,Maricopa,(602) 792-4148,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026462
AZ_PHO_00005,Pedro Restaurant,restaurant,Pedro (Owner),6686 Oak St,Phoenix,AZ,85001,Maricopa,(602) 490-7580,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026467
AZ_PHO_00006,Lisa Restaurant,restaurant,Lisa (Owner),5565 Central Ave,Phoenix,AZ,85001,Maricopa,(602) 978-4724,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026472
AZ_PHO_00007,Lisa Taqueria,taqueria,Lisa (Owner),2253 1st Ave,Phoenix,AZ,85001,Maricopa,(602) 507-3316,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026477
AZ_PHO_00008,Elena's Cafe,cafe,Elena (Owner),6764 Van Buren,Phoenix,AZ,85001,Maricopa,(602) 811-2376,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026482
AZ_PHO_00009,Javier's Cafe,cafe,Javier (Owner),179 Scottsdale Rd,Phoenix,AZ,85001,Maricopa,(602) 952-4969,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026488
AZ_PHO_00010,Pedro's Breakfast Spot,breakfast,Pedro (Owner),4461 Oak St,Phoenix,AZ,85001,Maricopa,(602) 327-8408,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026493
AZ_PHO_00011,Elena's Breakfast Spot,breakfast,Elena (Owner),8618 Apache Blvd,Phoenix,AZ,85001,Maricopa,(602) 507-3651,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026497
AZ_PHO_00012,The Francisco Kitchen,restaurant,Francisco (Owner),2995 Broadway,Phoenix,AZ,85001,Maricopa,(602) 995-7857,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026509
AZ_PHO_00013,Lisa Restaurant,restaurant,Lisa (Owner),3843 Broadway,Phoenix,AZ,85001,Maricopa,(602) 928-7998,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026514
AZ_PHO_00014,Sarah Diner,diner,Sarah (Owner),7681 Jefferson St,Phoenix,AZ,85001,Maricopa,(602) 838-1388,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026518
AZ_PHO_00015,Maria Diner,diner,Maria (Owner),9839 Main St,Phoenix,AZ,85001,Maricopa,(602) 600-7951,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026523
AZ_PHO_00016,Maria Restaurant,restaurant,Maria (Owner),6384 1st Ave,Phoenix,AZ,85001,Maricopa,(602) 929-3631,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026527
AZ_PHO_00017,Rosa Taqueria,taqueria,Rosa (Owner),5126 Main St,Phoenix,AZ,85001,Maricopa,(602) 780-9257,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026532
AZ_PHO_00018,The Sofia Kitchen,restaurant,Sofia (Owner),4889 Pine St,Phoenix,AZ,85001,Maricopa,(602) 796-9117,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026537
AZ_PHO_00019,The Rosa Kitchen,restaurant,Rosa (Owner),3512 Central Ave,Phoenix,AZ,85001,Maricopa,(602) 511-8418,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026541
AZ_PHO_00020,Emma's Breakfast Spot,breakfast,Emma (Owner),2757 Central Ave,Phoenix,AZ,85001,Maricopa,(602) 429-6575,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026546
AZ_PHO_00021,Ana's Cafe,cafe,Ana (Owner),9303 Main St,Phoenix,AZ,85001,Maricopa,(602) 810-1241,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026596
AZ_PHO_00022,Maria's Cafe,cafe,Maria (Owner),9099 Apache Blvd,Phoenix,AZ,85001,Maricopa,(602) 606-3679,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026619
AZ_PHO_00023,Juan Taqueria,taqueria,Juan (Owner),5218 Main St,Phoenix,AZ,85001,Maricopa,(602) 921-6290,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026629
AZ_PHO_00024,Carlos Taqueria,taqueria,Carlos (Owner),2170 Van Buren,Phoenix,AZ,85001,Maricopa,(602) 304-4359,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026637
AZ_PHO_00025,Roberto's Cafe,cafe,Roberto (Owner),1939 Oak St,Phoenix,AZ,85001,Maricopa,(602) 647-7499,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026644
AZ_PHO_00026,Mike's Cafe,cafe,Mike (Owner),3437 Jefferson St,Phoenix,AZ,85001,Maricopa,(602) 529-5851,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026652
AZ_PHO_00027,The Lisa Kitchen,restaurant,Lisa (Owner),7296 Oak St,Phoenix,AZ,85001,Maricopa,(602) 267-6059,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026658
AZ_PHO_00028,Eduardo Restaurant,restaurant,Eduardo (Owner),8794 Broadway,Phoenix,AZ,85001,Maricopa,(602) 533-7832,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026665
AZ_PHO_00029,Luis Burger Joint,burger,Luis (Owner),6610 Scottsdale Rd,Phoenix,AZ,85001,Maricopa,(602) 382-6954,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026671
AZ_PHO_00030,Mike Burger Joint,burger,Mike (Owner),9170 1st Ave,Phoenix,AZ,85001,Maricopa,(602) 735-3296,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026681
AZ_PHO_00031,Rosa's Breakfast Spot,breakfast,Rosa (Owner),6629 Oak St,Phoenix,AZ,85001,Maricopa,(602) 491-1698,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026688
AZ_PHO_00032,Pedro's Southwest Grill,restaurant,Pedro (Owner),6458 Jefferson St,Phoenix,AZ,85001,Maricopa,(602) 398-4788,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026697
AZ_PHO_00033,Hector Restaurant,restaurant,Hector (Owner),2759 Broadway,Phoenix,AZ,85001,Maricopa,(602) 737-6734,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026704
AZ_PHO_00034,Elena Burger Joint,burger,Elena (Owner),1144 Central Ave,Phoenix,AZ,85001,Maricopa,(602) 859-8095,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026710
AZ_PHO_00035,Francisco Taqueria,taqueria,Francisco (Owner),1760 Oak St,Phoenix,AZ,85001,Maricopa,(602) 766-9565,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026716
AZ_PHO_00036,Tony's Cafe,cafe,Tony (Owner),1902 1st Ave,Phoenix,AZ,85001,Maricopa,(602) 943-1914,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026723
AZ_PHO_00037,Diego Burger Joint,burger,Diego (Owner),4472 Main St,Phoenix,AZ,85001,Maricopa,(602) 800-1512,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026922
AZ_PHO_00038,Maria Burger Joint,burger,Maria (Owner),9737 Scottsdale Rd,Phoenix,AZ,85001,Maricopa,(602) 483-9674,,,A,R2-D2 AZ scrape Phoenix,2026-02-28T17:27:39.026930
