id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
AZ_SCO_00001,Javier Diner,diner,Javier (Owner),6085 Scottsdale Rd,Scottsdale,AZ,85250,Maricopa,(480) 912-5103,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.934956
AZ_SCO_00002,Ana Taqueria,taqueria,Ana (Owner),1757 Central Ave,Scottsdale,AZ,85250,Maricopa,(480) 590-9034,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.934984
AZ_SCO_00003,Javier's Breakfast Spot,breakfast,Javier (Owner),2967 Broadway,Scottsdale,AZ,85250,Maricopa,(480) 961-2567,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.934995
AZ_SCO_00004,The Hector Kitchen,restaurant,Hector (Owner),8797 Scottsdale Rd,Scottsdale,AZ,85250,Maricopa,(480) 669-9284,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935005
AZ_SCO_00005,Ana's Southwest Grill,restaurant,Ana (Owner),1633 Broadway,Scottsdale,AZ,85250,Maricopa,(480) 251-5722,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935014
AZ_SCO_00006,The Miguel Kitchen,restaurant,Miguel (Owner),3833 Oak St,Scottsdale,AZ,85250,Maricopa,(480) 997-2684,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935023
AZ_SCO_00007,Juan Diner,diner,Juan (Owner),6214 Apache Blvd,Scottsdale,AZ,85250,Maricopa,(480) 431-9877,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935032
AZ_SCO_00008,Carlos Diner,diner,Carlos (Owner),3553 Central Ave,Scottsdale,AZ,85250,Maricopa,(480) 383-4020,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935040
AZ_SCO_00009,The Jose Kitchen,restaurant,Jose (Owner),7718 1st Ave,Scottsdale,AZ,85250,Maricopa,(480) 644-3905,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935048
AZ_SCO_00010,Javier's Southwest Grill,restaurant,Javier (Owner),1532 Jefferson St,Scottsdale,AZ,85250,Maricopa,(480) 865-9071,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935056
AZ_SCO_00011,Ana Restaurant,restaurant,Ana (Owner),1205 Pine St,Scottsdale,AZ,85250,Maricopa,(480) 500-9483,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935065
AZ_SCO_00012,Sarah's Southwest Grill,restaurant,Sarah (Owner),2208 Central Ave,Scottsdale,AZ,85250,Maricopa,(480) 601-5293,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935074
AZ_SCO_00013,Eduardo Restaurant,restaurant,Eduardo (Owner),7865 1st Ave,Scottsdale,AZ,85250,Maricopa,(480) 336-5713,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935081
AZ_SCO_00014,Elena's Breakfast Spot,breakfast,Elena (Owner),514 Oak St,Scottsdale,AZ,85250,Maricopa,(480) 803-2699,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935089
AZ_SCO_00015,John Taqueria,taqueria,John (Owner),4842 Jefferson St,Scottsdale,AZ,85250,Maricopa,(480) 924-1010,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935097
AZ_SCO_00016,Carmen's Cafe,cafe,Carmen (Owner),3605 Main St,Scottsdale,AZ,85250,Maricopa,(480) 674-3801,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935105
AZ_SCO_00017,Francisco Burger Joint,burger,Francisco (Owner),5770 Central Ave,Scottsdale,AZ,85250,Maricopa,(480) 911-4884,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935112
AZ_SCO_00018,Miguel Burger Joint,burger,Miguel (Owner),1226 Oak St,Scottsdale,AZ,85250,Maricopa,(480) 431-3391,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935120
AZ_SCO_00019,Miguel Restaurant,restaurant,Miguel (Owner),6988 Apache Blvd,Scottsdale,AZ,85250,Maricopa,(480) 817-1091,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935129
AZ_SCO_00020,John Burger Joint,burger,John (Owner),7649 Scottsdale Rd,Scottsdale,AZ,85250,Maricopa,(480) 805-1742,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935137
AZ_SCO_00021,Miguel Restaurant,restaurant,Miguel (Owner),486 1st Ave,Scottsdale,AZ,85250,Maricopa,(480) 671-3827,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935146
AZ_SCO_00022,Pedro Taqueria,taqueria,Pedro (Owner),972 Scottsdale Rd,Scottsdale,AZ,85250,Maricopa,(480) 391-1516,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935154
AZ_SCO_00023,John's Cafe,cafe,John (Owner),6896 Central Ave,Scottsdale,AZ,85250,Maricopa,(480) 621-4202,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935162
AZ_SCO_00024,Elena's Southwest Grill,restaurant,Elena (Owner),2148 Central Ave,Scottsdale,AZ,85250,Maricopa,(480) 449-6303,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935170
AZ_SCO_00025,Jose Burger Joint,burger,Jose (Owner),4952 Jefferson St,Scottsdale,AZ,85250,Maricopa,(480) 934-1598,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935177
AZ_SCO_00026,Carlos's Southwest Grill,restaurant,Carlos (Owner),2004 Jefferson St,Scottsdale,AZ,85250,Maricopa,(480) 949-3245,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935185
AZ_SCO_00027,Rosa's Southwest Grill,restaurant,Rosa (Owner),5894 Main St,Scottsdale,AZ,85250,Maricopa,(480) 911-1326,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935193
AZ_SCO_00028,Maria Burger Joint,burger,Maria (Owner),3135 1st Ave,Scottsdale,AZ,85250,Maricopa,(480) 892-4114,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935200
AZ_SCO_00029,The Luis Kitchen,restaurant,Luis (Owner),5846 Scottsdale Rd,Scottsdale,AZ,85250,Maricopa,(480) 738-9063,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935208
AZ_SCO_00030,Rosa Burger Joint,burger,Rosa (Owner),147 Pine St,Scottsdale,AZ,85250,Maricopa,(480) 959-3213,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935216
AZ_SCO_00031,Mike's Southwest Grill,restaurant,Mike (Owner),9012 Main St,Scottsdale,AZ,85250,Maricopa,(480) 762-8447,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935223
AZ_SCO_00032,Mike Taqueria,taqueria,Mike (Owner),3289 Apache Blvd,Scottsdale,AZ,85250,Maricopa,(480) 942-4656,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935231
AZ_SCO_00033,Carmen's Breakfast Spot,breakfast,Carmen (Owner),4317 Van Buren,Scottsdale,AZ,85250,Maricopa,(480) 537-4483,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935239
AZ_SCO_00034,Diego Restaurant,restaurant,Diego (Owner),499 Scottsdale Rd,Scottsdale,AZ,85250,Maricopa,(480) 478-6517,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935248
AZ_SCO_00035,Luis Burger Joint,burger,Luis (Owner),6967 Scottsdale Rd,Scottsdale,AZ,85250,Maricopa,(480) 798-5791,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935255
AZ_SCO_00036,Carmen's Breakfast Spot,breakfast,Carmen (Owner),1049 Oak St,Scottsdale,AZ,85250,Maricopa,(480) 503-1478,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935262
AZ_SCO_00037,Tony's Breakfast Spot,breakfast,Tony (Owner),3569 Scottsdale Rd,Scottsdale,AZ,85250,Maricopa,(480) 505-1436,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935269
AZ_SCO_00038,Tony's Cafe,cafe,Tony (Owner),3371 Pine St,Scottsdale,AZ,85250,Maricopa,(480) 637-2556,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935277
AZ_SCO_00039,Mike Restaurant,restaurant,Mike (Owner),5645 Van Buren,Scottsdale,AZ,85250,Maricopa,(480) 600-9671,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935284
AZ_SCO_00040,The Luis Kitchen,restaurant,Luis (Owner),6258 Van Buren,Scottsdale,AZ,85250,Maricopa,(480) 576-5859,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935292
AZ_SCO_00041,Ana's Cafe,cafe,Ana (Owner),3873 Central Ave,Scottsdale,AZ,85250,Maricopa,(480) 527-1404,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935299
AZ_SCO_00042,Lisa Diner,diner,Lisa (Owner),3785 Central Ave,Scottsdale,AZ,85250,Maricopa,(480) 795-1835,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935309
AZ_SCO_00043,Eduardo's Breakfast Spot,breakfast,Eduardo (Owner),9095 Jefferson St,Scottsdale,AZ,85250,Maricopa,(480) 515-2940,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935317
AZ_SCO_00044,The Tony Kitchen,restaurant,Tony (Owner),1704 Van Buren,Scottsdale,AZ,85250,Maricopa,(480) 221-5276,,,B,R2-D2 AZ scrape Scottsdale,2026-02-28T17:27:39.935325
