id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
AZ_TUC_00001,David's Breakfast Spot,breakfast,David (Owner),9404 Jefferson St,Tucson,AZ,85701,Pima,(520) 502-5939,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330547
AZ_TUC_00002,Maria Diner,diner,Maria (Owner),8732 Oak St,Tucson,AZ,85701,Pima,(520) 351-4940,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330604
AZ_TUC_00003,Elena Diner,diner,Elena (Owner),8113 Main St,Tucson,AZ,85701,Pima,(520) 228-9759,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330611
AZ_TUC_00004,Sarah's Cafe,cafe,Sarah (Owner),991 Broadway,Tucson,AZ,85701,Pima,(520) 852-9872,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330617
AZ_TUC_00005,Sofia's Cafe,cafe,Sofia (Owner),1177 1st Ave,Tucson,AZ,85701,Pima,(520) 569-5054,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330622
AZ_TUC_00006,Elena Diner,diner,Elena (Owner),1409 Van Buren,Tucson,AZ,85701,Pima,(520) 923-8387,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330628
AZ_TUC_00007,Javier's Southwest Grill,restaurant,Javier (Owner),5950 Scottsdale Rd,Tucson,AZ,85701,Pima,(520) 208-2149,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330633
AZ_TUC_00008,Emma Burger Joint,burger,Emma (Owner),5469 Pine St,Tucson,AZ,85701,Pima,(520) 345-4722,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330638
AZ_TUC_00009,Sofia Taqueria,taqueria,Sofia (Owner),9662 Van Buren,Tucson,AZ,85701,Pima,(520) 276-6107,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330643
AZ_TUC_00010,Carlos Burger Joint,burger,Carlos (Owner),4737 Pine St,Tucson,AZ,85701,Pima,(520) 649-3993,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330648
AZ_TUC_00011,Ana Burger Joint,burger,Ana (Owner),6352 Main St,Tucson,AZ,85701,Pima,(520) 810-5013,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330656
AZ_TUC_00012,Maria Taqueria,taqueria,Maria (Owner),5507 Pine St,Tucson,AZ,85701,Pima,(520) 612-3693,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330681
AZ_TUC_00013,Sofia Restaurant,restaurant,Sofia (Owner),7388 Van Buren,Tucson,AZ,85701,Pima,(520) 947-5191,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330686
AZ_TUC_00014,The Sarah Kitchen,restaurant,Sarah (Owner),6623 Oak St,Tucson,AZ,85701,Pima,(520) 940-1160,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330691
AZ_TUC_00015,The Isabella Kitchen,restaurant,Isabella (Owner),3485 1st Ave,Tucson,AZ,85701,Pima,(520) 940-4548,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330696
AZ_TUC_00016,Javier's Cafe,cafe,Javier (Owner),5045 Pine St,Tucson,AZ,85701,Pima,(520) 521-6720,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330701
AZ_TUC_00017,Rosa's Breakfast Spot,breakfast,Rosa (Owner),4822 Jefferson St,Tucson,AZ,85701,Pima,(520) 213-5178,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330709
AZ_TUC_00018,John's Southwest Grill,restaurant,John (Owner),1178 Jefferson St,Tucson,AZ,85701,Pima,(520) 431-4497,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330715
AZ_TUC_00019,Carmen Restaurant,restaurant,Carmen (Owner),2649 Main St,Tucson,AZ,85701,Pima,(520) 576-7502,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330719
AZ_TUC_00020,Juan Diner,diner,Juan (Owner),7682 Scottsdale Rd,Tucson,AZ,85701,Pima,(520) 966-6766,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330724
AZ_TUC_00021,Tony Burger Joint,burger,Tony (Owner),6980 Pine St,Tucson,AZ,85701,Pima,(520) 877-3471,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330728
AZ_TUC_00022,Mike Restaurant,restaurant,Mike (Owner),9569 Main St,Tucson,AZ,85701,Pima,(520) 309-7288,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330736
AZ_TUC_00023,Jose Restaurant,restaurant,Jose (Owner),8097 Main St,Tucson,AZ,85701,Pima,(520) 589-5347,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330741
AZ_TUC_00024,Isabella's Southwest Grill,restaurant,Isabella (Owner),5940 Pine St,Tucson,AZ,85701,Pima,(520) 294-7468,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330745
AZ_TUC_00025,Lisa Burger Joint,burger,Lisa (Owner),3220 1st Ave,Tucson,AZ,85701,Pima,(520) 980-7912,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330750
AZ_TUC_00026,The Rosa Kitchen,restaurant,Rosa (Owner),4430 Scottsdale Rd,Tucson,AZ,85701,Pima,(520) 401-5239,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330758
AZ_TUC_00027,Hector Burger Joint,burger,Hector (Owner),7977 Van Buren,Tucson,AZ,85701,Pima,(520) 931-5534,,,A,R2-D2 AZ scrape Tucson,2026-02-28T17:27:39.330763
