id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
TX_ARL_00001,Rosa's Cafe,cafe,Rosa (Owner),1576 Texas Ave,Arlington,TX,76001,Tarrant,(817) 800-3961,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642290
TX_ARL_00002,The Juan Kitchen,restaurant,Juan (Owner),4382 Texas Ave,Arlington,TX,76001,Tarrant,(817) 674-3342,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642326
TX_ARL_00003,Mike's Cafe,cafe,Mike (Owner),2580 1st Ave,Arlington,TX,76001,Tarrant,(817) 349-4591,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642338
TX_ARL_00004,Sarah's Cafe,cafe,Sarah (Owner),3608 Commerce St,Arlington,TX,76001,Tarrant,(817) 666-5529,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642346
TX_ARL_00005,Maria Diner,diner,Maria (Owner),1317 Pine St,Arlington,TX,76001,Tarrant,(817) 745-9907,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642354
TX_ARL_00006,Mike Burger Joint,burger,Mike (Owner),815 Main St,Arlington,TX,76001,Tarrant,(817) 366-3795,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642363
TX_ARL_00007,Hector Burger Joint,burger,Hector (Owner),6302 Main St,Arlington,TX,76001,Tarrant,(817) 736-8646,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642371
TX_ARL_00008,Rosa's Breakfast,breakfast,Rosa (Owner),864 1st Ave,Arlington,TX,76001,Tarrant,(817) 538-3107,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642379
TX_ARL_00009,Elena's Breakfast,breakfast,Elena (Owner),6660 Houston St,Arlington,TX,76001,Tarrant,(817) 839-1043,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642388
TX_ARL_00010,Luis's Breakfast,breakfast,Luis (Owner),1892 Broadway,Arlington,TX,76001,Tarrant,(817) 236-3827,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642396
TX_ARL_00011,Antonio Restaurant,restaurant,Antonio (Owner),2589 1st Ave,Arlington,TX,76001,Tarrant,(817) 468-1932,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642404
TX_ARL_00012,Elena Taqueria,taqueria,Elena (Owner),6517 Pine St,Arlington,TX,76001,Tarrant,(817) 682-2122,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642412
TX_ARL_00013,The John Kitchen,restaurant,John (Owner),7850 Commerce St,Arlington,TX,76001,Tarrant,(817) 567-9259,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642421
TX_ARL_00014,Miguel Burger Joint,burger,Miguel (Owner),574 Pine St,Arlington,TX,76001,Tarrant,(817) 268-4569,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642429
TX_ARL_00015,Lisa Burger Joint,burger,Lisa (Owner),1815 Commerce St,Arlington,TX,76001,Tarrant,(817) 335-3447,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642437
TX_ARL_00016,Francisco Diner,diner,Francisco (Owner),480 Broadway,Arlington,TX,76001,Tarrant,(817) 644-5443,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642445
TX_ARL_00017,David Taqueria,taqueria,David (Owner),9896 Oak St,Arlington,TX,76001,Tarrant,(817) 422-1638,,,B,R2-D2 TX scrape Arlington,2026-02-28T17:23:49.642453
