id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
TX_COR_00001,Mike Diner,diner,Mike (Owner),3459 Broadway,Corpus Christi,TX,78401,Nueces,(361) 847-5343,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144329
TX_COR_00002,Sarah Diner,diner,Sarah (Owner),109 Oak St,Corpus Christi,TX,78401,Nueces,(361) 656-2212,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144355
TX_COR_00003,Sofia Restaurant,restaurant,Sofia (Owner),5287 1st Ave,Corpus Christi,TX,78401,Nueces,(361) 276-2176,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144363
TX_COR_00004,Pedro Burger Joint,burger,Pedro (Owner),5601 Houston St,Corpus Christi,TX,78401,Nueces,(361) 331-5251,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144369
TX_COR_00005,The Carmen Kitchen,restaurant,Carmen (Owner),2621 Texas Ave,Corpus Christi,TX,78401,Nueces,(361) 326-5820,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144374
TX_COR_00006,Sofia Burger Joint,burger,Sofia (Owner),1894 Pine St,Corpus Christi,TX,78401,Nueces,(361) 329-5058,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144379
TX_COR_00007,Carlos Diner,diner,Carlos (Owner),766 1st Ave,Corpus Christi,TX,78401,Nueces,(361) 522-8889,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144384
TX_COR_00008,Maria's Breakfast,breakfast,Maria (Owner),357 Main St,Corpus Christi,TX,78401,Nueces,(361) 750-6764,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144389
TX_COR_00009,Guadalupe Burger Joint,burger,Guadalupe (Owner),1373 Texas Ave,Corpus Christi,TX,78401,Nueces,(361) 687-8083,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144393
TX_COR_00010,Carmen Burger Joint,burger,Carmen (Owner),9053 Houston St,Corpus Christi,TX,78401,Nueces,(361) 839-3345,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144399
TX_COR_00011,Carmen Taqueria,taqueria,Carmen (Owner),8600 Market St,Corpus Christi,TX,78401,Nueces,(361) 558-7230,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144404
TX_COR_00012,John Burger Joint,burger,John (Owner),6851 Oak St,Corpus Christi,TX,78401,Nueces,(361) 985-9794,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144410
TX_COR_00013,The Sarah Kitchen,restaurant,Sarah (Owner),7506 Pine St,Corpus Christi,TX,78401,Nueces,(361) 505-9115,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144415
TX_COR_00014,Sarah's Breakfast,breakfast,Sarah (Owner),1987 Oak St,Corpus Christi,TX,78401,Nueces,(361) 780-6919,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144420
TX_COR_00015,Antonio Restaurant,restaurant,Antonio (Owner),1632 1st Ave,Corpus Christi,TX,78401,Nueces,(361) 870-9288,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144424
TX_COR_00016,Hector Burger Joint,burger,Hector (Owner),878 Texas Ave,Corpus Christi,TX,78401,Nueces,(361) 926-4225,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144429
TX_COR_00017,Elena Restaurant,restaurant,Elena (Owner),6523 Main St,Corpus Christi,TX,78401,Nueces,(361) 452-2864,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144434
TX_COR_00018,The Carlos Kitchen,restaurant,Carlos (Owner),918 1st Ave,Corpus Christi,TX,78401,Nueces,(361) 859-8197,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144439
TX_COR_00019,Guadalupe's Breakfast,breakfast,Guadalupe (Owner),420 Texas Ave,Corpus Christi,TX,78401,Nueces,(361) 947-8586,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144444
TX_COR_00020,Francisco Taqueria,taqueria,Francisco (Owner),2668 Houston St,Corpus Christi,TX,78401,Nueces,(361) 968-3462,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144448
TX_COR_00021,Rosa Diner,diner,Rosa (Owner),2405 Texas Ave,Corpus Christi,TX,78401,Nueces,(361) 286-1067,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144453
TX_COR_00022,The Carmen Kitchen,restaurant,Carmen (Owner),8315 Commerce St,Corpus Christi,TX,78401,Nueces,(361) 827-9296,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144458
TX_COR_00023,Tony Diner,diner,Tony (Owner),2277 Commerce St,Corpus Christi,TX,78401,Nueces,(361) 679-4253,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144462
TX_COR_00024,Pedro's Cafe,cafe,Pedro (Owner),9908 Market St,Corpus Christi,TX,78401,Nueces,(361) 415-9221,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144467
TX_COR_00025,Elena Diner,diner,Elena (Owner),4600 Dallas St,Corpus Christi,TX,78401,Nueces,(361) 640-9728,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144472
TX_COR_00026,Rosa Restaurant,restaurant,Rosa (Owner),5494 Broadway,Corpus Christi,TX,78401,Nueces,(361) 763-6167,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144477
TX_COR_00027,Tony's Breakfast,breakfast,Tony (Owner),7784 Dallas St,Corpus Christi,TX,78401,Nueces,(361) 785-5735,,,B,R2-D2 TX scrape Corpus Christi,2026-02-28T17:23:50.144482
