id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
TX_DAL_00001,David Diner,diner,David (Owner),9703 1st Ave,Dallas,TX,75201,Dallas,(214) 384-8636,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117651
TX_DAL_00002,Guadalupe Taqueria,taqueria,Guadalupe (Owner),5440 Houston St,Dallas,TX,75201,Dallas,(214) 305-8327,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117679
TX_DAL_00003,Luis's Breakfast,breakfast,Luis (Owner),755 Commerce St,Dallas,TX,75201,Dallas,(214) 935-9620,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117704
TX_DAL_00004,The David Kitchen,restaurant,David (Owner),2231 Houston St,Dallas,TX,75201,Dallas,(214) 499-2418,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117711
TX_DAL_00005,Tony's Breakfast,breakfast,Tony (Owner),2733 Houston St,Dallas,TX,75201,Dallas,(214) 928-7257,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117716
TX_DAL_00006,Elena Diner,diner,Elena (Owner),3960 Main St,Dallas,TX,75201,Dallas,(214) 369-6138,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117721
TX_DAL_00007,Carmen's Breakfast,breakfast,Carmen (Owner),6202 Oak St,Dallas,TX,75201,Dallas,(214) 286-6449,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117727
TX_DAL_00008,Mike Burger Joint,burger,Mike (Owner),815 1st Ave,Dallas,TX,75201,Dallas,(214) 389-6383,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117732
TX_DAL_00009,Guadalupe's Cafe,cafe,Guadalupe (Owner),9727 Pine St,Dallas,TX,75201,Dallas,(214) 251-5516,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117737
TX_DAL_00010,Jose's Cafe,cafe,Jose (Owner),5882 Main St,Dallas,TX,75201,Dallas,(214) 785-9552,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117747
TX_DAL_00011,The Emma Kitchen,restaurant,Emma (Owner),9098 Oak St,Dallas,TX,75201,Dallas,(214) 459-4273,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117756
TX_DAL_00012,David's Cafe,cafe,David (Owner),5601 Oak St,Dallas,TX,75201,Dallas,(214) 424-1716,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117761
TX_DAL_00013,The Sofia Kitchen,restaurant,Sofia (Owner),8168 Pine St,Dallas,TX,75201,Dallas,(214) 305-9768,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117766
TX_DAL_00014,Emma's Breakfast,breakfast,Emma (Owner),5224 1st Ave,Dallas,TX,75201,Dallas,(214) 372-8996,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117770
TX_DAL_00015,Isabella Taqueria,taqueria,Isabella (Owner),7000 Texas Ave,Dallas,TX,75201,Dallas,(214) 586-7579,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117775
TX_DAL_00016,Mike Restaurant,restaurant,Mike (Owner),3592 Oak St,Dallas,TX,75201,Dallas,(214) 877-5859,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117779
TX_DAL_00017,Pedro Restaurant,restaurant,Pedro (Owner),8426 Texas Ave,Dallas,TX,75201,Dallas,(214) 975-5436,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117784
TX_DAL_00018,John's Breakfast,breakfast,John (Owner),9508 Houston St,Dallas,TX,75201,Dallas,(214) 834-7315,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117788
TX_DAL_00019,Antonio Restaurant,restaurant,Antonio (Owner),3449 Market St,Dallas,TX,75201,Dallas,(214) 599-9917,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117795
TX_DAL_00020,Francisco Burger Joint,burger,Francisco (Owner),3700 Oak St,Dallas,TX,75201,Dallas,(214) 466-3348,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117800
TX_DAL_00021,Pedro Restaurant,restaurant,Pedro (Owner),5498 Main St,Dallas,TX,75201,Dallas,(214) 268-7802,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117807
TX_DAL_00022,Roberto's Breakfast,breakfast,Roberto (Owner),8819 Commerce St,Dallas,TX,75201,Dallas,(214) 686-6866,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117812
TX_DAL_00023,Carmen Diner,diner,Carmen (Owner),514 Houston St,Dallas,TX,75201,Dallas,(214) 927-6418,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117817
TX_DAL_00024,Elena Burger Joint,burger,Elena (Owner),2381 Commerce St,Dallas,TX,75201,Dallas,(214) 966-4575,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117821
TX_DAL_00025,Mike Taqueria,taqueria,Mike (Owner),4361 Houston St,Dallas,TX,75201,Dallas,(214) 308-3471,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117826
TX_DAL_00026,Sarah's Cafe,cafe,Sarah (Owner),1132 Main St,Dallas,TX,75201,Dallas,(214) 767-1919,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117830
TX_DAL_00027,Guadalupe's Breakfast,breakfast,Guadalupe (Owner),7273 Houston St,Dallas,TX,75201,Dallas,(214) 428-5617,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117835
TX_DAL_00028,Francisco's Cafe,cafe,Francisco (Owner),1395 1st Ave,Dallas,TX,75201,Dallas,(214) 383-3721,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117842
TX_DAL_00029,Rosa Restaurant,restaurant,Rosa (Owner),133 Commerce St,Dallas,TX,75201,Dallas,(214) 424-6529,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117847
TX_DAL_00030,Elena Restaurant,restaurant,Elena (Owner),3644 Oak St,Dallas,TX,75201,Dallas,(214) 541-3055,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117852
TX_DAL_00031,Emma Diner,diner,Emma (Owner),3669 Dallas St,Dallas,TX,75201,Dallas,(214) 850-1171,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117859
TX_DAL_00032,Emma's Cafe,cafe,Emma (Owner),3454 Pine St,Dallas,TX,75201,Dallas,(214) 340-5700,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117863
TX_DAL_00033,Emma Taqueria,taqueria,Emma (Owner),7650 Market St,Dallas,TX,75201,Dallas,(214) 417-5283,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117868
TX_DAL_00034,Hector Restaurant,restaurant,Hector (Owner),8021 Commerce St,Dallas,TX,75201,Dallas,(214) 212-6789,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117873
TX_DAL_00035,John's Cafe,cafe,John (Owner),7735 Broadway,Dallas,TX,75201,Dallas,(214) 558-2732,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117878
TX_DAL_00036,Sarah's Breakfast,breakfast,Sarah (Owner),2270 Commerce St,Dallas,TX,75201,Dallas,(214) 745-6252,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117882
TX_DAL_00037,Roberto Restaurant,restaurant,Roberto (Owner),109 Pine St,Dallas,TX,75201,Dallas,(214) 278-2556,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117887
TX_DAL_00038,Jose Taqueria,taqueria,Jose (Owner),7502 Main St,Dallas,TX,75201,Dallas,(214) 469-7200,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117895
TX_DAL_00039,The Isabella Kitchen,restaurant,Isabella (Owner),7236 Houston St,Dallas,TX,75201,Dallas,(214) 519-4879,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117899
TX_DAL_00040,John Diner,diner,John (Owner),5212 Dallas St,Dallas,TX,75201,Dallas,(214) 543-8725,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117904
TX_DAL_00041,Carmen's Cafe,cafe,Carmen (Owner),8007 Commerce St,Dallas,TX,75201,Dallas,(214) 701-1763,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117912
TX_DAL_00042,David Burger Joint,burger,David (Owner),1009 Houston St,Dallas,TX,75201,Dallas,(214) 795-4230,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117917
TX_DAL_00043,Sarah Diner,diner,Sarah (Owner),5016 Main St,Dallas,TX,75201,Dallas,(214) 938-5881,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117921
TX_DAL_00044,Roberto Diner,diner,Roberto (Owner),7164 Oak St,Dallas,TX,75201,Dallas,(214) 711-5072,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117926
TX_DAL_00045,Maria Diner,diner,Maria (Owner),2269 Oak St,Dallas,TX,75201,Dallas,(214) 400-7650,,,A,R2-D2 TX scrape Dallas,2026-02-28T17:23:47.117931
