id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
TX_EL _00001,Carlos Restaurant,restaurant,Carlos (Owner),389 Texas Ave,El Paso,TX,79901,El Paso,(915) 395-9662,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140086
TX_EL _00002,The Pedro Kitchen,restaurant,Pedro (Owner),9659 1st Ave,El Paso,TX,79901,El Paso,(915) 780-7018,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140120
TX_EL _00003,Francisco's Breakfast,breakfast,Francisco (Owner),1554 1st Ave,El Paso,TX,79901,El Paso,(915) 593-1508,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140130
TX_EL _00004,The Jose Kitchen,restaurant,Jose (Owner),6742 Commerce St,El Paso,TX,79901,El Paso,(915) 947-7072,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140139
TX_EL _00005,Miguel Taqueria,taqueria,Miguel (Owner),7105 Pine St,El Paso,TX,79901,El Paso,(915) 763-6444,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140147
TX_EL _00006,The Emma Kitchen,restaurant,Emma (Owner),7596 Oak St,El Paso,TX,79901,El Paso,(915) 208-9957,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140155
TX_EL _00007,John's Breakfast,breakfast,John (Owner),4722 1st Ave,El Paso,TX,79901,El Paso,(915) 602-2049,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140164
TX_EL _00008,Guadalupe Taqueria,taqueria,Guadalupe (Owner),5691 Commerce St,El Paso,TX,79901,El Paso,(915) 383-9265,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140172
TX_EL _00009,Francisco Burger Joint,burger,Francisco (Owner),4782 Texas Ave,El Paso,TX,79901,El Paso,(915) 633-2197,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140180
TX_EL _00010,Isabella Taqueria,taqueria,Isabella (Owner),9131 Pine St,El Paso,TX,79901,El Paso,(915) 628-8315,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140187
TX_EL _00011,Miguel Diner,diner,Miguel (Owner),7899 Commerce St,El Paso,TX,79901,El Paso,(915) 538-6930,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140195
TX_EL _00012,Elena's Breakfast,breakfast,Elena (Owner),3559 Main St,El Paso,TX,79901,El Paso,(915) 835-1970,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140203
TX_EL _00013,Tony Restaurant,restaurant,Tony (Owner),4829 Commerce St,El Paso,TX,79901,El Paso,(915) 790-5878,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140217
TX_EL _00014,Miguel Diner,diner,Miguel (Owner),5813 Houston St,El Paso,TX,79901,El Paso,(915) 421-2921,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140224
TX_EL _00015,John's Cafe,cafe,John (Owner),7237 Broadway,El Paso,TX,79901,El Paso,(915) 655-7112,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140231
TX_EL _00016,Luis Restaurant,restaurant,Luis (Owner),5303 1st Ave,El Paso,TX,79901,El Paso,(915) 455-1906,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140239
TX_EL _00017,Mike Taqueria,taqueria,Mike (Owner),5303 Oak St,El Paso,TX,79901,El Paso,(915) 537-2228,,,B,R2-D2 TX scrape El Paso,2026-02-28T17:23:49.140246
