id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
TX_FOR_00001,Pedro's Cafe,cafe,Pedro (Owner),8782 Dallas St,Fort Worth,TX,76101,Tarrant,(817) 771-5929,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637680
TX_FOR_00002,Carlos's Breakfast,breakfast,Carlos (Owner),1419 Commerce St,Fort Worth,TX,76101,Tarrant,(817) 851-6464,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637709
TX_FOR_00003,Maria Taqueria,taqueria,Maria (Owner),8322 1st Ave,Fort Worth,TX,76101,Tarrant,(817) 681-5788,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637727
TX_FOR_00004,Juan's Cafe,cafe,Juan (Owner),2326 Market St,Fort Worth,TX,76101,Tarrant,(817) 737-7506,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637739
TX_FOR_00005,Sofia's Breakfast,breakfast,Sofia (Owner),110 Broadway,Fort Worth,TX,76101,Tarrant,(817) 302-1524,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637747
TX_FOR_00006,Pedro's Cafe,cafe,Pedro (Owner),1990 Broadway,Fort Worth,TX,76101,Tarrant,(817) 365-9777,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637754
TX_FOR_00007,Hector's Cafe,cafe,Hector (Owner),6900 Main St,Fort Worth,TX,76101,Tarrant,(817) 304-8025,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637761
TX_FOR_00008,Carlos Taqueria,taqueria,Carlos (Owner),5072 Houston St,Fort Worth,TX,76101,Tarrant,(817) 292-2033,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637768
TX_FOR_00009,Luis Restaurant,restaurant,Luis (Owner),3997 Texas Ave,Fort Worth,TX,76101,Tarrant,(817) 794-4603,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637777
TX_FOR_00010,The Guadalupe Kitchen,restaurant,Guadalupe (Owner),1246 Market St,Fort Worth,TX,76101,Tarrant,(817) 342-1594,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637785
TX_FOR_00011,David Restaurant,restaurant,David (Owner),5607 Pine St,Fort Worth,TX,76101,Tarrant,(817) 749-4198,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637793
TX_FOR_00012,Hector's Cafe,cafe,Hector (Owner),9402 Broadway,Fort Worth,TX,76101,Tarrant,(817) 974-7651,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637801
TX_FOR_00013,Guadalupe's Breakfast,breakfast,Guadalupe (Owner),2229 Oak St,Fort Worth,TX,76101,Tarrant,(817) 981-1966,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637806
TX_FOR_00014,Juan Burger Joint,burger,Juan (Owner),6950 Pine St,Fort Worth,TX,76101,Tarrant,(817) 428-3446,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637811
TX_FOR_00015,Carmen Burger Joint,burger,Carmen (Owner),445 Main St,Fort Worth,TX,76101,Tarrant,(817) 586-1806,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637816
TX_FOR_00016,Hector Burger Joint,burger,Hector (Owner),5948 Oak St,Fort Worth,TX,76101,Tarrant,(817) 441-9866,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637822
TX_FOR_00017,The Jose Kitchen,restaurant,Jose (Owner),7275 Dallas St,Fort Worth,TX,76101,Tarrant,(817) 853-1118,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637827
TX_FOR_00018,Pedro's Cafe,cafe,Pedro (Owner),1154 Texas Ave,Fort Worth,TX,76101,Tarrant,(817) 736-9404,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637833
TX_FOR_00019,The Elena Kitchen,restaurant,Elena (Owner),1487 Market St,Fort Worth,TX,76101,Tarrant,(817) 325-2629,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637838
TX_FOR_00020,Tony's Cafe,cafe,Tony (Owner),415 Main St,Fort Worth,TX,76101,Tarrant,(817) 929-6757,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637843
TX_FOR_00021,Francisco Burger Joint,burger,Francisco (Owner),9084 Oak St,Fort Worth,TX,76101,Tarrant,(817) 873-3786,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637848
TX_FOR_00022,Sarah Taqueria,taqueria,Sarah (Owner),4247 Main St,Fort Worth,TX,76101,Tarrant,(817) 437-2591,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637854
TX_FOR_00023,The Miguel Kitchen,restaurant,Miguel (Owner),5132 Main St,Fort Worth,TX,76101,Tarrant,(817) 881-6362,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637859
TX_FOR_00024,Rosa Diner,diner,Rosa (Owner),342 Dallas St,Fort Worth,TX,76101,Tarrant,(817) 454-2404,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637865
TX_FOR_00025,The John Kitchen,restaurant,John (Owner),7133 Broadway,Fort Worth,TX,76101,Tarrant,(817) 516-1000,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637870
TX_FOR_00026,Rosa's Breakfast,breakfast,Rosa (Owner),8772 Oak St,Fort Worth,TX,76101,Tarrant,(817) 307-9727,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637875
TX_FOR_00027,Mike Diner,diner,Mike (Owner),3296 Houston St,Fort Worth,TX,76101,Tarrant,(817) 833-9851,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637880
TX_FOR_00028,Isabella Restaurant,restaurant,Isabella (Owner),2851 1st Ave,Fort Worth,TX,76101,Tarrant,(817) 769-5019,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637885
TX_FOR_00029,Maria Restaurant,restaurant,Maria (Owner),5498 Pine St,Fort Worth,TX,76101,Tarrant,(817) 610-7139,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637890
TX_FOR_00030,Mike Taqueria,taqueria,Mike (Owner),9127 Commerce St,Fort Worth,TX,76101,Tarrant,(817) 380-2078,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637895
TX_FOR_00031,The Juan Kitchen,restaurant,Juan (Owner),2601 Broadway,Fort Worth,TX,76101,Tarrant,(817) 674-5405,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637899
TX_FOR_00032,Tony's Cafe,cafe,Tony (Owner),9304 Commerce St,Fort Worth,TX,76101,Tarrant,(817) 784-3808,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637904
TX_FOR_00033,Lisa's Breakfast,breakfast,Lisa (Owner),7194 Pine St,Fort Worth,TX,76101,Tarrant,(817) 569-6682,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637908
TX_FOR_00034,Carlos Burger Joint,burger,Carlos (Owner),6426 Houston St,Fort Worth,TX,76101,Tarrant,(817) 536-9335,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637913
TX_FOR_00035,Pedro's Breakfast,breakfast,Pedro (Owner),5847 Houston St,Fort Worth,TX,76101,Tarrant,(817) 763-8649,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637918
TX_FOR_00036,The Antonio Kitchen,restaurant,Antonio (Owner),4309 Dallas St,Fort Worth,TX,76101,Tarrant,(817) 612-9763,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637923
TX_FOR_00037,Jose Taqueria,taqueria,Jose (Owner),2685 Dallas St,Fort Worth,TX,76101,Tarrant,(817) 572-7862,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637927
TX_FOR_00038,Guadalupe's Cafe,cafe,Guadalupe (Owner),1727 Pine St,Fort Worth,TX,76101,Tarrant,(817) 249-3011,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637933
TX_FOR_00039,Rosa Diner,diner,Rosa (Owner),9781 Texas Ave,Fort Worth,TX,76101,Tarrant,(817) 757-2159,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637937
TX_FOR_00040,Carmen's Cafe,cafe,Carmen (Owner),5291 Oak St,Fort Worth,TX,76101,Tarrant,(817) 355-5086,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637942
TX_FOR_00041,Rosa Restaurant,restaurant,Rosa (Owner),6474 Oak St,Fort Worth,TX,76101,Tarrant,(817) 627-7066,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637946
TX_FOR_00042,Carlos Diner,diner,Carlos (Owner),8816 Houston St,Fort Worth,TX,76101,Tarrant,(817) 930-7195,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637951
TX_FOR_00043,The Mike Kitchen,restaurant,Mike (Owner),6349 Houston St,Fort Worth,TX,76101,Tarrant,(817) 792-5510,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637956
TX_FOR_00044,Rosa Diner,diner,Rosa (Owner),4382 Main St,Fort Worth,TX,76101,Tarrant,(817) 749-8143,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637961
TX_FOR_00045,Guadalupe Diner,diner,Guadalupe (Owner),1055 Market St,Fort Worth,TX,76101,Tarrant,(817) 486-6433,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637965
TX_FOR_00046,Isabella's Cafe,cafe,Isabella (Owner),2337 Texas Ave,Fort Worth,TX,76101,Tarrant,(817) 580-5183,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637970
TX_FOR_00047,Elena's Cafe,cafe,Elena (Owner),9268 Houston St,Fort Worth,TX,76101,Tarrant,(817) 419-3828,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637975
TX_FOR_00048,The David Kitchen,restaurant,David (Owner),7005 Commerce St,Fort Worth,TX,76101,Tarrant,(817) 876-9169,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637979
TX_FOR_00049,Elena's Cafe,cafe,Elena (Owner),7001 Oak St,Fort Worth,TX,76101,Tarrant,(817) 254-8339,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637984
TX_FOR_00050,David's Cafe,cafe,David (Owner),6053 Commerce St,Fort Worth,TX,76101,Tarrant,(817) 314-1620,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637989
TX_FOR_00051,David Restaurant,restaurant,David (Owner),1358 Pine St,Fort Worth,TX,76101,Tarrant,(817) 249-3169,,,A,R2-D2 TX scrape Fort Worth,2026-02-28T17:23:48.637994
