First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority
,,,(907) 360-6047,Billings Restaurant,Billings,,MT,US,B
,,,(907) 460-7047,The Billings Bar & Grill,Billings,,MT,US,B
,,,(907) 478-6047,Missoula Restaurant,Missoula,,MT,US,B
,,,(907) 578-7047,The Missoula Bar & Grill,Missoula,,MT,US,B
,,,(907) 160-6047,Great Falls Restaurant,Great Falls,,MT,US,B
,,,(907) 260-7047,The Great Falls Bar & Grill,Great Falls,,MT,US,B
,,,(907) 512-6047,Bozeman Restaurant,Bozeman,,MT,US,B
,,,(907) 612-7047,The Bozeman Bar & Grill,Bozeman,,MT,US,B
,,,(907) 819-6047,Butte Restaurant,Butte,,MT,US,B
,,,(907) 919-7047,The Butte Bar & Grill,Butte,,MT,US,B
,,,(907) 806-6047,Helena Restaurant,Helena,,MT,US,B
,,,(907) 906-7047,The Helena Bar & Grill,Helena,,MT,US,B
