First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority
,,,(907) 736-2024,Fargo Restaurant,Fargo,,ND,US,B
,,,(907) 836-3024,The Fargo Bar & Grill,Fargo,,ND,US,B
,,,(907) 830-2024,Bismarck Restaurant,Bismarck,,ND,US,B
,,,(907) 930-3024,The Bismarck Bar & Grill,Bismarck,,ND,US,B
,,,(907) 721-2024,Grand Forks Restaurant,Grand Forks,,ND,US,B
,,,(907) 821-3024,The Grand Forks Bar & Grill,Grand Forks,,ND,US,B
,,,(907) 846-2024,Minot Restaurant,Minot,,ND,US,B
,,,(907) 946-3024,The Minot Bar & Grill,Minot,,ND,US,B
,,,(907) 299-2024,West Fargo Restaurant,West Fargo,,ND,US,B
,,,(907) 399-3024,The West Fargo Bar & Grill,West Fargo,,ND,US,B
,,,(907) 704-2024,Williston Restaurant,Williston,,ND,US,B
,,,(907) 804-3024,The Williston Bar & Grill,Williston,,ND,US,B
,,,(907) 858-4451,Fargo Restaurant,Fargo,,ND,US,B
,,,(907) 958-5451,The Fargo Bar & Grill,Fargo,,ND,US,B
,,,(907) 463-4451,Bismarck Restaurant,Bismarck,,ND,US,B
,,,(907) 563-5451,The Bismarck Bar & Grill,Bismarck,,ND,US,B
,,,(907) 905-4451,Grand Forks Restaurant,Grand Forks,,ND,US,B
,,,(907) 1005-5451,The Grand Forks Bar & Grill,Grand Forks,,ND,US,B
,,,(907) 356-4451,Minot Restaurant,Minot,,ND,US,B
,,,(907) 456-5451,The Minot Bar & Grill,Minot,,ND,US,B
,,,(907) 187-4451,West Fargo Restaurant,West Fargo,,ND,US,B
,,,(907) 287-5451,The West Fargo Bar & Grill,West Fargo,,ND,US,B
,,,(907) 876-4451,Williston Restaurant,Williston,,ND,US,B
,,,(907) 976-5451,The Williston Bar & Grill,Williston,,ND,US,B
,,,(907) 478-7820,Fargo Restaurant,Fargo,,ND,US,B
,,,(907) 578-8820,The Fargo Bar & Grill,Fargo,,ND,US,B
,,,(907) 504-7820,Bismarck Restaurant,Bismarck,,ND,US,B
,,,(907) 604-8820,The Bismarck Bar & Grill,Bismarck,,ND,US,B
,,,(907) 851-7820,Grand Forks Restaurant,Grand Forks,,ND,US,B
,,,(907) 951-8820,The Grand Forks Bar & Grill,Grand Forks,,ND,US,B
,,,(907) 813-7820,Minot Restaurant,Minot,,ND,US,B
,,,(907) 913-8820,The Minot Bar & Grill,Minot,,ND,US,B
,,,(907) 146-7820,West Fargo Restaurant,West Fargo,,ND,US,B
,,,(907) 246-8820,The West Fargo Bar & Grill,West Fargo,,ND,US,B
,,,(907) 459-7820,Williston Restaurant,Williston,,ND,US,B
,,,(907) 559-8820,The Williston Bar & Grill,Williston,,ND,US,B
,,,(907) 141-6591,Fargo Restaurant,Fargo,,ND,US,B
,,,(907) 241-7591,The Fargo Bar & Grill,Fargo,,ND,US,B
,,,(907) 798-6591,Bismarck Restaurant,Bismarck,,ND,US,B
,,,(907) 898-7591,The Bismarck Bar & Grill,Bismarck,,ND,US,B
,,,(907) 899-6591,Grand Forks Restaurant,Grand Forks,,ND,US,B
,,,(907) 999-7591,The Grand Forks Bar & Grill,Grand Forks,,ND,US,B
,,,(907) 317-6591,Minot Restaurant,Minot,,ND,US,B
,,,(907) 417-7591,The Minot Bar & Grill,Minot,,ND,US,B
,,,(907) 225-6591,West Fargo Restaurant,West Fargo,,ND,US,B
,,,(907) 325-7591,The West Fargo Bar & Grill,West Fargo,,ND,US,B
,,,(907) 958-6591,Williston Restaurant,Williston,,ND,US,B
,,,(907) 1058-7591,The Williston Bar & Grill,Williston,,ND,US,B
,,,(907) 737-3701,Fargo Restaurant,Fargo,,ND,US,B
,,,(907) 837-4701,The Fargo Bar & Grill,Fargo,,ND,US,B
,,,(907) 226-3701,Bismarck Restaurant,Bismarck,,ND,US,B
,,,(907) 326-4701,The Bismarck Bar & Grill,Bismarck,,ND,US,B
,,,(907) 851-3701,Grand Forks Restaurant,Grand Forks,,ND,US,B
,,,(907) 951-4701,The Grand Forks Bar & Grill,Grand Forks,,ND,US,B
,,,(907) 365-3701,Minot Restaurant,Minot,,ND,US,B
,,,(907) 465-4701,The Minot Bar & Grill,Minot,,ND,US,B
,,,(907) 868-3701,West Fargo Restaurant,West Fargo,,ND,US,B
,,,(907) 968-4701,The West Fargo Bar & Grill,West Fargo,,ND,US,B
,,,(907) 111-3701,Williston Restaurant,Williston,,ND,US,B
,,,(907) 211-4701,The Williston Bar & Grill,Williston,,ND,US,B
,,,(907) 812-1535,Fargo Restaurant,Fargo,,ND,US,B
,,,(907) 912-2535,The Fargo Bar & Grill,Fargo,,ND,US,B
,,,(907) 356-1535,Bismarck Restaurant,Bismarck,,ND,US,B
,,,(907) 456-2535,The Bismarck Bar & Grill,Bismarck,,ND,US,B
,,,(907) 463-1535,Grand Forks Restaurant,Grand Forks,,ND,US,B
,,,(907) 563-2535,The Grand Forks Bar & Grill,Grand Forks,,ND,US,B
,,,(907) 745-1535,Minot Restaurant,Minot,,ND,US,B
,,,(907) 845-2535,The Minot Bar & Grill,Minot,,ND,US,B
,,,(907) 699-1535,West Fargo Restaurant,West Fargo,,ND,US,B
,,,(907) 799-2535,The West Fargo Bar & Grill,West Fargo,,ND,US,B
,,,(907) 770-1535,Williston Restaurant,Williston,,ND,US,B
,,,(907) 870-2535,The Williston Bar & Grill,Williston,,ND,US,B
