First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority
,,,(907) 577-1111,Manchester Restaurant,Manchester,,NH,US,B
,,,(907) 677-2111,The Manchester Bar & Grill,Manchester,,NH,US,B
,,,(907) 428-1111,Nashua Restaurant,Nashua,,NH,US,B
,,,(907) 528-2111,The Nashua Bar & Grill,Nashua,,NH,US,B
,,,(907) 866-1111,Concord Restaurant,Concord,,NH,US,B
,,,(907) 966-2111,The Concord Bar & Grill,Concord,,NH,US,B
,,,(907) 383-1111,Derry Restaurant,Derry,,NH,US,B
,,,(907) 483-2111,The Derry Bar & Grill,Derry,,NH,US,B
,,,(907) 688-1111,Dover Restaurant,Dover,,NH,US,B
,,,(907) 788-2111,The Dover Bar & Grill,Dover,,NH,US,B
,,,(907) 936-1111,Rochester Restaurant,Rochester,,NH,US,B
,,,(907) 1036-2111,The Rochester Bar & Grill,Rochester,,NH,US,B
