First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority
,,,(907) 553-9163,Cheyenne Restaurant,Cheyenne,,WY,US,B
,,,(907) 653-10163,The Cheyenne Bar & Grill,Cheyenne,,WY,US,B
,,,(907) 317-9163,Casper Restaurant,Casper,,WY,US,B
,,,(907) 417-10163,The Casper Bar & Grill,Casper,,WY,US,B
,,,(907) 877-9163,Laramie Restaurant,Laramie,,WY,US,B
,,,(907) 977-10163,The Laramie Bar & Grill,Laramie,,WY,US,B
,,,(907) 952-9163,Gillette Restaurant,Gillette,,WY,US,B
,,,(907) 1052-10163,The Gillette Bar & Grill,Gillette,,WY,US,B
,,,(907) 493-9163,Rock Springs Restaurant,Rock Springs,,WY,US,B
,,,(907) 593-10163,The Rock Springs Bar & Grill,Rock Springs,,WY,US,B
,,,(907) 455-9163,Sheridan Restaurant,Sheridan,,WY,US,B
,,,(907) 555-10163,The Sheridan Bar & Grill,Sheridan,,WY,US,B
