business_name,status,jurisdiction,incorporation_date,agent,address,city,state,zip,county,phone,email,sos_id,business_type,source,priority,discovered_at,enrichment_status
15 Deli 1,Active,California,2011-09-20,Sample Agent 1,3011 1st St,Santa Ana,CA,92776,Santa Clara,(213) 979-4097,,C9352891,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.944Z,pending
15 Cafe 2,Active,California,2020-06-04,Sample Agent 2,1884 1st St,San Francisco,CA,94575,San Diego,(415) 586-6608,,C8512150,cafe,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.944Z,pending
15 Cafe 3,Active,California,2015-12-20,Sample Agent 3,6614 Hollywood Blvd,San Francisco,CA,94455,San Diego,(415) 872-4166,,C9962707,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.944Z,pending
15 Bistro 1,Active,California,2026-02-06,Sample Agent 1,5213 Hollywood Blvd,Anaheim,CA,90207,Los Angeles,(213) 893-5856,,C9658738,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.921Z,pending
15 Bistro 2,Active,California,2021-05-02,Sample Agent 2,7458 Mission St,San Diego,CA,92456,San Diego,(619) 260-5898,,C9365486,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.921Z,pending
15 Deli 3,Active,California,2016-06-14,Sample Agent 3,4565 Main St,San Jose,CA,95253,San Diego,(408) 127-6204,,C3212268,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.921Z,pending
15 Restaurant 1,Active,California,2016-04-25,Sample Agent 1,8996 Market St,Long Beach,CA,90747,Los Angeles,(213) 844-5280,,C2134661,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.857Z,pending
15 Deli 2,Active,California,2010-06-20,Sample Agent 2,7100 Broadway,Anaheim,CA,90508,Los Angeles,(213) 316-6396,,C3435523,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.857Z,pending
15 Diner 3,Active,California,2020-01-14,Sample Agent 3,2822 Mission St,Anaheim,CA,9040,Los Angeles,(213) 447-3758,,C1153384,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.857Z,pending
12 Taqueria 1,Active,California,2013-03-16,Sample Agent 1,8954 Hollywood Blvd,San Francisco,CA,94358,San Diego,(415) 271-7457,,C1058398,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.308Z,pending
12 Cafe 2,Active,California,2025-02-20,Sample Agent 2,6074 Broadway,Los Angeles,CA,90235,Los Angeles,(213) 430-8593,,C6620413,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.308Z,pending
12 Deli 3,Inactive,California,2017-12-08,Sample Agent 3,268 Market St,San Jose,CA,95137,San Diego,(408) 377-4662,,C4542574,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.308Z,pending
12 Deli 1,Inactive,California,2018-09-14,Sample Agent 1,7703 Broadway,Anaheim,CA,90195,Los Angeles,(213) 509-9986,,C2835654,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.288Z,pending
12 Cafe 2,Active,California,2022-09-09,Sample Agent 2,7199 Hollywood Blvd,San Diego,CA,92840,San Diego,(619) 706-4291,,C1679643,cafe,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.288Z,pending
12 Deli 3,Active,California,2023-08-12,Sample Agent 3,4891 Main St,Los Angeles,CA,90372,Los Angeles,(213) 467-6584,,C5526715,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.288Z,pending
12 Cafe 1,Active,California,2016-03-03,Sample Agent 1,2985 Main St,Oakland,CA,9441,Los Angeles,(213) 994-2251,,C7793033,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.360Z,pending
12 Coffee Shop 2,Active,California,2019-04-26,Sample Agent 2,6556 Hollywood Blvd,Long Beach,CA,9076,Los Angeles,(213) 610-4948,,C3173581,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.360Z,pending
12 Deli 3,Active,California,2021-02-27,Sample Agent 3,7095 Broadway,Sacramento,CA,95735,Sacramento,(916) 716-2346,,C8590933,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.381Z,pending
