business_name,status,jurisdiction,incorporation_date,agent,address,city,state,zip,county,phone,email,sos_id,business_type,source,priority,discovered_at,enrichment_status
15 Restaurant 3,Active,California,2011-01-17,Sample Agent 3,3975 Mission St,Fresno,CA,93196,Fresno,(559) 786-2213,,C3683531,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.993Z,pending
15 Deli 2,Active,California,2010-08-18,Sample Agent 2,8845 Wilshire Blvd,Fresno,CA,9362,Fresno,(559) 733-2041,,C7095206,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.571Z,pending
15 Bistro 3,Active,California,2013-06-20,Sample Agent 3,4201 Main St,Fresno,CA,93155,Fresno,(559) 274-5884,,C8767898,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.571Z,pending
15 Cafe 2,Active,California,2020-05-28,Sample Agent 2,296 Hollywood Blvd,Fresno,CA,93856,Fresno,(559) 215-9005,,C9550877,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.852Z,pending
12 Bistro 3,Active,California,2016-02-04,Sample Agent 3,7460 Wilshire Blvd,Fresno,CA,93465,Fresno,(559) 946-2297,,C1257260,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.111Z,pending
15 Diner 1,Active,California,2015-11-01,Sample Agent 1,6635 Hollywood Blvd,Fresno,CA,93412,Fresno,(559) 107-7084,,C6216975,diner,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.928Z,pending
15 Taqueria 2,Inactive,California,2014-11-17,Sample Agent 2,5907 1st St,Fresno,CA,93828,Fresno,(559) 725-8802,,C4744289,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.928Z,pending
15 Cafe 3,Active,California,2015-11-07,Sample Agent 3,2203 Wilshire Blvd,Fresno,CA,93293,Fresno,(559) 603-6222,,C7118191,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.020Z,pending
12 Taqueria 2,Inactive,California,2011-11-04,Sample Agent 2,8299 Broadway,Fresno,CA,93248,Fresno,(559) 433-3705,,C6896861,taqueria,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.386Z,pending
15 Coffee Shop 2,Active,California,2022-08-30,Sample Agent 2,5178 Market St,Fresno,CA,93154,Fresno,(559) 705-5710,,C3247085,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.737Z,pending
12 Deli 3,Active,California,2013-07-19,Sample Agent 3,3111 Hollywood Blvd,Fresno,CA,93417,Fresno,(559) 170-4999,,C3922096,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.269Z,pending
15 Deli 1,Active,California,2012-08-29,Sample Agent 1,3380 Sunset Blvd,Fresno,CA,93249,Fresno,(559) 195-5905,,C8176046,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.377Z,pending
15 Deli 3,Active,California,2015-11-11,Sample Agent 3,6325 1st St,Fresno,CA,93870,Fresno,(559) 859-6695,,C5929463,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.832Z,pending
15 Coffee Shop 1,Active,California,2016-12-14,Sample Agent 1,130 Broadway,Fresno,CA,93230,Fresno,(559) 125-6166,,C7645591,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.228Z,pending
12 Taqueria 3,Active,California,2015-06-14,Sample Agent 3,929 Main St,Fresno,CA,93297,Fresno,(559) 303-4075,,C3733718,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.354Z,pending
20 Deli 2,Inactive,California,2014-03-21,Sample Agent 2,4968 Sunset Blvd,Fresno,CA,93284,Fresno,(559) 192-3323,,C9406660,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.492Z,pending
