business_name,status,jurisdiction,incorporation_date,agent,address,city,state,zip,county,phone,email,sos_id,business_type,source,priority,discovered_at,enrichment_status
15 Bistro 1,Active,California,2026-02-06,Sample Agent 1,5213 Hollywood Blvd,Anaheim,CA,90207,Los Angeles,(213) 893-5856,,C9658738,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.921Z,pending
15 Restaurant 1,Active,California,2016-04-25,Sample Agent 1,8996 Market St,Long Beach,CA,90747,Los Angeles,(213) 844-5280,,C2134661,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.857Z,pending
15 Deli 2,Active,California,2010-06-20,Sample Agent 2,7100 Broadway,Anaheim,CA,90508,Los Angeles,(213) 316-6396,,C3435523,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.857Z,pending
15 Diner 3,Active,California,2020-01-14,Sample Agent 3,2822 Mission St,Anaheim,CA,9040,Los Angeles,(213) 447-3758,,C1153384,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.857Z,pending
12 Cafe 2,Active,California,2025-02-20,Sample Agent 2,6074 Broadway,Los Angeles,CA,90235,Los Angeles,(213) 430-8593,,C6620413,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.308Z,pending
12 Deli 1,Inactive,California,2018-09-14,Sample Agent 1,7703 Broadway,Anaheim,CA,90195,Los Angeles,(213) 509-9986,,C2835654,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.288Z,pending
12 Deli 3,Active,California,2023-08-12,Sample Agent 3,4891 Main St,Los Angeles,CA,90372,Los Angeles,(213) 467-6584,,C5526715,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.288Z,pending
12 Cafe 1,Active,California,2016-03-03,Sample Agent 1,2985 Main St,Oakland,CA,9441,Los Angeles,(213) 994-2251,,C7793033,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.360Z,pending
12 Coffee Shop 2,Active,California,2019-04-26,Sample Agent 2,6556 Hollywood Blvd,Long Beach,CA,9076,Los Angeles,(213) 610-4948,,C3173581,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.360Z,pending
15 Coffee Shop 1,Active,California,2010-02-22,Sample Agent 1,7196 Market St,Oakland,CA,94147,Los Angeles,(213) 737-6416,,C3381414,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.527Z,pending
15 Deli 1,Active,California,2017-09-15,Sample Agent 1,5170 Hollywood Blvd,Los Angeles,CA,90806,Los Angeles,(213) 899-1272,,C9404775,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.847Z,pending
15 Restaurant 3,Active,California,2010-05-18,Sample Agent 3,2615 Market St,Anaheim,CA,90188,Los Angeles,(213) 320-2730,,C4161432,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.847Z,pending
