business_name,status,jurisdiction,incorporation_date,agent,address,city,state,zip,county,phone,email,sos_id,business_type,source,priority,discovered_at,enrichment_status
15 Cafe 2,Active,California,2020-06-04,Sample Agent 2,1884 1st St,San Francisco,CA,94575,San Diego,(415) 586-6608,,C8512150,cafe,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.944Z,pending
15 Cafe 3,Active,California,2015-12-20,Sample Agent 3,6614 Hollywood Blvd,San Francisco,CA,94455,San Diego,(415) 872-4166,,C9962707,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.944Z,pending
15 Bistro 2,Active,California,2021-05-02,Sample Agent 2,7458 Mission St,San Diego,CA,92456,San Diego,(619) 260-5898,,C9365486,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.921Z,pending
15 Deli 3,Active,California,2016-06-14,Sample Agent 3,4565 Main St,San Jose,CA,95253,San Diego,(408) 127-6204,,C3212268,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.921Z,pending
12 Taqueria 1,Active,California,2013-03-16,Sample Agent 1,8954 Hollywood Blvd,San Francisco,CA,94358,San Diego,(415) 271-7457,,C1058398,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.308Z,pending
12 Deli 3,Inactive,California,2017-12-08,Sample Agent 3,268 Market St,San Jose,CA,95137,San Diego,(408) 377-4662,,C4542574,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.308Z,pending
12 Cafe 2,Active,California,2022-09-09,Sample Agent 2,7199 Hollywood Blvd,San Diego,CA,92840,San Diego,(619) 706-4291,,C1679643,cafe,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.288Z,pending
15 Deli 3,Inactive,California,2024-01-08,Sample Agent 3,7596 1st St,San Diego,CA,92611,San Diego,(619) 372-7235,,C5700706,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.527Z,pending
15 Taqueria 2,Active,California,2013-03-23,Sample Agent 2,466 Market St,San Francisco,CA,94280,San Diego,(415) 511-5102,,C9395226,taqueria,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.847Z,pending
12 Taqueria 2,Active,California,2017-03-16,Sample Agent 2,8551 Wilshire Blvd,San Francisco,CA,94115,San Diego,(415) 261-6457,,C5710212,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.257Z,pending
