business_name,category,address,city,province_state,postal_code,phone,country,source,date_scraped,region,sub_region,cities,naics_code,tax_id,employee_count,status,lead_score,enriched_date
Chihuahua Agroindustria Maquiladora,Agroindustria,266 Libertad,Chihuahua,Chihuahua,31092,614-231-6586,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301950,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,EKC202074BG,11-50,Activo,85,2026-05-07T20:59:03.774389
Chihuahua Agroindustria Industrial,Agroindustria,1465 Ojinaga,Chihuahua,Chihuahua,31464,614-818-8834,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301965,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,GUP735575GO,200+,Activo,85,2026-05-07T20:59:03.774433
Norte Maquiladora Industrial,Maquiladora,1463 Deza y Ulloa,Chihuahua,Chihuahua,31128,614-332-3326,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301977,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,EBQ702377DX,1-10,Activo,85,2026-05-07T20:59:03.774446
Capital Textiles S.A. de C.V.,Textiles,425 Vallarta,Chihuahua,Chihuahua,31086,614-666-7658,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301984,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,NSA815501HT,200+,Activo,85,2026-05-07T20:59:03.774460
Colón Logística S.A. de C.V.,Logística,841 Allende,Chihuahua,Chihuahua,31124,614-216-3974,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301991,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,BYL595531BW,1-10,Activo,85,2026-05-07T20:59:03.774472
Colón Logística Industrial,Logística,1803 Allende,Chihuahua,Chihuahua,31232,614-921-5701,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301998,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,RAH355112CI,51-200,Activo,85,2026-05-07T20:59:03.774482
Colón Alimentos Industrial,Alimentos,546 Victoria,Chihuahua,Chihuahua,31190,614-481-6800,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302014,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,JLS147069JR,51-200,Activo,100,2026-05-07T20:59:03.774490
Norte Agroindustria S.A. de C.V.,Agroindustria,2356 Victoria,Chihuahua,Chihuahua,31372,614-854-6297,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302020,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,USM351919BH,51-200,Activo,85,2026-05-07T20:59:03.774499
Capital Logística S. de R.L.,Logística,1112 Victoria,Chihuahua,Chihuahua,31082,614-607-7329,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302032,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,KFI301307GD,51-200,Activo,85,2026-05-07T20:59:03.774509
Capital Manufactura Industrial,Manufactura,1552 Allende,Chihuahua,Chihuahua,31206,614-481-5988,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302038,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,UOC339008IU,200+,Activo,85,2026-05-07T20:59:03.774517
