business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
Prairie Transportation Ltd,Transportation,2248 Stephen St SW,Calgary,Alberta,T3X 1V9,403-534-7933,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184144,19349,200+,Active
Alberta Technology Inc,Technology,4736 Barlow St SW,Calgary,Alberta,T2X 3L8,403-584-8391,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184155,17238,51-200,Active
Stampede Healthcare Corp,Healthcare,3449 Crowchild St SW,Calgary,Alberta,T2X 1U7,403-815-1643,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184166,63571,51-200,Active
Prairie Financial Services Ltd,Financial Services,2504 Stephen St SW,Calgary,Alberta,T2X 6R3,403-990-9881,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184172,92653,51-200,Active
Alberta Healthcare Corp,Healthcare,5951 Macleod St SW,Calgary,Alberta,T2X 4V3,403-225-9267,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184179,84748,1-10,Active
Prairie Manufacturing Services,Manufacturing,116 Barlow St SW,Calgary,Alberta,T2X 4X9,403-550-7238,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184185,95045,11-50,Active
Prairie Retail Resources,Retail,677 Centre St SW,Calgary,Alberta,T3X 1W4,403-356-8220,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184192,94715,51-200,Active
Bow River Retail Energy,Retail,8161 17 Ave St SW,Calgary,Alberta,T2X 7F3,403-378-5311,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184197,59327,51-200,Active
Alberta Energy Resources,Energy,2682 Stephen St SW,Calgary,Alberta,T3X 2A1,403-806-1728,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184202,40708,51-200,Active
Bow River Technology Corp,Technology,7310 17 Ave St SW,Calgary,Alberta,T3X 4C1,403-796-1018,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184208,25368,11-50,Active
Prairie Energy Energy,Energy,7079 Stephen St SW,Calgary,Alberta,T2X 2J9,403-549-2358,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184213,71221,11-50,Active
Bow River Transportation Energy,Transportation,5689 Macleod St SW,Calgary,Alberta,T2X 8M3,403-257-4772,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184221,83171,51-200,Active
Alberta Real Estate Energy,Real Estate,193 17 Ave St SW,Calgary,Alberta,T3X 3L8,403-616-5995,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184229,93686,11-50,Active
Alberta Professional Services Resources,Professional Services,5844 17 Ave St SW,Calgary,Alberta,T2X 9J5,403-865-5926,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184240,31638,51-200,Active
Stampede Retail Energy,Retail,1834 Stephen St SW,Calgary,Alberta,T3X 1C5,403-525-5316,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184245,91137,1-10,Active
Calgary Transportation Inc,Transportation,90 Macleod St SW,Calgary,Alberta,T3X 6Y4,403-655-1444,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184250,16795,200+,Active
Bow River Oil & Gas Corp,Oil & Gas,5985 Barlow St SW,Calgary,Alberta,T2X 5C4,403-569-7255,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184258,92528,51-200,Active
Prairie Healthcare Inc,Healthcare,4796 Barlow St SW,Calgary,Alberta,T2X 7D2,403-893-2589,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184263,96477,1-10,Active
Calgary Professional Services Energy,Professional Services,2865 Stephen St SW,Calgary,Alberta,T2X 5T3,403-457-8358,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184269,57041,200+,Active
Prairie Professional Services Services,Professional Services,6857 Macleod St SW,Calgary,Alberta,T2X 7E6,403-628-2852,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184273,36619,51-200,Active
Stampede Professional Services Corp,Professional Services,4265 17 Ave St SW,Calgary,Alberta,T3X 9W6,403-702-9343,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184278,21082,200+,Active
Alberta Financial Services Energy,Financial Services,2959 Stephen St SW,Calgary,Alberta,T2X 3B2,403-613-9609,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184283,81380,200+,Active
Prairie Real Estate Inc,Real Estate,7487 Crowchild St SW,Calgary,Alberta,T3X 5J3,403-833-2533,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184291,87609,200+,Active
Prairie Technology Corp,Technology,4383 Crowchild St SW,Calgary,Alberta,T2X 1D1,403-417-3085,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184296,15526,1-10,Active
Stampede Retail Energy,Retail,1144 Crowchild St SW,Calgary,Alberta,T3X 2T9,403-929-8897,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184302,23793,200+,Active
Alberta Manufacturing Services,Manufacturing,1190 Centre St SW,Calgary,Alberta,T2X 8Z1,403-662-1262,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184307,17409,200+,Active
Stampede Construction Services,Construction,3020 Centre St SW,Calgary,Alberta,T3X 4P1,403-745-2061,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184312,66400,200+,Active
Calgary Energy Services,Energy,3949 4 Ave St SW,Calgary,Alberta,T2X 6S3,403-346-1287,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184317,61787,1-10,Active
Bow River Transportation Energy,Transportation,3205 Macleod St SW,Calgary,Alberta,T3X 8K6,403-617-1416,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184322,70510,11-50,Active
Prairie Professional Services Corp,Professional Services,6340 Barlow St SW,Calgary,Alberta,T3X 8I5,403-991-7727,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184329,42540,11-50,Active
Bow River Energy Corp,Energy,6925 Crowchild St SW,Calgary,Alberta,T3X 1N7,403-954-2772,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184341,60558,200+,Active
Calgary Financial Services Energy,Financial Services,5001 Stephen St SW,Calgary,Alberta,T3X 6L7,403-459-7803,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184355,21876,1-10,Active
Stampede Oil & Gas Inc,Oil & Gas,4479 Barlow St SW,Calgary,Alberta,T2X 6B5,403-776-1232,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184375,96691,200+,Active
Bow River Retail Inc,Retail,2237 Centre St SW,Calgary,Alberta,T3X 1Z7,403-329-2042,Canada,Alberta Corporate Registry,2026-05-07T20:56:56.184383,29157,1-10,Active
