business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
West Coast Real Estate Corp,Real Estate,4858 W Georgia St,Vancouver,British Columbia,V6D 7X8,604-497-8923,Canada,BC Registry Services,2026-05-07T20:56:56.247320,24695,1-10,Active
Kitsilano Film & Media Enterprises,Film & Media,5313 Commercial St,Vancouver,British Columbia,V5M 9E9,604-315-4836,Canada,BC Registry Services,2026-05-07T20:56:56.247334,55648,1-10,Active
Pacific Technology Ltd,Technology,1127 Robson St,Vancouver,British Columbia,V6K 6N5,604-593-9800,Canada,BC Registry Services,2026-05-07T20:56:56.247346,27267,51-200,Active
Pacific Import/Export Group,Import/Export,3282 Broadway St,Vancouver,British Columbia,V6P 4S2,604-236-5329,Canada,BC Registry Services,2026-05-07T20:56:56.247354,66265,200+,Active
Vancouver Professional Services Enterprises,Professional Services,2868 Burrard St,Vancouver,British Columbia,V6J 3E6,604-339-9129,Canada,BC Registry Services,2026-05-07T20:56:56.247361,84238,1-10,Active
Granville Film & Media Holdings,Film & Media,5325 Main St,Vancouver,British Columbia,V5F 5P4,604-717-6772,Canada,BC Registry Services,2026-05-07T20:56:56.247367,27014,1-10,Active
North Shore Healthcare Holdings,Healthcare,4971 Main St,Vancouver,British Columbia,V6Y 2M5,604-250-6586,Canada,BC Registry Services,2026-05-07T20:56:56.247374,58007,51-200,Active
North Shore Film & Media Ltd,Film & Media,2686 Commercial St,Vancouver,British Columbia,V5L 8Q2,604-573-3766,Canada,BC Registry Services,2026-05-07T20:56:56.247379,51870,11-50,Active
Granville Real Estate Holdings,Real Estate,1315 Robson St,Vancouver,British Columbia,V6N 7K3,604-906-9050,Canada,BC Registry Services,2026-05-07T20:56:56.247385,15644,1-10,Active
Kitsilano Import/Export Enterprises,Import/Export,1665 W Georgia St,Vancouver,British Columbia,V6B 2J4,604-290-4098,Canada,BC Registry Services,2026-05-07T20:56:56.247392,27596,200+,Active
