business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
Fredericton Forestry Ltd,Forestry,1755 Smythe St,Fredericton,New Brunswick,E3B 6B9,506-775-5234,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.182361,84397,51-200,Active
Fredericton Construction Group,Construction,1262 Smythe St,Fredericton,New Brunswick,E3B 1I9,506-263-1780,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.182373,18938,51-200,Active
Fredericton Construction Ltd,Construction,1077 King St,Fredericton,New Brunswick,E3B 9D1,506-816-5016,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.182385,87720,1-10,Active
Capital Manufacturing Solutions,Manufacturing,1906 Queen St,Fredericton,New Brunswick,E3B 6Y9,506-266-6197,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.182392,20213,11-50,Active
Capital Manufacturing Inc,Manufacturing,1428 Prospect St,Fredericton,New Brunswick,E4B 6O5,506-385-3944,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201475,89805,51-200,Active
New Brunswick Forestry Services,Forestry,1036 Smythe St,Fredericton,New Brunswick,E3B 3X2,506-751-1951,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201493,26979,51-200,Active
Fredericton Fishing Services,Fishing,723 Smythe St,Fredericton,New Brunswick,E3B 2P4,506-775-5834,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201500,82252,1-10,Active
New Brunswick Construction Solutions,Construction,1743 Regent St,Fredericton,New Brunswick,E3B 6P1,506-205-8949,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201506,53531,200+,Active
Capital IT Services Inc,IT Services,1255 King St,Fredericton,New Brunswick,E4B 2N8,506-330-1940,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201512,58035,11-50,Active
Fredericton Professional Services Inc,Professional Services,1430 Queen St,Fredericton,New Brunswick,E3B 2B3,506-383-4219,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201523,70124,11-50,Active
Fredericton Professional Services Solutions,Professional Services,1096 Smythe St,Fredericton,New Brunswick,E3B 6P5,506-294-4318,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201534,89543,51-200,Active
New Brunswick Retail Services,Retail,125 Queen St,Fredericton,New Brunswick,E4B 8M4,506-394-9893,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201540,92994,11-50,Active
New Brunswick Tourism Group,Tourism,1043 King St,Fredericton,New Brunswick,E3B 1H6,506-926-2210,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201548,70759,1-10,Active
New Brunswick Tourism Solutions,Tourism,689 Queen St,Fredericton,New Brunswick,E4B 8H1,506-515-8935,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201554,26127,11-50,Active
Fredericton Fishing Services,Fishing,1098 Regent St,Fredericton,New Brunswick,E3B 3J2,506-967-2261,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201559,68186,51-200,Active
Fredericton Tourism Ltd,Tourism,727 Prospect St,Fredericton,New Brunswick,E3B 4G2,506-225-4982,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201564,66430,1-10,Active
Fredericton Forestry Group,Forestry,1541 Regent St,Fredericton,New Brunswick,E3B 9L7,506-574-5734,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201569,70663,200+,Active
Fredericton Tourism Services,Tourism,225 Prospect St,Fredericton,New Brunswick,E3B 4Z4,506-814-7631,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201575,55928,51-200,Active
St. John River Retail Solutions,Retail,1673 King St,Fredericton,New Brunswick,E4B 4B6,506-575-5292,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201580,15078,11-50,Active
New Brunswick Fishing Ltd,Fishing,881 Smythe St,Fredericton,New Brunswick,E3B 3R9,506-492-4953,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201585,75891,11-50,Active
New Brunswick Construction Inc,Construction,680 Regent St,Fredericton,New Brunswick,E4B 4X8,506-523-9916,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201590,43480,1-10,Active
Capital Professional Services Ltd,Professional Services,751 Prospect St,Fredericton,New Brunswick,E3B 6O6,506-259-7451,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201595,21157,51-200,Active
St. John River Manufacturing Inc,Manufacturing,1588 Prospect St,Fredericton,New Brunswick,E3B 2E7,506-309-6768,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201603,43560,200+,Active
St. John River Retail Group,Retail,62 Queen St,Fredericton,New Brunswick,E3B 2E5,506-221-9437,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201609,47080,51-200,Active
Fredericton Forestry Solutions,Forestry,551 King St,Fredericton,New Brunswick,E4B 1M9,506-585-4860,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201614,83966,1-10,Active
Fredericton IT Services Services,IT Services,1371 Prospect St,Fredericton,New Brunswick,E4B 1C1,506-848-6213,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201619,31945,51-200,Active
St. John River Retail Ltd,Retail,634 Prospect St,Fredericton,New Brunswick,E3B 7J7,506-595-8766,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201624,56747,1-10,Active
New Brunswick Tourism Group,Tourism,1037 Prospect St,Fredericton,New Brunswick,E3B 4T2,506-468-6798,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201629,13190,51-200,Active
Fredericton Construction Solutions,Construction,1177 Queen St,Fredericton,New Brunswick,E4B 1L9,506-988-7098,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201635,42538,200+,Active
Capital Construction Services,Construction,1616 Smythe St,Fredericton,New Brunswick,E4B 9Q5,506-248-7213,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201640,13118,11-50,Active
Tidal Retail Inc,Retail,725 St. George Ave,Moncton,New Brunswick,E1C 6V5,506-649-9105,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201652,96294,11-50,Active
Acadian IT Services Ltd,IT Services,1143 St. George Ave,Moncton,New Brunswick,E1C 1N9,506-435-7490,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201665,35974,51-200,Active
Acadian IT Services Group,IT Services,1258 Mountain Ave,Moncton,New Brunswick,E1C 1Y9,506-238-7342,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201673,96789,1-10,Active
Acadian Fishing Group,Fishing,1279 Mountain Ave,Moncton,New Brunswick,E1C 9C8,506-399-3466,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201678,82808,51-200,Active
Hub City Professional Services Services,Professional Services,1556 Elmwood Ave,Moncton,New Brunswick,E1C 2H1,506-586-6934,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201684,83505,51-200,Active
Moncton Energy Services,Energy,573 Killam Ave,Moncton,New Brunswick,E1C 7J7,506-383-3523,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201689,60446,51-200,Active
Tidal Fishing Ltd,Fishing,1992 St. George Ave,Moncton,New Brunswick,E1C 1Z4,506-955-9326,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201694,53497,51-200,Active
Tidal Retail Group,Retail,689 St. George Ave,Moncton,New Brunswick,E1C 4Q5,506-579-4162,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201702,35496,1-10,Active
Tidal Energy Services,Energy,1610 Main Ave,Moncton,New Brunswick,E1C 7J9,506-711-2060,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201707,77208,200+,Active
Acadian Forestry Ltd,Forestry,1492 St. George Ave,Moncton,New Brunswick,E1C 3C2,506-984-4274,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201712,37135,200+,Active
Acadian Fishing Enterprises,Fishing,1472 Killam Ave,Moncton,New Brunswick,E1C 3R7,506-373-7489,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201720,25500,11-50,Active
Hub City Fishing Enterprises,Fishing,61 Killam Ave,Moncton,New Brunswick,E1C 6S9,506-276-8770,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201725,70103,11-50,Active
Moncton Retail Inc,Retail,1032 Main Ave,Moncton,New Brunswick,E1C 9Q8,506-415-3342,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201733,49938,51-200,Active
Acadian IT Services Ltd,IT Services,1706 Main Ave,Moncton,New Brunswick,E1C 4N5,506-293-7902,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201739,56629,200+,Active
Moncton Retail Services,Retail,330 Main Ave,Moncton,New Brunswick,E1C 2L5,506-885-9957,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201747,13231,51-200,Active
Acadian Professional Services Group,Professional Services,1876 St. George Ave,Moncton,New Brunswick,E1C 9G8,506-418-6864,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201755,24344,11-50,Active
Moncton Construction Group,Construction,1173 Elmwood Ave,Moncton,New Brunswick,E1C 4M4,506-352-3164,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201763,57176,11-50,Active
Tidal Energy Services,Energy,1184 Elmwood Ave,Moncton,New Brunswick,E1C 5Z8,506-598-6960,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201772,73049,11-50,Active
Tidal Forestry Ltd,Forestry,9 St. George Ave,Moncton,New Brunswick,E1C 2W5,506-882-4952,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201783,80788,1-10,Active
Hub City Professional Services Enterprises,Professional Services,200 Main Ave,Moncton,New Brunswick,E1C 4E2,506-703-2188,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201790,70097,51-200,Active
Tidal Manufacturing Enterprises,Manufacturing,2474 Elmwood Ave,Moncton,New Brunswick,E1C 5D2,506-346-9615,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201798,96533,1-10,Active
Moncton Construction Inc,Construction,993 St. George Ave,Moncton,New Brunswick,E1C 4S2,506-250-8269,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201805,69129,51-200,Active
Acadian Professional Services Inc,Professional Services,2257 Elmwood Ave,Moncton,New Brunswick,E1C 1Q5,506-479-6684,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201816,28565,1-10,Active
Acadian IT Services Enterprises,IT Services,1286 Elmwood Ave,Moncton,New Brunswick,E1C 1F3,506-652-1690,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201824,93854,200+,Active
Moncton Retail Ltd,Retail,1739 Elmwood Ave,Moncton,New Brunswick,E1C 5M1,506-425-7266,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201830,60883,1-10,Active
Hub City Energy Enterprises,Energy,1428 Main Ave,Moncton,New Brunswick,E1C 2Q3,506-400-6305,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201836,91798,200+,Active
Acadian Retail Services,Retail,2080 Main Ave,Moncton,New Brunswick,E1C 5I1,506-975-2201,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201843,14874,1-10,Active
Tidal Construction Group,Construction,2440 Killam Ave,Moncton,New Brunswick,E1C 3T2,506-258-8857,Canada,Service New Brunswick Corporate Registry,2026-05-07T20:56:56.201852,31540,51-200,Active
