business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
Scotia Retail Enterprises,Retail,2699 Blowers St,Halifax,Nova Scotia,B3J 5F6,902-782-9142,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271504,87039,51-200,Active
Scotia Construction Ltd,Construction,49 Water St,Halifax,Nova Scotia,B4J 4B5,902-843-3109,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271524,66109,51-200,Active
Halifax Technology Group,Technology,198 Barrington St,Halifax,Nova Scotia,B4J 2R4,902-745-1419,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271545,44676,51-200,Active
Nova Fishing Enterprises,Fishing,225 Spring Garden St,Halifax,Nova Scotia,B3J 6T8,902-630-4939,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271556,38474,1-10,Active
Halifax Education Inc,Education,1579 Water St,Halifax,Nova Scotia,B3J 7U2,902-608-5091,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271564,33726,200+,Active
Maritime Retail Services,Retail,474 Barrington St,Halifax,Nova Scotia,B3J 7J7,902-410-7806,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271577,53530,51-200,Active
Atlantic Professional Services Inc,Professional Services,1216 Duke St,Halifax,Nova Scotia,B4J 3B5,902-789-7650,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271585,93624,1-10,Active
Halifax Technology Inc,Technology,888 Blowers St,Halifax,Nova Scotia,B3J 7P3,902-599-7568,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271593,60967,1-10,Active
Maritime Technology Corp,Technology,401 Duke St,Halifax,Nova Scotia,B3J 4O3,902-972-8048,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271600,74950,1-10,Active
Nova Education Enterprises,Education,989 Barrington St,Halifax,Nova Scotia,B4J 8M2,902-653-3208,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271608,21435,51-200,Active
Atlantic Technology Ltd,Technology,2634 Spring Garden St,Halifax,Nova Scotia,B4J 5J6,902-642-4116,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271615,28888,11-50,Active
Nova Professional Services Inc,Professional Services,1498 Spring Garden St,Halifax,Nova Scotia,B3J 1A9,902-799-3715,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271622,16791,51-200,Active
Nova Technology Inc,Technology,1187 Duke St,Halifax,Nova Scotia,B3J 5U1,902-881-6815,Canada,Nova Scotia Registry of Joint Stock Companies,2026-05-07T20:56:56.271632,91901,11-50,Active
