business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
King Enterprises Food Services 268,Food Services,4476 Dundas St,Toronto,Ontario,M3V 7V8,416-939-8543,Canada,Ontario Business Registry,2026-05-07T20:55:15.631624,69491,51-200,Active
Lakeview Services Education 364,Education,4253 Spadina St,Toronto,Ontario,M8V 3S2,416-815-1981,Canada,Ontario Business Registry,2026-05-07T20:55:15.631642,62868,11-50,Active
Urban Corp Food Services 236,Food Services,2086 Dundas St,Toronto,Ontario,M8V 8N1,416-475-9450,Canada,Ontario Business Registry,2026-05-07T20:55:15.631654,46041,51-200,Active
Queen Enterprises Education 942,Education,714 Dundas St,Toronto,Ontario,M8V 7J3,416-973-5337,Canada,Ontario Business Registry,2026-05-07T20:55:15.631664,40806,11-50,Active
Toronto Solutions Real Estate 130,Real Estate,3609 Spadina St,Toronto,Ontario,M4V 7H8,416-201-9241,Canada,Ontario Business Registry,2026-05-07T20:55:15.631673,31388,1-10,Active
Toronto Solutions Automotive 412,Automotive,98 Queen St,Toronto,Ontario,M1V 2W2,416-908-5749,Canada,Ontario Business Registry,2026-05-07T20:55:15.631689,42781,1-10,Active
Lakeview Solutions Technology 173,Technology,1226 Dundas St,Toronto,Ontario,M2V 5K8,416-254-8433,Canada,Ontario Business Registry,2026-05-07T20:55:15.631699,12375,1-10,Active
Ontario Corp Construction 223,Construction,1632 Queen St,Toronto,Ontario,M1V 1N2,416-944-9175,Canada,Ontario Business Registry,2026-05-07T20:55:15.631709,33717,1-10,Active
Maple Corp Healthcare 335,Healthcare,4741 Queen St,Toronto,Ontario,M1V 5V5,416-971-6539,Canada,Ontario Business Registry,2026-05-07T20:55:15.631718,57710,11-50,Active
GTA Group Construction 428,Construction,3452 Yonge St,Toronto,Ontario,M8V 8L6,416-524-5162,Canada,Ontario Business Registry,2026-05-07T20:55:15.631727,63667,11-50,Active
Urban Services Technology 419,Technology,2694 Bloor St,Toronto,Ontario,M7V 2Y8,416-432-5469,Canada,Ontario Business Registry,2026-05-07T20:55:15.631735,12634,200+,Active
Lakeview Group Food Services 316,Food Services,3392 Bloor St,Toronto,Ontario,M2V 8L7,416-556-5056,Canada,Ontario Business Registry,2026-05-07T20:55:15.631744,95391,11-50,Active
Lakeview Inc Automotive 160,Automotive,821 Queen St,Toronto,Ontario,M6V 3E4,416-410-4999,Canada,Ontario Business Registry,2026-05-07T20:55:15.631753,30475,200+,Active
Lakeview Inc Automotive 484,Automotive,3251 College St,Toronto,Ontario,M7V 7L4,416-659-4589,Canada,Ontario Business Registry,2026-05-07T20:55:15.631763,97569,1-10,Active
Metro Solutions Real Estate 557,Real Estate,3832 Bloor St,Toronto,Ontario,M2V 9Q3,416-333-8735,Canada,Ontario Business Registry,2026-05-07T20:55:15.631772,73664,1-10,Active
Toronto Inc Education 877,Education,871 Bloor St,Toronto,Ontario,M4V 6H2,416-949-2964,Canada,Ontario Business Registry,2026-05-07T20:55:15.631784,15349,51-200,Active
Lakeview Solutions Healthcare 789,Healthcare,4561 Dundas St,Toronto,Ontario,M4V 6P6,416-978-2776,Canada,Ontario Business Registry,2026-05-07T20:55:15.631792,68703,51-200,Active
GTA Services Retail 197,Retail,3881 Bay St,Toronto,Ontario,M7V 8Z4,416-516-8094,Canada,Ontario Business Registry,2026-05-07T20:55:15.631801,37203,1-10,Active
King Enterprises Professional Services 908,Professional Services,4044 Dundas St,Toronto,Ontario,M4V 7S4,416-765-4806,Canada,Ontario Business Registry,2026-05-07T20:55:15.631809,65054,1-10,Active
Maple Inc Automotive 939,Automotive,4650 Bay St,Toronto,Ontario,M7V 8F3,416-970-3452,Canada,Ontario Business Registry,2026-05-07T20:55:15.631818,64504,11-50,Active
Urban Inc Healthcare 531,Healthcare,2177 College St,Toronto,Ontario,M9V 6D6,416-743-7998,Canada,Ontario Business Registry,2026-05-07T20:55:15.631827,68419,200+,Active
Ontario Services Technology 931,Technology,3025 Queen St,Toronto,Ontario,M5V 6P6,416-997-8728,Canada,Ontario Business Registry,2026-05-07T20:55:15.631836,99268,1-10,Active
Lakeview Consulting Financial Services 227,Financial Services,478 College St,Toronto,Ontario,M4V 3V2,416-505-6966,Canada,Ontario Business Registry,2026-05-07T20:55:15.631850,79401,11-50,Active
Lakeview Inc Retail 188,Retail,200 College St,Toronto,Ontario,M8V 6S5,416-340-5607,Canada,Ontario Business Registry,2026-05-07T20:55:15.631859,21013,51-200,Active
Maple Consulting Professional Services 484,Professional Services,3445 Yonge St,Toronto,Ontario,M1V 5J5,416-252-1914,Canada,Ontario Business Registry,2026-05-07T20:55:15.631868,37093,200+,Active
King Corp Food Services 226,Food Services,2112 King St,Toronto,Ontario,M5V 1Y5,416-236-9657,Canada,Ontario Business Registry,2026-05-07T20:55:15.631883,84621,200+,Active
Queen Ltd Automotive 625,Automotive,3822 College St,Toronto,Ontario,M8V 1E7,416-686-6014,Canada,Ontario Business Registry,2026-05-07T20:55:15.631891,92019,11-50,Active
Lakeview Services Manufacturing 102,Manufacturing,110 Bay St,Toronto,Ontario,M9V 5J2,416-820-7112,Canada,Ontario Business Registry,2026-05-07T20:55:15.631900,54998,51-200,Active
Maple Solutions Technology 243,Technology,2312 Queen St,Toronto,Ontario,M9V 7G2,416-518-2742,Canada,Ontario Business Registry,2026-05-07T20:55:15.631910,65049,51-200,Active
Queen Enterprises Education 155,Education,2531 Queen St,Toronto,Ontario,M2V 6H3,416-693-4237,Canada,Ontario Business Registry,2026-05-07T20:55:15.631919,13934,200+,Active
Ontario Enterprises Professional Services 879,Professional Services,491 Dundas St,Toronto,Ontario,M5V 9P4,416-403-8596,Canada,Ontario Business Registry,2026-05-07T20:55:15.631927,72738,200+,Active
Urban Services Education 351,Education,4474 King St,Toronto,Ontario,M7V 6F7,416-630-5559,Canada,Ontario Business Registry,2026-05-07T20:55:15.631936,98995,51-200,Active
Queen Group Construction 798,Construction,2226 University St,Toronto,Ontario,M5V 4F2,416-438-7478,Canada,Ontario Business Registry,2026-05-07T20:55:15.631944,43434,1-10,Active
Lakeview Corp Retail 419,Retail,1859 Spadina St,Toronto,Ontario,M5V 2I9,416-838-6375,Canada,Ontario Business Registry,2026-05-07T20:55:15.631956,50570,200+,Active
Metro Solutions Automotive 656,Automotive,1970 Dundas St,Toronto,Ontario,M4V 2M6,416-762-2525,Canada,Ontario Business Registry,2026-05-07T20:55:15.631964,19851,200+,Active
Ontario Enterprises Construction 378,Construction,2271 Dundas St,Toronto,Ontario,M8V 3U5,416-827-7039,Canada,Ontario Business Registry,2026-05-07T20:55:15.631977,36226,51-200,Active
Queen Services Education 121,Education,1820 University St,Toronto,Ontario,M7V 2S8,416-290-5161,Canada,Ontario Business Registry,2026-05-07T20:55:15.631986,92926,200+,Active
King Enterprises Education 586,Education,1834 Bay St,Toronto,Ontario,M8V 1P8,416-995-6971,Canada,Ontario Business Registry,2026-05-07T20:55:15.631994,12256,200+,Active
GTA Consulting Education 326,Education,1610 King St,Toronto,Ontario,M5V 6D7,416-376-5831,Canada,Ontario Business Registry,2026-05-07T20:55:15.632029,67279,1-10,Active
Metro Inc Real Estate 285,Real Estate,2543 Bloor St,Toronto,Ontario,M9V 8Y4,416-927-6641,Canada,Ontario Business Registry,2026-05-07T20:55:15.632038,89656,1-10,Active
Queen Group Professional Services 904,Professional Services,4895 University St,Toronto,Ontario,M8V 7I4,416-388-8826,Canada,Ontario Business Registry,2026-05-07T20:55:15.632055,48662,200+,Active
King Solutions Healthcare 225,Healthcare,1037 Dundas St,Toronto,Ontario,M1V 7C4,416-909-2171,Canada,Ontario Business Registry,2026-05-07T20:55:15.632064,91333,51-200,Active
Ontario Consulting Retail 127,Retail,960 King St,Toronto,Ontario,M6V 3L7,416-222-5404,Canada,Ontario Business Registry,2026-05-07T20:55:15.632072,53575,1-10,Active
Metro Ltd Construction 910,Construction,3896 College St,Toronto,Ontario,M4V 2E3,416-521-7441,Canada,Ontario Business Registry,2026-05-07T20:55:15.632080,97717,11-50,Active
Queen Group Manufacturing 682,Manufacturing,3257 Queen St,Toronto,Ontario,M8V 4G2,416-385-7059,Canada,Ontario Business Registry,2026-05-07T20:55:15.632088,83735,1-10,Active
Ontario Consulting Professional Services 302,Professional Services,351 College St,Toronto,Ontario,M3V 2L8,416-402-9376,Canada,Ontario Business Registry,2026-05-07T20:55:15.632100,95060,51-200,Active
Maple Group Transportation 661,Transportation,2939 King St,Toronto,Ontario,M9V 3A1,416-814-5522,Canada,Ontario Business Registry,2026-05-07T20:55:15.632113,72152,200+,Active
Ontario Ltd Technology 463,Technology,2831 Spadina St,Toronto,Ontario,M5V 7R5,416-754-9704,Canada,Ontario Business Registry,2026-05-07T20:55:15.632122,33442,200+,Active
GTA Group Construction 684,Construction,4174 Queen St,Toronto,Ontario,M4V 6Z1,416-654-3084,Canada,Ontario Business Registry,2026-05-07T20:55:15.632130,94392,11-50,Active
Urban Corp Food Services 704,Food Services,228 Bay St,Toronto,Ontario,M3V 1H4,416-859-9395,Canada,Ontario Business Registry,2026-05-07T20:55:15.632142,11594,1-10,Active
Maple Ltd Construction 124,Construction,4780 Queen St,Toronto,Ontario,M3V 6G2,416-510-5868,Canada,Ontario Business Registry,2026-05-07T20:55:15.632154,56035,200+,Active
Queen Solutions Healthcare 454,Healthcare,998 King St,Toronto,Ontario,M3V 1F1,416-247-3457,Canada,Ontario Business Registry,2026-05-07T20:55:15.632162,95791,1-10,Active
GTA Consulting Financial Services 478,Financial Services,4074 Spadina St,Toronto,Ontario,M3V 3K3,416-688-2824,Canada,Ontario Business Registry,2026-05-07T20:55:15.632171,77659,200+,Active
Urban Group Manufacturing 755,Manufacturing,3826 Bay St,Toronto,Ontario,M8V 7G1,416-371-7875,Canada,Ontario Business Registry,2026-05-07T20:55:15.632180,65928,1-10,Active
Queen Solutions Education 166,Education,4744 King St,Toronto,Ontario,M2V 2R2,416-439-4463,Canada,Ontario Business Registry,2026-05-07T20:55:15.632193,77332,51-200,Active
GTA Consulting Food Services 839,Food Services,4418 King St,Toronto,Ontario,M9V 8N6,416-704-9955,Canada,Ontario Business Registry,2026-05-07T20:55:15.632204,28370,11-50,Active
GTA Solutions Financial Services 436,Financial Services,2573 Dundas St,Toronto,Ontario,M8V 7U3,416-285-9505,Canada,Ontario Business Registry,2026-05-07T20:55:15.632212,60359,200+,Active
King Solutions Construction 983,Construction,2246 University St,Toronto,Ontario,M2V 7N6,416-784-2997,Canada,Ontario Business Registry,2026-05-07T20:55:15.632220,42363,11-50,Active
Lakeview Consulting Financial Services 274,Financial Services,2299 Spadina St,Toronto,Ontario,M3V 9G6,416-552-8146,Canada,Ontario Business Registry,2026-05-07T20:55:15.632228,57972,200+,Active
