business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
Prairie Transportation Group,Transportation,1960 Saskatchewan Ave,Regina,Saskatchewan,S3P 1Q5,306-762-6199,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187805,36098,11-50,Active
Sask Professional Services Group,Professional Services,2304 Victoria Ave,Regina,Saskatchewan,S3P 1Q5,306-560-2283,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187820,21664,200+,Active
Regina Energy Resources,Energy,1921 11th Ave,Regina,Saskatchewan,S4P 8Y9,306-419-4996,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187836,58706,1-10,Active
Sask Technology Group,Technology,656 Victoria Ave,Regina,Saskatchewan,S3P 8Z6,306-582-7522,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187845,38187,200+,Active
Prairie Mining Resources,Mining,1834 Albert Ave,Regina,Saskatchewan,S3P 5S6,306-315-8765,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187853,35095,200+,Active
Prairie Construction Resources,Construction,3190 Saskatchewan Ave,Regina,Saskatchewan,S3P 5J6,306-959-2158,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187861,64944,1-10,Active
Queen City Manufacturing Services,Manufacturing,496 Broad Ave,Regina,Saskatchewan,S3P 2A8,306-288-9114,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187869,95038,51-200,Active
Queen City Energy Ltd,Energy,178 Victoria Ave,Regina,Saskatchewan,S3P 8W2,306-370-1282,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187877,91065,1-10,Active
Sask Agriculture Inc,Agriculture,3023 Broad Ave,Regina,Saskatchewan,S3P 6I2,306-536-8323,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187885,19856,200+,Active
Queen City Retail Group,Retail,2911 Albert Ave,Regina,Saskatchewan,S4P 5T7,306-200-5980,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187893,40368,1-10,Active
Queen City Technology Group,Technology,2111 Saskatchewan Ave,Regina,Saskatchewan,S3P 8L2,306-665-5562,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187901,24660,51-200,Active
Queen City Construction Ltd,Construction,2698 Saskatchewan Ave,Regina,Saskatchewan,S3P 3X2,306-672-7373,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187909,67523,1-10,Active
Sask Technology Resources,Technology,3584 Broad Ave,Regina,Saskatchewan,S4P 9F7,306-859-9769,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187921,87826,51-200,Active
Regina Technology Resources,Technology,72 11th Ave,Regina,Saskatchewan,S4P 2J1,306-627-8413,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187933,25970,11-50,Active
Sask Technology Group,Technology,356 11th Ave,Regina,Saskatchewan,S4P 4W7,306-644-1032,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187942,55477,51-200,Active
Regina Technology Ltd,Technology,1909 11th Ave,Regina,Saskatchewan,S3P 1N1,306-600-6066,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187951,62831,200+,Active
Prairie Professional Services Group,Professional Services,2305 Victoria Ave,Regina,Saskatchewan,S4P 9O9,306-733-8592,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187965,93990,51-200,Active
Prairie Retail Group,Retail,1929 Broad Ave,Regina,Saskatchewan,S4P 2D7,306-512-5315,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187975,83039,200+,Active
Queen City Professional Services Ltd,Professional Services,3621 Broad Ave,Regina,Saskatchewan,S3P 7A5,306-275-1652,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187983,29480,200+,Active
Queen City Agriculture Ltd,Agriculture,1140 11th Ave,Regina,Saskatchewan,S4P 5W9,306-502-3970,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.187992,47901,1-10,Active
Sask Transportation Inc,Transportation,831 Albert Ave,Regina,Saskatchewan,S3P 3D9,306-920-6213,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188000,64152,1-10,Active
Regina Agriculture Group,Agriculture,758 Saskatchewan Ave,Regina,Saskatchewan,S4P 4J9,306-798-4071,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188023,92355,1-10,Active
Regina Professional Services Resources,Professional Services,2130 Saskatchewan Ave,Regina,Saskatchewan,S4P 5T7,306-921-2680,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188034,13197,1-10,Active
Queen City Professional Services Services,Professional Services,4614 Albert Ave,Regina,Saskatchewan,S4P 5F8,306-429-1724,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188043,15312,51-200,Active
Sask Energy Services,Energy,11 11th Ave,Regina,Saskatchewan,S4P 4P5,306-850-1273,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188050,15464,200+,Active
Sask Transportation Inc,Transportation,2486 Saskatchewan Ave,Regina,Saskatchewan,S4P 6J9,306-696-3046,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188058,83882,51-200,Active
Queen City Transportation Group,Transportation,1351 Victoria Ave,Regina,Saskatchewan,S3P 7F2,306-572-9548,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188067,98419,200+,Active
Regina Technology Group,Technology,1805 Saskatchewan Ave,Regina,Saskatchewan,S3P 2T1,306-593-1120,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188075,17837,1-10,Active
Regina Mining Inc,Mining,863 Broad Ave,Regina,Saskatchewan,S3P 5Q2,306-582-2059,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188083,13256,200+,Active
Queen City Energy Inc,Energy,2495 Victoria Ave,Regina,Saskatchewan,S4P 1K1,306-393-6318,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188091,92207,11-50,Active
Regina Professional Services Ltd,Professional Services,3719 Albert Ave,Regina,Saskatchewan,S4P 9O5,306-614-4462,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188099,76651,51-200,Active
Sask Manufacturing Ltd,Manufacturing,1925 Saskatchewan Ave,Regina,Saskatchewan,S3P 6I5,306-488-9419,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188107,35467,51-200,Active
Queen City Transportation Resources,Transportation,1492 Victoria Ave,Regina,Saskatchewan,S4P 1A9,306-224-1579,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188119,88685,1-10,Active
Regina Mining Services,Mining,3659 Broad Ave,Regina,Saskatchewan,S3P 8K3,306-395-4930,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188127,24649,1-10,Active
Regina Manufacturing Services,Manufacturing,2225 11th Ave,Regina,Saskatchewan,S3P 8P7,306-812-2843,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188138,20199,1-10,Active
Sask Mining Resources,Mining,3401 Victoria Ave,Regina,Saskatchewan,S3P 8G2,306-376-7477,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188147,22417,11-50,Active
Prairie Professional Services Ltd,Professional Services,2630 11th Ave,Regina,Saskatchewan,S3P 6K2,306-780-3338,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188155,71303,1-10,Active
Sask Technology Ltd,Technology,4886 Albert Ave,Regina,Saskatchewan,S4P 2E9,306-835-4295,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188162,47428,51-200,Active
Sask Retail Services,Retail,1471 Victoria Ave,Regina,Saskatchewan,S3P 2Y1,306-478-1311,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188170,62186,1-10,Active
Regina Transportation Group,Transportation,2799 Albert Ave,Regina,Saskatchewan,S3P 5R8,306-910-4997,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188178,98291,200+,Active
Regina Energy Ltd,Energy,3916 11th Ave,Regina,Saskatchewan,S4P 5U1,306-910-6704,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188186,74924,1-10,Active
Regina Professional Services Group,Professional Services,79 11th Ave,Regina,Saskatchewan,S3P 9X2,306-824-3809,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188194,62053,1-10,Active
Queen City Professional Services Resources,Professional Services,682 Albert Ave,Regina,Saskatchewan,S4P 6W1,306-405-7016,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188206,62526,51-200,Active
Regina Professional Services Inc,Professional Services,4083 Saskatchewan Ave,Regina,Saskatchewan,S3P 7H6,306-769-5287,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188214,98019,200+,Active
Sask Transportation Services,Transportation,4220 Albert Ave,Regina,Saskatchewan,S4P 9E1,306-680-3225,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188222,55900,51-200,Active
River Professional Services Solutions,Professional Services,802 2nd St,Saskatoon,Saskatchewan,S7K 9A5,306-309-4955,Canada,Saskatchewan Corporate Registry,2026-05-07T20:56:56.188234,24698,1-10,Active
