business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
Caliente Logística Corporativo,Logística,480 Revolución,Soler,Tijuana,Baja California,22446,664-561-3034,México,Registro Público de Baja California,2026-05-07T20:56:56.289663,ZRT885447DH,1-10,Activo
Baja California Manufactura Corporativo,Manufactura,6817 Paseo Centenario,Cacho,Tijuana,Baja California,22468,664-346-3678,México,Registro Público de Baja California,2026-05-07T20:56:56.289678,HSZ491349IA,51-200,Activo
Zona Norte Comercio Maquiladora,Comercio,7324 Agua Caliente,Agua Caliente,Tijuana,Baja California,22052,664-927-8148,México,Registro Público de Baja California,2026-05-07T20:56:56.289691,VYB254006PL,1-10,Activo
Baja California Pesquero Corporativo,Pesquero,8527 Constitución,Libertad,Tijuana,Baja California,22068,664-109-6727,México,Registro Público de Baja California,2026-05-07T20:56:56.289698,HHF902010QC,1-10,Activo
Zona Norte Turismo Corporativo,Turismo,6073 Blvd 2000,Soler,Tijuana,Baja California,22192,664-475-8072,México,Registro Público de Baja California,2026-05-07T20:56:56.289705,FHK130391YH,11-50,Activo
Baja California Logística Corporativo,Logística,9374 Ortiz Rubio,Libertad,Tijuana,Baja California,22007,664-616-9856,México,Registro Público de Baja California,2026-05-07T20:56:56.289713,TGS471397TJ,200+,Activo
Tijuanense Agroindustria Corporativo,Agroindustria,4023 Ortiz Rubio,Playas,Tijuana,Baja California,22473,664-989-5191,México,Registro Público de Baja California,2026-05-07T20:56:56.289720,UEC634266ZB,51-200,Activo
Caliente Turismo Industrial,Turismo,2540 Constitución,Otay,Tijuana,Baja California,22271,664-243-3488,México,Registro Público de Baja California,2026-05-07T20:56:56.289732,PGD587263SQ,11-50,Activo
Río Turismo Industrial,Turismo,2278 Misión,Zona Centro,Tijuana,Baja California,22369,664-653-2280,México,Registro Público de Baja California,2026-05-07T20:56:56.289738,SOO205878TH,11-50,Activo
Tijuanense Agroindustria S. de R.L.,Agroindustria,134 Misión,Playas,Tijuana,Baja California,22313,664-334-9956,México,Registro Público de Baja California,2026-05-07T20:56:56.289745,JKI574272JA,51-200,Activo
Agua Caliente Manufactura S. de R.L.,Manufactura,5925 Agua Caliente,Agua Caliente,Tijuana,Baja California,22407,664-911-6742,México,Registro Público de Baja California,2026-05-07T20:56:56.289751,VZJ647900UX,200+,Activo
Misión Maquiladora S.A. de C.V.,Maquiladora,8891 Blvd 2000,Zona Centro,Tijuana,Baja California,22037,664-468-6281,México,Registro Público de Baja California,2026-05-07T20:56:56.289757,XKP691113PY,1-10,Activo
Tijuana Turismo Maquiladora,Turismo,9391 Revolución,Lomas,Tijuana,Baja California,22177,664-858-2224,México,Registro Público de Baja California,2026-05-07T20:56:56.289766,WYS598472OI,11-50,Activo
Misión Pesquero Industrial,Pesquero,4125 Revolución,Otay,Tijuana,Baja California,22232,664-158-1444,México,Registro Público de Baja California,2026-05-07T20:56:56.289773,BJB273363WJ,11-50,Activo
Río Inmobiliaria S.A. de C.V.,Inmobiliaria,9132 Revolución,La Mesa,Tijuana,Baja California,22016,664-973-7947,México,Registro Público de Baja California,2026-05-07T20:56:56.289779,PXO413760RG,51-200,Activo
Misión Comercio S. de R.L.,Comercio,57 Misión,Cacho,Tijuana,Baja California,22019,664-455-1105,México,Registro Público de Baja California,2026-05-07T20:56:56.289785,DBS412888WE,11-50,Activo
Tijuanense Manufactura Corporativo,Manufactura,8450 Agua Caliente,Agua Caliente,Tijuana,Baja California,22455,664-981-2849,México,Registro Público de Baja California,2026-05-07T20:56:56.289792,DBC390124SK,1-10,Activo
Playas Inmobiliaria Corporativo,Inmobiliaria,1971 Lázaro Cárdenas,Lomas,Tijuana,Baja California,22430,664-987-7295,México,Registro Público de Baja California,2026-05-07T20:56:56.289798,EXN263006ED,11-50,Activo
Baja California Pesquero S. de R.L.,Pesquero,2264 Misión,Agua Caliente,Tijuana,Baja California,22002,664-346-3227,México,Registro Público de Baja California,2026-05-07T20:56:56.289804,EGK496559LA,1-10,Activo
Baja California Turismo Industrial,Turismo,2516 Constitución,Agua Caliente,Tijuana,Baja California,22139,664-769-5572,México,Registro Público de Baja California,2026-05-07T20:56:56.289810,NDQ655087JX,200+,Activo
Baja California Comercio S.A. de C.V.,Comercio,5693 Agua Caliente,Soler,Tijuana,Baja California,22055,664-396-3970,México,Registro Público de Baja California,2026-05-07T20:56:56.289816,JZE476090VF,11-50,Activo
Misión Servicios S.A. de C.V.,Servicios,698 Misión,Río,Tijuana,Baja California,22030,664-609-2830,México,Registro Público de Baja California,2026-05-07T20:56:56.289822,IWA392414GL,51-200,Activo
Playas Logística Maquiladora,Logística,8581 Ortiz Rubio,Playas,Tijuana,Baja California,22004,664-319-8151,México,Registro Público de Baja California,2026-05-07T20:56:56.289834,VBH601856DS,11-50,Activo
Zona Norte Turismo Maquiladora,Turismo,9480 Paseo Centenario,Lomas,Tijuana,Baja California,22250,664-441-1777,México,Registro Público de Baja California,2026-05-07T20:56:56.289840,RVG101068WH,51-200,Activo
Tijuana Agroindustria S.A. de C.V.,Agroindustria,5562 Agua Caliente,Río,Tijuana,Baja California,22383,664-292-1162,México,Registro Público de Baja California,2026-05-07T20:56:56.289846,NLT469840CK,51-200,Activo
Baja California Comercio Industrial,Comercio,2218 Blvd 2000,Agua Caliente,Tijuana,Baja California,22310,664-140-1026,México,Registro Público de Baja California,2026-05-07T20:56:56.289853,XKG742455HU,51-200,Activo
Río Tecnología Industrial,Tecnología,4697 Paseo Centenario,Agua Caliente,Tijuana,Baja California,22300,664-343-4751,México,Registro Público de Baja California,2026-05-07T20:56:56.289862,JLE114890MQ,11-50,Activo
Agua Caliente Pesquero Industrial,Pesquero,604 Revolución,Otay,Tijuana,Baja California,22335,664-823-2662,México,Registro Público de Baja California,2026-05-07T20:56:56.289869,KZO250052OM,1-10,Activo
Zona Norte Comercio S. de R.L.,Comercio,8298 Paseo Centenario,Cacho,Tijuana,Baja California,22423,664-929-8870,México,Registro Público de Baja California,2026-05-07T20:56:56.289876,ESW849454ZY,1-10,Activo
