business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
Salud Distrito 167,Salud,19 Puebla,Condesa,Ciudad de México,Ciudad de México,01680,55-4654-4659,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.141966,YDH222275JW,51-200,Activo
Chilango Finanzas Soluciones,Finanzas,258 Álvaro Obregón,Nápoles,Ciudad de México,Ciudad de México,01490,55-8868-8473,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.141986,NHI155345VY,51-200,Activo
Tecnología Distrito 624,Tecnología,28 Puebla,Juárez,Ciudad de México,Ciudad de México,01605,55-6077-2937,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142017,DEN461558ZB,11-50,Activo
Distrito Restaurantes Grupo,Restaurantes,156 Durango,Cuauhtémoc,Ciudad de México,Ciudad de México,01432,55-5256-3571,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142030,VPQ384612NL,200+,Activo
Capital Educación S.A.P.I. de C.V.,Educación,9 Durango,Santa Fe,Ciudad de México,Ciudad de México,01365,55-7686-9395,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142042,OJX643421DZ,200+,Activo
Educación Reforma 112,Educación,223 Orizaba,Del Valle,Ciudad de México,Ciudad de México,01560,55-2874-5952,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142055,FHD652101HV,1-10,Activo
Transporte Metropolitano 271,Transporte,255 Madero,Condesa,Ciudad de México,Ciudad de México,01484,55-5536-4676,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142066,PFR725807PU,200+,Activo
Ciudad de México Manufactura S. de R.L.,Manufactura,281 Durango,Condesa,Ciudad de México,Ciudad de México,01249,55-8142-8756,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142077,UVB187178EZ,200+,Activo
Tecnología Distrito 259,Tecnología,189 Orizaba,Cuauhtémoc,Ciudad de México,Ciudad de México,01516,55-3465-9270,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142088,SBI406033KU,200+,Activo
Capital Salud Soluciones,Salud,156 Madero,Polanco,Ciudad de México,Ciudad de México,01674,55-2860-9429,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142099,JBU539118RK,51-200,Activo
Turismo Ciudad de México 923,Turismo,66 Masaryk,Condesa,Ciudad de México,Ciudad de México,01113,55-2091-6835,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142110,PAM335411BG,11-50,Activo
Chilango Servicios Profesionales S.A.P.I. de C.V.,Servicios Profesionales,133 Madero,Coyoacán,Ciudad de México,Ciudad de México,01047,55-7930-7609,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142121,SOU653796II,11-50,Activo
Reforma Turismo Grupo,Turismo,290 Amsterdam,Roma Norte,Ciudad de México,Ciudad de México,01051,55-7964-4439,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142136,ADL729688KC,51-200,Activo
Ciudad de México Tecnología Servicios,Tecnología,232 Reforma,Polanco,Ciudad de México,Ciudad de México,01421,55-1164-4602,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142155,CAA485322XB,200+,Activo
Salud Roma 783,Salud,194 Puebla,Juárez,Ciudad de México,Ciudad de México,01244,55-6795-2411,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142166,WOY320806IU,200+,Activo
Polanco Finanzas A.C.,Finanzas,79 Masaryk,Condesa,Ciudad de México,Ciudad de México,01189,55-3307-1366,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142180,ODV168547VT,200+,Activo
Educación Polanco 910,Educación,240 Amsterdam,Cuauhtémoc,Ciudad de México,Ciudad de México,01215,55-7623-2809,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142192,AYK321063NB,11-50,Activo
Manufactura Metropolitano 758,Manufactura,220 Masaryk,Coyoacán,Ciudad de México,Ciudad de México,01637,55-3127-1468,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142202,QFT744654KP,200+,Activo
Reforma Educación S.C.,Educación,95 Orizaba,Juárez,Ciudad de México,Ciudad de México,01424,55-4893-3921,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142210,QAC884374NJ,11-50,Activo
Educación Condesa 892,Educación,261 Masaryk,Coyoacán,Ciudad de México,Ciudad de México,01395,55-1934-8548,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142220,DCL641109KC,200+,Activo
Reforma Entretenimiento A.C.,Entretenimiento,8 Masaryk,Cuauhtémoc,Ciudad de México,Ciudad de México,01331,55-6306-7687,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142231,WIJ647886GF,51-200,Activo
Metropolitano Transporte S.C.,Transporte,178 Madero,Nápoles,Ciudad de México,Ciudad de México,01132,55-4434-2000,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142242,YBJ350601JG,200+,Activo
Condesa Turismo Servicios,Turismo,224 Durango,Centro,Ciudad de México,Ciudad de México,01327,55-5014-4614,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142256,WUD492504LR,200+,Activo
Chilango Comercio Corporativo,Comercio,237 Amsterdam,Roma Norte,Ciudad de México,Ciudad de México,01084,55-6303-8078,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142266,PGI611431SO,1-10,Activo
Condesa Entretenimiento S. de R.L.,Entretenimiento,211 Insurgentes,Del Valle,Ciudad de México,Ciudad de México,01458,55-1775-8448,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142277,WOT956376VT,11-50,Activo
Roma Tecnología Corporativo,Tecnología,255 Orizaba,Del Valle,Ciudad de México,Ciudad de México,01585,55-8315-3418,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142288,SLV298920GT,200+,Activo
Chilango Finanzas S.C.,Finanzas,40 Madero,Centro,Ciudad de México,Ciudad de México,01664,55-5150-9763,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142298,YTZ172747VJ,1-10,Activo
Entretenimiento Reforma 179,Entretenimiento,277 Medellín,Condesa,Ciudad de México,Ciudad de México,01691,55-3536-6807,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142310,RJH465483PG,1-10,Activo
Zócalo Construcción S. de R.L.,Construcción,244 Madero,Coyoacán,Ciudad de México,Ciudad de México,01628,55-9657-5302,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142320,WWO284504YD,11-50,Activo
Chilango Servicios Profesionales S.A. de C.V.,Servicios Profesionales,270 Insurgentes,Cuauhtémoc,Ciudad de México,Ciudad de México,01293,55-9498-4946,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142331,SAD320827ZY,200+,Activo
Construcción Distrito 722,Construcción,278 Masaryk,Juárez,Ciudad de México,Ciudad de México,01643,55-3663-2350,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142345,MRZ959419WH,200+,Activo
Construcción Polanco 670,Construcción,128 Madero,Santa Fe,Ciudad de México,Ciudad de México,01124,55-3725-9029,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142357,JGQ709438IQ,200+,Activo
Condesa Salud Soluciones,Salud,104 Álvaro Obregón,Nápoles,Ciudad de México,Ciudad de México,01645,55-8112-4321,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142374,HIQ344881UB,11-50,Activo
Distrito Servicios Profesionales S.C.,Servicios Profesionales,132 Reforma,Santa Fe,Ciudad de México,Ciudad de México,01358,55-5397-2929,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142385,KGG228915WG,1-10,Activo
Turismo Metropolitano 682,Turismo,52 Amsterdam,Nápoles,Ciudad de México,Ciudad de México,01041,55-5603-8719,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142411,VNG102447ZU,1-10,Activo
Educación Chilango 582,Educación,231 Madero,Polanco,Ciudad de México,Ciudad de México,01393,55-6126-1338,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142422,IHP789396JN,1-10,Activo
Entretenimiento Roma 497,Entretenimiento,153 Durango,Centro,Ciudad de México,Ciudad de México,01096,55-7466-1973,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142434,JEJ347762SQ,11-50,Activo
Manufactura Roma 652,Manufactura,300 Madero,Polanco,Ciudad de México,Ciudad de México,01247,55-6459-2340,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142445,FCZ187144MX,51-200,Activo
Condesa Comercio Soluciones,Comercio,227 Puebla,Juárez,Ciudad de México,Ciudad de México,01192,55-6237-6234,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142456,UUD428710WJ,51-200,Activo
Salud Capital 581,Salud,128 Reforma,Condesa,Ciudad de México,Ciudad de México,01598,55-7998-4639,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142467,ULH546690ZZ,200+,Activo
Educación Capital 703,Educación,252 Reforma,Santa Fe,Ciudad de México,Ciudad de México,01367,55-4575-9228,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142478,UOQ980864LA,51-200,Activo
Distrito Tecnología Corporativo,Tecnología,244 Amsterdam,Coyoacán,Ciudad de México,Ciudad de México,01472,55-2112-9400,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142489,UYQ777408UB,1-10,Activo
Roma Transporte S.C.,Transporte,233 Insurgentes,Centro,Ciudad de México,Ciudad de México,01676,55-7578-7493,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142503,DPO739061JB,1-10,Activo
Construcción Distrito 294,Construcción,110 Orizaba,Centro,Ciudad de México,Ciudad de México,01340,55-4089-8477,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142514,TBX501081EQ,51-200,Activo
Turismo Zócalo 221,Turismo,67 Reforma,Juárez,Ciudad de México,Ciudad de México,01275,55-9935-3560,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142526,EAP271833TD,11-50,Activo
Turismo Zócalo 305,Turismo,125 Álvaro Obregón,Nápoles,Ciudad de México,Ciudad de México,01154,55-4017-4845,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142542,NIF200739SV,11-50,Activo
Restaurantes Roma 547,Restaurantes,57 Medellín,Nápoles,Ciudad de México,Ciudad de México,01196,55-1622-9791,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142557,OYJ676130MI,11-50,Activo
Ciudad de México Restaurantes A.C.,Restaurantes,28 Puebla,Nápoles,Ciudad de México,Ciudad de México,01076,55-4692-6055,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142567,XJX508915NL,1-10,Activo
Distrito Comercio Grupo,Comercio,233 Madero,Condesa,Ciudad de México,Ciudad de México,01669,55-8944-1398,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142578,CMI485674EY,11-50,Activo
Finanzas Capital 527,Finanzas,108 Masaryk,Del Valle,Ciudad de México,Ciudad de México,01207,55-9712-7873,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142590,CAB548741MR,11-50,Activo
Entretenimiento Polanco 948,Entretenimiento,164 Orizaba,Polanco,Ciudad de México,Ciudad de México,01126,55-4258-9272,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142601,ZKR831738IQ,200+,Activo
Polanco Comercio Grupo,Comercio,61 Orizaba,Condesa,Ciudad de México,Ciudad de México,01668,55-4448-9937,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142612,LGY641342DV,1-10,Activo
Construcción Chilango 539,Construcción,14 Insurgentes,Polanco,Ciudad de México,Ciudad de México,01204,55-4016-5393,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142625,VKZ216258NU,1-10,Activo
Zócalo Tecnología S.A. de C.V.,Tecnología,218 Álvaro Obregón,Juárez,Ciudad de México,Ciudad de México,01114,55-6296-1663,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142637,JXS429253CP,51-200,Activo
Ciudad de México Restaurantes Grupo,Restaurantes,57 Puebla,Polanco,Ciudad de México,Ciudad de México,01248,55-7910-6760,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142647,PER488765KT,11-50,Activo
Reforma Restaurantes S. de R.L.,Restaurantes,89 Reforma,Del Valle,Ciudad de México,Ciudad de México,01415,55-1702-1669,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142658,DUX393981VH,51-200,Activo
Finanzas Capital 705,Finanzas,207 Madero,Coyoacán,Ciudad de México,Ciudad de México,01260,55-1626-7736,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142669,ZTZ808919WW,11-50,Activo
Reforma Turismo S.A.P.I. de C.V.,Turismo,165 Medellín,Roma Norte,Ciudad de México,Ciudad de México,01183,55-7075-5761,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142680,RKT297349ZT,200+,Activo
Reforma Comercio S.C.,Comercio,257 Madero,Santa Fe,Ciudad de México,Ciudad de México,01413,55-6114-1860,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142692,WUJ790288RJ,11-50,Activo
Tecnología Reforma 915,Tecnología,36 Puebla,Del Valle,Ciudad de México,Ciudad de México,01450,55-7123-7039,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142702,LFR420209XX,11-50,Activo
Construcción Zócalo 621,Construcción,279 Durango,Centro,Ciudad de México,Ciudad de México,01670,55-4813-9129,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142713,EGD642204SI,200+,Activo
Roma Restaurantes S.A.P.I. de C.V.,Restaurantes,12 Reforma,Polanco,Ciudad de México,Ciudad de México,01384,55-4530-6730,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142727,KWK453988FI,51-200,Activo
Zócalo Turismo S.A. de C.V.,Turismo,112 Insurgentes,Centro,Ciudad de México,Ciudad de México,01458,55-2124-6095,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142742,IUT240201XO,200+,Activo
Servicios Profesionales Reforma 638,Servicios Profesionales,61 Medellín,Coyoacán,Ciudad de México,Ciudad de México,01683,55-7556-3723,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142753,IFY614545GE,11-50,Activo
Polanco Tecnología Grupo,Tecnología,8 Masaryk,Condesa,Ciudad de México,Ciudad de México,01404,55-8473-6395,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142761,KLR624864GF,11-50,Activo
Polanco Restaurantes Grupo,Restaurantes,179 Madero,Santa Fe,Ciudad de México,Ciudad de México,01543,55-7377-7429,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142773,HTC432040FS,200+,Activo
Chilango Construcción S. de R.L.,Construcción,225 Álvaro Obregón,Polanco,Ciudad de México,Ciudad de México,01610,55-2519-9180,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142784,JOP955936YY,1-10,Activo
Construcción Roma 742,Construcción,191 Amsterdam,Santa Fe,Ciudad de México,Ciudad de México,01099,55-4816-8763,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142795,XLB490032BY,1-10,Activo
Roma Manufactura S.A. de C.V.,Manufactura,200 Álvaro Obregón,Nápoles,Ciudad de México,Ciudad de México,01058,55-8983-6097,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142805,WGX843059GU,11-50,Activo
Ciudad de México Tecnología S.A.P.I. de C.V.,Tecnología,54 Masaryk,Centro,Ciudad de México,Ciudad de México,01284,55-3899-1940,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142816,GSA958520UR,200+,Activo
Reforma Salud Corporativo,Salud,49 Durango,Santa Fe,Ciudad de México,Ciudad de México,01380,55-9853-7279,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142826,NGB960343SH,51-200,Activo
Chilango Tecnología S.A. de C.V.,Tecnología,165 Insurgentes,Nápoles,Ciudad de México,Ciudad de México,01562,55-9377-2554,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142836,AVW838343WJ,51-200,Activo
Capital Finanzas A.C.,Finanzas,22 Insurgentes,Roma Norte,Ciudad de México,Ciudad de México,01612,55-1901-3576,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142851,YXJ299376DY,51-200,Activo
Roma Restaurantes Corporativo,Restaurantes,72 Orizaba,Nápoles,Ciudad de México,Ciudad de México,01474,55-4461-8504,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142861,DXS686939HX,1-10,Activo
Reforma Educación S.C.,Educación,260 Medellín,Centro,Ciudad de México,Ciudad de México,01415,55-3515-2125,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142875,HPH163818MF,200+,Activo
Metropolitano Transporte S.A. de C.V.,Transporte,260 Madero,Juárez,Ciudad de México,Ciudad de México,01680,55-5711-8854,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142885,RNA544836YD,1-10,Activo
Capital Construcción Grupo,Construcción,246 Madero,Santa Fe,Ciudad de México,Ciudad de México,01647,55-2303-7771,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142896,BMK959642GT,11-50,Activo
Restaurantes Polanco 698,Restaurantes,98 Madero,Juárez,Ciudad de México,Ciudad de México,01659,55-9802-4301,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142907,FUO513295FZ,11-50,Activo
Capital Tecnología A.C.,Tecnología,144 Masaryk,Condesa,Ciudad de México,Ciudad de México,01269,55-5642-7560,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142922,VRI790712WH,51-200,Activo
Roma Turismo Servicios,Turismo,152 Puebla,Coyoacán,Ciudad de México,Ciudad de México,01551,55-2597-3213,México,Registro Público de Comercio CDMX,2026-05-07T20:55:40.142933,KMZ170445CR,51-200,Activo
