business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
Chihuahua Agroindustria Maquiladora,Agroindustria,266 Libertad,Centro,Chihuahua,Chihuahua,31092,614-231-6586,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301950,EKC202074BG,11-50,Activo
Chihuahua Agroindustria Industrial,Agroindustria,1465 Ojinaga,Centro,Chihuahua,Chihuahua,31464,614-818-8834,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301965,GUP735575GO,200+,Activo
Norte Maquiladora Industrial,Maquiladora,1463 Deza y Ulloa,Centro,Chihuahua,Chihuahua,31128,614-332-3326,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301977,EBQ702377DX,1-10,Activo
Capital Textiles S.A. de C.V.,Textiles,425 Vallarta,Centro,Chihuahua,Chihuahua,31086,614-666-7658,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301984,NSA815501HT,200+,Activo
Colón Logística S.A. de C.V.,Logística,841 Allende,Centro,Chihuahua,Chihuahua,31124,614-216-3974,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301991,BYL595531BW,1-10,Activo
Colón Logística Industrial,Logística,1803 Allende,Centro,Chihuahua,Chihuahua,31232,614-921-5701,México,Registro Público de Chihuahua,2026-05-07T20:56:56.301998,RAH355112CI,51-200,Activo
Colón Alimentos Industrial,Alimentos,546 Victoria,Centro,Chihuahua,Chihuahua,31190,614-481-6800,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302014,JLS147069JR,51-200,Activo
Norte Agroindustria S.A. de C.V.,Agroindustria,2356 Victoria,Centro,Chihuahua,Chihuahua,31372,614-854-6297,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302020,USM351919BH,51-200,Activo
Capital Logística S. de R.L.,Logística,1112 Victoria,Centro,Chihuahua,Chihuahua,31082,614-607-7329,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302032,KFI301307GD,51-200,Activo
Capital Manufactura Industrial,Manufactura,1552 Allende,Centro,Chihuahua,Chihuahua,31206,614-481-5988,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302038,UOC339008IU,200+,Activo
Sierra Maquiladora S.A. de C.V.,Maquiladora,1185 Ojinaga,Centro,Chihuahua,Chihuahua,31153,614-619-6769,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302044,QZD837641QO,51-200,Activo
Sierra Maquiladora Maquiladora,Maquiladora,2847 Vallarta,Centro,Chihuahua,Chihuahua,31034,614-943-3882,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302050,ULA635273DN,1-10,Activo
Colón Logística Industrial,Logística,1333 Libertad,Centro,Chihuahua,Chihuahua,31486,614-217-6848,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302062,BAJ610460KV,1-10,Activo
Sierra Minería Servicios,Minería,1750 Allende,Centro,Chihuahua,Chihuahua,31127,614-727-8772,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302067,TPM665674WR,51-200,Activo
Colón Textiles S. de R.L.,Textiles,576 Vallarta,Centro,Chihuahua,Chihuahua,31030,614-709-6856,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302073,OED372795RT,51-200,Activo
Capital Manufactura Industrial,Manufactura,2390 Vallarta,Centro,Chihuahua,Chihuahua,31091,614-861-3398,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302079,DMZ320141ZI,1-10,Activo
Capital Maquiladora S.A. de C.V.,Maquiladora,2840 Deza y Ulloa,Centro,Chihuahua,Chihuahua,31345,614-304-8684,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302085,YZT243554YQ,1-10,Activo
Sierra Maquiladora Servicios,Maquiladora,285 Allende,Centro,Chihuahua,Chihuahua,31139,614-580-3579,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302091,LMA263382SX,11-50,Activo
Norte Agroindustria Maquiladora,Agroindustria,1307 Victoria,Centro,Chihuahua,Chihuahua,31423,614-348-2409,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302097,BDU964611AX,51-200,Activo
Sierra Automotriz Industrial,Automotriz,1997 Vallarta,Centro,Chihuahua,Chihuahua,31324,614-401-6798,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302102,TEL570254TU,51-200,Activo
Norte Logística S. de R.L.,Logística,2843 Vallarta,Centro,Chihuahua,Chihuahua,31285,614-643-4243,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302108,TUI755063OW,11-50,Activo
Sierra Textiles Servicios,Textiles,1610 Victoria,Centro,Chihuahua,Chihuahua,31277,614-176-4649,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302114,FVD271891LC,51-200,Activo
Capital Logística Servicios,Logística,2208 Vallarta,Centro,Chihuahua,Chihuahua,31458,614-469-3114,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302122,JYA501951VK,51-200,Activo
Capital Manufactura Industrial,Manufactura,745 Victoria,Centro,Chihuahua,Chihuahua,31064,614-830-4433,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302128,ZTM437203LQ,51-200,Activo
Sierra Logística S. de R.L.,Logística,1959 Vallarta,Centro,Chihuahua,Chihuahua,31046,614-520-4972,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302134,CBL486168AA,1-10,Activo
Chihuahua Textiles Industrial,Textiles,1390 Libertad,Centro,Chihuahua,Chihuahua,31487,614-576-5919,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302140,XRY913343IK,11-50,Activo
Norte Automotriz S. de R.L.,Automotriz,1863 Allende,Centro,Chihuahua,Chihuahua,31253,614-961-1529,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302146,SIF848611DW,1-10,Activo
Sierra Logística Maquiladora,Logística,47 Ojinaga,Centro,Chihuahua,Chihuahua,31245,614-823-9385,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302151,UPG803693WW,1-10,Activo
Chihuahua Tecnología Maquiladora,Tecnología,538 Ojinaga,Centro,Chihuahua,Chihuahua,31313,614-404-8301,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302160,YAS899037LG,1-10,Activo
Sierra Alimentos S.A. de C.V.,Alimentos,1354 Allende,Centro,Chihuahua,Chihuahua,31000,614-119-3951,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302167,RCR310869SR,1-10,Activo
Colón Textiles Maquiladora,Textiles,2867 Allende,Centro,Chihuahua,Chihuahua,31179,614-863-1555,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302172,WQB979621NP,11-50,Activo
Capital Minería Industrial,Minería,2581 Deza y Ulloa,Centro,Chihuahua,Chihuahua,31481,614-839-5067,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302178,DCA319125ST,1-10,Activo
Capital Agroindustria Maquiladora,Agroindustria,1006 Vallarta,Centro,Chihuahua,Chihuahua,31348,614-131-7052,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302187,AGX820296WJ,11-50,Activo
Norte Alimentos Servicios,Alimentos,2703 Allende,Centro,Chihuahua,Chihuahua,31313,614-955-9395,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302192,DOR759043GP,1-10,Activo
Chihuahua Agroindustria Servicios,Agroindustria,2824 Ojinaga,Centro,Chihuahua,Chihuahua,31055,614-347-3355,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302198,DDI966598PR,200+,Activo
Norte Logística S. de R.L.,Logística,2777 Deza y Ulloa,Centro,Chihuahua,Chihuahua,31067,614-325-9036,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302204,AQB622264KO,200+,Activo
Sierra Alimentos Servicios,Alimentos,561 Ojinaga,Centro,Chihuahua,Chihuahua,31222,614-300-1969,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302210,KWO660317UJ,11-50,Activo
Chihuahua Textiles S. de R.L.,Textiles,411 Victoria,Centro,Chihuahua,Chihuahua,31385,614-908-6025,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302216,HOV378682XF,1-10,Activo
Capital Logística Servicios,Logística,2877 Allende,Centro,Chihuahua,Chihuahua,31177,614-437-8221,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302222,EWD304228ME,200+,Activo
Chihuahua Maquiladora S.A. de C.V.,Maquiladora,475 Libertad,Centro,Chihuahua,Chihuahua,31347,614-456-4775,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302227,TOG251765PZ,1-10,Activo
Sierra Tecnología S.A. de C.V.,Tecnología,841 Vallarta,Centro,Chihuahua,Chihuahua,31441,614-872-1220,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302233,HQG733685YV,11-50,Activo
Capital Maquiladora Industrial,Maquiladora,2908 Vallarta,Centro,Chihuahua,Chihuahua,31155,614-118-2576,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302244,MPB426678NA,51-200,Activo
Norte Manufactura Servicios,Manufactura,400 Victoria,Centro,Chihuahua,Chihuahua,31353,614-532-3139,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302253,SVF644724QM,200+,Activo
Colón Logística Servicios,Logística,2759 Ojinaga,Centro,Chihuahua,Chihuahua,31331,614-744-5411,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302258,WNX193406HL,1-10,Activo
Colón Manufactura S. de R.L.,Manufactura,343 Vallarta,Centro,Chihuahua,Chihuahua,31080,614-287-8104,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302267,ATF485422CX,200+,Activo
Capital Tecnología S. de R.L.,Tecnología,846 Allende,Centro,Chihuahua,Chihuahua,31026,614-995-7634,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302273,CTF501270JV,11-50,Activo
Sierra Tecnología Servicios,Tecnología,2891 Vallarta,Centro,Chihuahua,Chihuahua,31373,614-916-6992,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302278,FGB863251UG,51-200,Activo
Colón Automotriz Industrial,Automotriz,1347 Deza y Ulloa,Centro,Chihuahua,Chihuahua,31327,614-857-5067,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302284,YQV220002FQ,11-50,Activo
Norte Alimentos Servicios,Alimentos,2278 Libertad,Centro,Chihuahua,Chihuahua,31430,614-254-2971,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302290,WMT878779HE,200+,Activo
Norte Minería S. de R.L.,Minería,2557 Deza y Ulloa,Centro,Chihuahua,Chihuahua,31289,614-613-2183,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302295,FKP576712IZ,11-50,Activo
Norte Alimentos S. de R.L.,Alimentos,600 Libertad,Centro,Chihuahua,Chihuahua,31474,614-212-9449,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302301,JIA252311QA,11-50,Activo
Colón Maquiladora S.A. de C.V.,Maquiladora,2279 Vallarta,Centro,Chihuahua,Chihuahua,31393,614-515-5668,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302307,ZSR784424UY,51-200,Activo
Colón Maquiladora S. de R.L.,Maquiladora,740 Allende,Centro,Chihuahua,Chihuahua,31105,614-177-7206,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302315,ZHN375384IL,1-10,Activo
Sierra Alimentos Maquiladora,Alimentos,425 Allende,Centro,Chihuahua,Chihuahua,31074,614-377-8906,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302321,OCR654753YW,1-10,Activo
Chihuahua Tecnología Industrial,Tecnología,2503 Ojinaga,Centro,Chihuahua,Chihuahua,31306,614-777-4346,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302327,ZTA346836CA,200+,Activo
Norte Textiles Servicios,Textiles,653 Allende,Centro,Chihuahua,Chihuahua,31050,614-745-9269,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302333,MJW926269QU,51-200,Activo
Norte Agroindustria Industrial,Agroindustria,3000 Vallarta,Centro,Chihuahua,Chihuahua,31141,614-619-8587,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302338,JRC117040FK,1-10,Activo
Norte Minería S.A. de C.V.,Minería,2076 Victoria,Centro,Chihuahua,Chihuahua,31311,614-592-7213,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302344,MQL599262EU,51-200,Activo
Norte Minería S.A. de C.V.,Minería,611 Allende,Centro,Chihuahua,Chihuahua,31332,614-852-3296,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302350,GOF836361FB,200+,Activo
Colón Agroindustria S. de R.L.,Agroindustria,701 Vallarta,Centro,Chihuahua,Chihuahua,31369,614-930-6469,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302359,XBC232318UP,200+,Activo
Border Textiles S.A. de C.V.,Textiles,10587 Triunfo,Torres,Ciudad Juárez,Chihuahua,32474,656-477-3967,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302372,FOJ476515LF,51-200,Activo
Paso del Norte Tecnología Exportadora,Tecnología,1713 López Mateos,Torres,Ciudad Juárez,Chihuahua,32491,656-227-7942,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302381,DHO153270ZD,11-50,Activo
Bóvedas Textiles S. de R.L.,Textiles,13491 Vista,Río Bravo,Ciudad Juárez,Chihuahua,32269,656-343-9306,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302393,DMV471965FC,11-50,Activo
Bóvedas Logística Industrial,Logística,515 Eje Vial,Industrial,Ciudad Juárez,Chihuahua,32007,656-895-7826,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302429,LMM595822YM,200+,Activo
Paso del Norte Alimentos Industrial,Alimentos,7263 Tecnológico,Río Bravo,Ciudad Juárez,Chihuahua,32083,656-844-8966,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302439,OVD381906MH,200+,Activo
Bóvedas Logística Exportadora,Logística,9089 Vista,Torres,Ciudad Juárez,Chihuahua,32005,656-579-4109,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302447,FRK268407LV,51-200,Activo
Juárez Comercio S.A. de C.V.,Comercio,9707 Torres,Industrial,Ciudad Juárez,Chihuahua,32051,656-574-2071,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302454,RII618672JH,1-10,Activo
Juárez Logística Industrial,Logística,14194 Vista,Río Bravo,Ciudad Juárez,Chihuahua,32668,656-681-2734,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302460,MAB414711EV,1-10,Activo
Benito Juárez Automotriz S. de R.L.,Automotriz,13186 Vista,Industrial,Ciudad Juárez,Chihuahua,32669,656-852-6809,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302466,LND542378PT,1-10,Activo
Bóvedas Automotriz S.A. de C.V.,Automotriz,2716 Tecnológico,Zaragoza,Ciudad Juárez,Chihuahua,32632,656-937-5436,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302473,FCS138493AU,51-200,Activo
Paso del Norte Alimentos Exportadora,Alimentos,3057 Torres,Industrial,Ciudad Juárez,Chihuahua,32220,656-421-1863,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302480,NCO222956JT,1-10,Activo
