business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
Minerva Comercio Servicios,Comercio,373 Av. Tepeyac,Lomas del Valle,Guadalajara,Jalisco,44594,33-9892-5170,México,Registro Público de Jalisco,2026-05-07T20:56:56.200974,ZUW229401AX,11-50,Activo
Minerva Comercio Soluciones,Comercio,245 Av. Lázaro Cárdenas,Monraz,Guadalajara,Jalisco,44616,33-3239-1515,México,Registro Público de Jalisco,2026-05-07T20:56:56.200996,TYP881406NM,11-50,Activo
Tequila Servicios Grupo,Servicios,258 Av. Américas,Lomas del Valle,Guadalajara,Jalisco,44366,33-3282-3488,México,Registro Público de Jalisco,2026-05-07T20:56:56.201025,IHI982349DZ,51-200,Activo
Providencia Alimentos S.C.,Alimentos,190 Av. López Mateos,Chapultepec,Guadalajara,Jalisco,44495,33-8512-9596,México,Registro Público de Jalisco,2026-05-07T20:56:56.201037,IWK347105WJ,11-50,Activo
Tapatío Construcción S.C.,Construcción,333 Av. Olimpica,Chapultepec,Guadalajara,Jalisco,44327,33-3289-6922,México,Registro Público de Jalisco,2026-05-07T20:56:56.201048,SDD129500OS,200+,Activo
Tapatía Tecnología Soluciones,Tecnología,471 Av. Lázaro Cárdenas,Americana,Guadalajara,Jalisco,44985,33-8550-2641,México,Registro Público de Jalisco,2026-05-07T20:56:56.201059,DDX743570PK,11-50,Activo
Andares Manufactura Servicios,Manufactura,233 Av. Américas,Lomas del Valle,Guadalajara,Jalisco,44487,33-4009-4806,México,Registro Público de Jalisco,2026-05-07T20:56:56.201070,KHQ770773TT,11-50,Activo
Jalisco Turismo S.C.,Turismo,193 Av. Américas,El Bajío,Guadalajara,Jalisco,44667,33-1902-9300,México,Registro Público de Jalisco,2026-05-07T20:56:56.201079,AMV851315GJ,200+,Activo
Providencia Tecnología S. de R.L.,Tecnología,279 Av. Tepeyac,Providencia,Guadalajara,Jalisco,44459,33-6078-4999,México,Registro Público de Jalisco,2026-05-07T20:56:56.201088,MIH275229DL,11-50,Activo
Jalisco Comercio S.C.,Comercio,107 Av. Olimpica,Chapultepec,Guadalajara,Jalisco,44282,33-8196-9063,México,Registro Público de Jalisco,2026-05-07T20:56:56.201097,DTU854941GJ,11-50,Activo
Tequila Comercio Soluciones,Comercio,98 Av. Minerva,Ciudad del Sol,Guadalajara,Jalisco,44885,33-2354-6405,México,Registro Público de Jalisco,2026-05-07T20:56:56.201108,SNU930400UK,11-50,Activo
Tequila Servicios Grupo,Servicios,442 Av. Américas,Monraz,Guadalajara,Jalisco,44331,33-4639-3379,México,Registro Público de Jalisco,2026-05-07T20:56:56.201124,GYY927262YJ,51-200,Activo
Guadalajara Textiles Soluciones,Textiles,394 Av. Glorieta,Lomas del Valle,Guadalajara,Jalisco,44934,33-5210-3570,México,Registro Público de Jalisco,2026-05-07T20:56:56.201138,OYY677734SU,200+,Activo
Minerva Alimentos Servicios,Alimentos,482 Av. Tepeyac,Monraz,Guadalajara,Jalisco,44647,33-1780-2168,México,Registro Público de Jalisco,2026-05-07T20:56:56.201148,YRM678613SC,11-50,Activo
Tapatío Servicios S.C.,Servicios,387 Av. López Mateos,El Bajío,Guadalajara,Jalisco,44446,33-7007-4125,México,Registro Público de Jalisco,2026-05-07T20:56:56.201158,QFA895250EJ,11-50,Activo
Tapatío Tecnología Soluciones,Tecnología,461 Av. López Mateos,Providencia,Guadalajara,Jalisco,44613,33-1261-7673,México,Registro Público de Jalisco,2026-05-07T20:56:56.201168,CGB781023QZ,51-200,Activo
Tequila Turismo S.A. de C.V.,Turismo,213 Av. Minerva,Monraz,Guadalajara,Jalisco,44637,33-2904-7684,México,Registro Público de Jalisco,2026-05-07T20:56:56.201178,NHZ448209JM,51-200,Activo
Providencia Manufactura S.A. de C.V.,Manufactura,69 Av. Lázaro Cárdenas,Monraz,Guadalajara,Jalisco,44646,33-7529-1674,México,Registro Público de Jalisco,2026-05-07T20:56:56.201188,YCE232437BD,200+,Activo
Jalisco Alimentos Grupo,Alimentos,351 Av. Tepeyac,Minerva,Guadalajara,Jalisco,44957,33-9056-1821,México,Registro Público de Jalisco,2026-05-07T20:56:56.201197,ZIL447241AO,11-50,Activo
Jalisco Agroindustria Soluciones,Agroindustria,21 Av. Américas,Lomas del Valle,Guadalajara,Jalisco,44958,33-2541-3006,México,Registro Público de Jalisco,2026-05-07T20:56:56.201210,JFT663700KP,51-200,Activo
Guadalajara Turismo Soluciones,Turismo,3 Av. Glorieta,Del Valle,Guadalajara,Jalisco,44344,33-4847-8019,México,Registro Público de Jalisco,2026-05-07T20:56:56.201219,LBN692462SS,51-200,Activo
Andares Agroindustria S.A. de C.V.,Agroindustria,89 Av. Minerva,El Bajío,Guadalajara,Jalisco,44703,33-5539-6229,México,Registro Público de Jalisco,2026-05-07T20:56:56.201228,MOE708101JH,51-200,Activo
Guadalajara Servicios S.A. de C.V.,Servicios,343 Av. Minerva,Chapultepec,Guadalajara,Jalisco,44713,33-7881-1085,México,Registro Público de Jalisco,2026-05-07T20:56:56.201241,PEK430038LM,200+,Activo
Minerva Tecnología S.C.,Tecnología,68 Av. Patria,Chapultepec,Guadalajara,Jalisco,44744,33-8951-8208,México,Registro Público de Jalisco,2026-05-07T20:56:56.201250,SFN954832GD,1-10,Activo
Andares Comercio S. de R.L.,Comercio,105 Av. Glorieta,Americana,Guadalajara,Jalisco,44913,33-1405-6004,México,Registro Público de Jalisco,2026-05-07T20:56:56.201259,DQE198340WX,11-50,Activo
Minerva Textiles S. de R.L.,Textiles,246 Av. Américas,El Bajío,Guadalajara,Jalisco,44214,33-5085-2003,México,Registro Público de Jalisco,2026-05-07T20:56:56.201268,VFR189729MT,11-50,Activo
Minerva Construcción Servicios,Construcción,490 Av. Glorieta,Lomas del Valle,Guadalajara,Jalisco,44679,33-3377-7615,México,Registro Público de Jalisco,2026-05-07T20:56:56.201278,HQI875185GV,11-50,Activo
Minerva Logística S.C.,Logística,395 Av. Glorieta,Monraz,Guadalajara,Jalisco,44192,33-7041-5517,México,Registro Público de Jalisco,2026-05-07T20:56:56.201288,FDY920232PO,11-50,Activo
Tapatía Comercio S.A. de C.V.,Comercio,361 Av. Glorieta,Americana,Guadalajara,Jalisco,44438,33-6843-1935,México,Registro Público de Jalisco,2026-05-07T20:56:56.201295,DTY165512FJ,1-10,Activo
Minerva Agroindustria S. de R.L.,Agroindustria,251 Av. Tepeyac,Americana,Guadalajara,Jalisco,44163,33-7281-2181,México,Registro Público de Jalisco,2026-05-07T20:56:56.201302,HJS135841ZP,200+,Activo
Minerva Tecnología Grupo,Tecnología,167 Av. Glorieta,Ciudad del Sol,Guadalajara,Jalisco,44248,33-1031-3032,México,Registro Público de Jalisco,2026-05-07T20:56:56.201311,SFF281670HI,11-50,Activo
Tapatía Agroindustria Servicios,Agroindustria,477 Av. Minerva,Americana,Guadalajara,Jalisco,44232,33-6103-8906,México,Registro Público de Jalisco,2026-05-07T20:56:56.201317,IMA106013IZ,1-10,Activo
Minerva Construcción S. de R.L.,Construcción,287 Av. Olimpica,Minerva,Guadalajara,Jalisco,44188,33-3594-6672,México,Registro Público de Jalisco,2026-05-07T20:56:56.201326,BKY213246SR,11-50,Activo
Jalisco Tecnología Servicios,Tecnología,131 Av. Tepeyac,Ciudad del Sol,Guadalajara,Jalisco,44586,33-7300-7076,México,Registro Público de Jalisco,2026-05-07T20:56:56.201332,ZIW339594UD,11-50,Activo
Providencia Comercio Soluciones,Comercio,483 Av. Américas,Lomas del Valle,Guadalajara,Jalisco,44396,33-1323-6246,México,Registro Público de Jalisco,2026-05-07T20:56:56.201338,MRW157964MA,51-200,Activo
Providencia Logística Soluciones,Logística,190 Av. Vallarta,Ciudad del Sol,Guadalajara,Jalisco,44971,33-2330-7414,México,Registro Público de Jalisco,2026-05-07T20:56:56.201344,IJN242701MF,11-50,Activo
Guadalajara Servicios S.C.,Servicios,305 Av. Américas,Ciudad del Sol,Guadalajara,Jalisco,44777,33-2613-5041,México,Registro Público de Jalisco,2026-05-07T20:56:56.201353,IPO376889HH,11-50,Activo
Guadalajara Comercio S. de R.L.,Comercio,203 Av. López Mateos,Lomas del Valle,Guadalajara,Jalisco,44261,33-3315-4835,México,Registro Público de Jalisco,2026-05-07T20:56:56.201363,LES392501VL,1-10,Activo
Guadalajara Comercio Servicios,Comercio,455 Av. Olimpica,Americana,Guadalajara,Jalisco,44822,33-1737-1819,México,Registro Público de Jalisco,2026-05-07T20:56:56.201369,VOA402391KM,1-10,Activo
Guadalajara Manufactura Grupo,Manufactura,464 Av. Olimpica,Minerva,Guadalajara,Jalisco,44794,33-3398-5267,México,Registro Público de Jalisco,2026-05-07T20:56:56.201375,OTN712279TN,200+,Activo
Tequila Servicios Soluciones,Servicios,120 Av. Minerva,Providencia,Guadalajara,Jalisco,44831,33-1184-1025,México,Registro Público de Jalisco,2026-05-07T20:56:56.201381,IQG839660ZM,51-200,Activo
Tequila Servicios S. de R.L.,Servicios,386 Av. Lázaro Cárdenas,Americana,Guadalajara,Jalisco,44519,33-6785-1355,México,Registro Público de Jalisco,2026-05-07T20:56:56.201387,SXY309284IP,51-200,Activo
Minerva Turismo S.A. de C.V.,Turismo,357 Av. López Mateos,El Bajío,Guadalajara,Jalisco,44377,33-8497-9769,México,Registro Público de Jalisco,2026-05-07T20:56:56.201396,JVJ608620BD,200+,Activo
Jalisco Construcción Grupo,Construcción,287 Av. Minerva,Monraz,Guadalajara,Jalisco,44455,33-3161-2165,México,Registro Público de Jalisco,2026-05-07T20:56:56.222390,CRD349833SC,51-200,Activo
Tapatía Turismo S. de R.L.,Turismo,443 Av. Américas,El Bajío,Guadalajara,Jalisco,44710,33-3895-4711,México,Registro Público de Jalisco,2026-05-07T20:56:56.222434,ZXU814378HT,51-200,Activo
Minerva Turismo Soluciones,Turismo,35 Av. Lázaro Cárdenas,Monraz,Guadalajara,Jalisco,44708,33-1352-2755,México,Registro Público de Jalisco,2026-05-07T20:56:56.222447,NAT958278QW,11-50,Activo
Jalisco Logística S. de R.L.,Logística,22 Av. Olimpica,Minerva,Guadalajara,Jalisco,44494,33-6070-3227,México,Registro Público de Jalisco,2026-05-07T20:56:56.222459,ETR825897ZC,200+,Activo
Tapatía Agroindustria Servicios,Agroindustria,82 Av. López Mateos,Monraz,Guadalajara,Jalisco,44368,33-5800-4698,México,Registro Público de Jalisco,2026-05-07T20:56:56.222471,VNV695894LZ,11-50,Activo
Jalisco Textiles S.C.,Textiles,45 Av. López Mateos,Providencia,Guadalajara,Jalisco,44436,33-4502-7588,México,Registro Público de Jalisco,2026-05-07T20:56:56.222483,HJN996080CL,11-50,Activo
Tapatía Turismo Servicios,Turismo,313 Av. Olimpica,Monraz,Guadalajara,Jalisco,44694,33-4709-1278,México,Registro Público de Jalisco,2026-05-07T20:56:56.222493,TJY238947AT,51-200,Activo
Tapatía Manufactura Servicios,Manufactura,185 Av. Tepeyac,Del Valle,Guadalajara,Jalisco,44153,33-3941-3100,México,Registro Público de Jalisco,2026-05-07T20:56:56.222504,INU791582FV,51-200,Activo
Tequila Servicios Servicios,Servicios,238 Av. Lázaro Cárdenas,Minerva,Guadalajara,Jalisco,44436,33-4571-9307,México,Registro Público de Jalisco,2026-05-07T20:56:56.222516,QGV945475MS,51-200,Activo
Providencia Textiles Grupo,Textiles,76 Av. Vallarta,Ciudad del Sol,Guadalajara,Jalisco,44266,33-3505-7617,México,Registro Público de Jalisco,2026-05-07T20:56:56.222540,GHY543723RF,1-10,Activo
Tapatía Comercio Soluciones,Comercio,475 Av. Lázaro Cárdenas,Monraz,Guadalajara,Jalisco,44753,33-1443-8745,México,Registro Público de Jalisco,2026-05-07T20:56:56.222550,NAU777326SS,1-10,Activo
Providencia Alimentos S.A. de C.V.,Alimentos,164 Av. Américas,El Bajío,Guadalajara,Jalisco,44784,33-9103-2109,México,Registro Público de Jalisco,2026-05-07T20:56:56.222563,GEQ224330GC,11-50,Activo
Providencia Logística S.A. de C.V.,Logística,246 Av. Lázaro Cárdenas,Lomas del Valle,Guadalajara,Jalisco,44427,33-9099-7273,México,Registro Público de Jalisco,2026-05-07T20:56:56.222572,RHK736030BG,200+,Activo
Jalisco Textiles S. de R.L.,Textiles,183 Av. López Mateos,Minerva,Guadalajara,Jalisco,44975,33-4423-3067,México,Registro Público de Jalisco,2026-05-07T20:56:56.222580,MWE566185WG,11-50,Activo
Tapatío Tecnología Soluciones,Tecnología,377 Av. Minerva,Del Valle,Guadalajara,Jalisco,44204,33-9414-2181,México,Registro Público de Jalisco,2026-05-07T20:56:56.222590,WUZ977689WY,1-10,Activo
Omnilife Alimentos Servicios,Alimentos,140 Av. Vallarta,El Bajío,Guadalajara,Jalisco,44874,33-9999-1669,México,Registro Público de Jalisco,2026-05-07T20:56:56.222601,OJR939828HF,200+,Activo
Minerva Servicios Grupo,Servicios,424 Av. Minerva,Providencia,Guadalajara,Jalisco,44818,33-8138-1025,México,Registro Público de Jalisco,2026-05-07T20:56:56.222610,IUG275201UI,200+,Activo
Providencia Construcción S. de R.L.,Construcción,472 Av. Américas,Ciudad del Sol,Guadalajara,Jalisco,44761,33-5767-9717,México,Registro Público de Jalisco,2026-05-07T20:56:56.222619,GKF477656JV,51-200,Activo
Tequila Textiles S.A. de C.V.,Textiles,257 Av. Minerva,El Bajío,Guadalajara,Jalisco,44710,33-4578-2010,México,Registro Público de Jalisco,2026-05-07T20:56:56.222629,SDN806648NE,1-10,Activo
Tapatío Manufactura Grupo,Manufactura,403 Av. Patria,Lomas del Valle,Guadalajara,Jalisco,44851,33-5905-9186,México,Registro Público de Jalisco,2026-05-07T20:56:56.222643,BOY686955QX,200+,Activo
Jalisco Comercio S.A. de C.V.,Comercio,414 Av. Américas,Monraz,Guadalajara,Jalisco,44408,33-8890-8927,México,Registro Público de Jalisco,2026-05-07T20:56:56.222656,MEQ864693FH,200+,Activo
Tapatío Alimentos S.A. de C.V.,Alimentos,10 Av. Vallarta,Ciudad del Sol,Guadalajara,Jalisco,44778,33-6065-2868,México,Registro Público de Jalisco,2026-05-07T20:56:56.222664,KHH272790GF,11-50,Activo
Tapatía Manufactura S.C.,Manufactura,166 Av. Olimpica,Americana,Guadalajara,Jalisco,44664,33-7967-6342,México,Registro Público de Jalisco,2026-05-07T20:56:56.222675,REI767444ZL,1-10,Activo
Omnilife Agroindustria Soluciones,Agroindustria,72 Av. Tepeyac,Del Valle,Guadalajara,Jalisco,44308,33-2643-7687,México,Registro Público de Jalisco,2026-05-07T20:56:56.222684,GWJ860323ED,200+,Activo
Minerva Servicios Servicios,Servicios,125 Av. Olimpica,Minerva,Guadalajara,Jalisco,44263,33-2937-6090,México,Registro Público de Jalisco,2026-05-07T20:56:56.222692,VCT199883BG,51-200,Activo
Guadalajara Textiles S. de R.L.,Textiles,219 Av. López Mateos,Providencia,Guadalajara,Jalisco,44823,33-3396-2554,México,Registro Público de Jalisco,2026-05-07T20:56:56.222702,ARX804276KA,1-10,Activo
Jalisco Agroindustria Servicios,Agroindustria,315 Av. Tepeyac,Minerva,Guadalajara,Jalisco,44259,33-8854-6507,México,Registro Público de Jalisco,2026-05-07T20:56:56.222710,WMJ548317IY,51-200,Activo
Andares Comercio S. de R.L.,Comercio,193 Av. Olimpica,Del Valle,Guadalajara,Jalisco,44553,33-1785-7497,México,Registro Público de Jalisco,2026-05-07T20:56:56.222719,JFO233723LL,51-200,Activo
Andares Construcción Servicios,Construcción,193 Av. Lázaro Cárdenas,Providencia,Guadalajara,Jalisco,44919,33-6520-2226,México,Registro Público de Jalisco,2026-05-07T20:56:56.222733,ZBE535027TN,200+,Activo
Guadalajara Servicios Soluciones,Servicios,362 Av. Olimpica,Del Valle,Guadalajara,Jalisco,44905,33-8927-1653,México,Registro Público de Jalisco,2026-05-07T20:56:56.222745,XPL971449CS,1-10,Activo
