business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
San Pedro Servicios Financieros S. de R.L.,Servicios Financieros,310 Washington,Centro,Monterrey,Nuevo León,64619,81-3020-2859,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284809,LEQ557794FZ,11-50,Activo
San Pedro Comercio Grupo Industrial,Comercio,493 Chipinque,Carrizalejo,Monterrey,Nuevo León,64238,81-3516-3954,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284830,THY305174VU,51-200,Activo
Sultana Electrónica Servicios,Electrónica,432 Fundidora,Contry,Monterrey,Nuevo León,64709,81-5207-1433,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284850,OTQ999738SK,11-50,Activo
Nuevo León Electrónica Corporativo,Electrónica,328 Washington,Del Valle,Monterrey,Nuevo León,64167,81-2625-5501,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284868,OHT148407XN,11-50,Activo
Valle Oriente Acero Grupo Industrial,Acero,109 Lázaro Cárdenas,San Pedro,Monterrey,Nuevo León,64401,81-8376-6987,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284884,XIQ586429VQ,51-200,Activo
Regiomontano Servicios Financieros Servicios,Servicios Financieros,450 Gómez Morín,Contry,Monterrey,Nuevo León,64170,81-5790-5452,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284895,QIS491905KK,51-200,Activo
Cerro de la Silla Tecnología Grupo Industrial,Tecnología,440 Chipinque,Tecnológico,Monterrey,Nuevo León,64354,81-4029-3333,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284905,DRP118149ZR,200+,Activo
Monterrey Acero S.A. de C.V.,Acero,315 Gómez Morín,Carrizalejo,Monterrey,Nuevo León,64628,81-5527-2000,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284914,HDE808251IO,51-200,Activo
Cerro de la Silla Tecnología S. de R.L.,Tecnología,75 Garza Sada,Apodaca,Monterrey,Nuevo León,64007,81-5940-7218,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284922,WBI438182RH,1-10,Activo
Nuevo León Acero Corporativo,Acero,476 Gonzalitos,Apodaca,Monterrey,Nuevo León,64173,81-3061-6799,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284932,RIG276039QZ,11-50,Activo
Cerro de la Silla Acero S. de R.L.,Acero,245 Lázaro Cárdenas,Tecnológico,Monterrey,Nuevo León,64508,81-2365-7299,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284948,BMY636680JX,200+,Activo
Paseo Manufactura Servicios,Manufactura,423 Constitución,Valle Oriente,Monterrey,Nuevo León,64256,81-8932-8450,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284958,TLW999789XC,51-200,Activo
San Pedro Electrónica S. de R.L.,Electrónica,81 Gonzalitos,Obispado,Monterrey,Nuevo León,64375,81-1873-9299,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284973,KBR262813CI,1-10,Activo
Regiomontano Acero S.A. de C.V.,Acero,190 Vasconcelos,Del Valle,Monterrey,Nuevo León,64763,81-6620-9797,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284981,UKB118189LK,200+,Activo
Monterrey Automotriz Servicios,Automotriz,406 Chipinque,Valle Oriente,Monterrey,Nuevo León,64483,81-7109-6956,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284989,VTK138787WY,51-200,Activo
Valle Oriente Automotriz Corporativo,Automotriz,93 Chipinque,Cumbres,Monterrey,Nuevo León,64485,81-9018-2737,México,Registro Público de Nuevo León,2026-05-07T20:56:56.284997,ORY367676NB,200+,Activo
San Pedro Energía Servicios,Energía,515 Chipinque,Cumbres,Monterrey,Nuevo León,64288,81-9486-1744,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285017,BXO611983QF,200+,Activo
San Pedro Manufactura S.A. de C.V.,Manufactura,579 Fundidora,Centro,Monterrey,Nuevo León,64898,81-6449-6291,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285038,FVA934741YH,1-10,Activo
Constitución Acero Corporativo,Acero,277 Chipinque,Obispado,Monterrey,Nuevo León,64578,81-9219-7865,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285048,KMU876872NM,11-50,Activo
Sultana Comercio S.A. de C.V.,Comercio,495 Chipinque,Obispado,Monterrey,Nuevo León,64907,81-5396-1057,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285057,JMJ604521RD,11-50,Activo
San Pedro Logística S.A. de C.V.,Logística,216 Fundidora,Obispado,Monterrey,Nuevo León,64680,81-8060-1640,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285066,SZQ150018QO,51-200,Activo
San Pedro Construcción Grupo Industrial,Construcción,401 Washington,San Pedro,Monterrey,Nuevo León,64511,81-2253-4401,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285076,VJB447663BL,200+,Activo
Valle Oriente Logística Servicios,Logística,11 Garza Sada,Apodaca,Monterrey,Nuevo León,64497,81-4052-7397,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285089,KJH743017KN,200+,Activo
Nuevo León Energía Grupo Industrial,Energía,49 Gómez Morín,Apodaca,Monterrey,Nuevo León,64637,81-2550-7175,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285098,NTL533623QJ,11-50,Activo
Sultana Manufactura Corporativo,Manufactura,279 Gómez Morín,San Pedro,Monterrey,Nuevo León,64354,81-9337-3526,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285107,RSE105637OM,51-200,Activo
Constitución Servicios Financieros Grupo Industrial,Servicios Financieros,509 Gonzalitos,Del Valle,Monterrey,Nuevo León,64108,81-6637-6658,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285124,RPB282796LT,1-10,Activo
Cerro de la Silla Tecnología Grupo Industrial,Tecnología,19 Constitución,Carrizalejo,Monterrey,Nuevo León,64294,81-4719-9478,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285137,AHA466273LU,51-200,Activo
Regiomontano Electrónica Grupo Industrial,Electrónica,161 Gonzalitos,Contry,Monterrey,Nuevo León,64346,81-6938-5055,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285146,MUQ974583CC,200+,Activo
Valle Oriente Electrónica Servicios,Electrónica,104 Constitución,Apodaca,Monterrey,Nuevo León,64346,81-2307-9977,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285155,JNX542728JM,1-10,Activo
Valle Oriente Automotriz S.A. de C.V.,Automotriz,38 Vasconcelos,Valle Oriente,Monterrey,Nuevo León,64949,81-1420-6382,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285164,MWT568689CG,200+,Activo
Sultana Tecnología Corporativo,Tecnología,401 Gómez Morín,Valle Oriente,Monterrey,Nuevo León,64711,81-3469-8901,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285173,LGH636722HZ,200+,Activo
Constitución Automotriz Grupo Industrial,Automotriz,149 Garza Sada,Valle Oriente,Monterrey,Nuevo León,64268,81-6777-1949,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285182,WAP632237AM,11-50,Activo
Regiomontano Servicios Financieros Grupo Industrial,Servicios Financieros,439 Gonzalitos,Apodaca,Monterrey,Nuevo León,64911,81-6980-3216,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285198,HNH615018BY,200+,Activo
Nuevo León Electrónica S.A. de C.V.,Electrónica,583 Fundidora,Cumbres,Monterrey,Nuevo León,64279,81-9464-7161,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285207,FKW845442HZ,11-50,Activo
Paseo Servicios Financieros S. de R.L.,Servicios Financieros,277 Washington,Cumbres,Monterrey,Nuevo León,64858,81-9967-5140,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285220,ENL577075YF,200+,Activo
Sultana Automotriz S.A. de C.V.,Automotriz,548 Washington,Tecnológico,Monterrey,Nuevo León,64010,81-7036-6788,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285229,EEC194447LH,200+,Activo
Valle Oriente Energía Corporativo,Energía,35 Garza Sada,Apodaca,Monterrey,Nuevo León,64006,81-6551-7109,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285239,DDJ891989ZP,1-10,Activo
Valle Oriente Energía Servicios,Energía,284 Garza Sada,Obispado,Monterrey,Nuevo León,64300,81-6304-9063,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285248,HQM779633DR,51-200,Activo
Sultana Comercio S. de R.L.,Comercio,229 Revolución,Del Valle,Monterrey,Nuevo León,64095,81-6315-5795,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285257,ATN710248NM,1-10,Activo
San Pedro Comercio Grupo Industrial,Comercio,343 Chipinque,Obispado,Monterrey,Nuevo León,64678,81-6190-8507,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285266,QOI999777ZT,11-50,Activo
Valle Oriente Acero S. de R.L.,Acero,445 Vasconcelos,Del Valle,Monterrey,Nuevo León,64260,81-2440-8005,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285281,QJJ739677SL,51-200,Activo
Monterrey Electrónica Servicios,Electrónica,520 Revolución,Carrizalejo,Monterrey,Nuevo León,64327,81-8543-2433,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285291,BUD961875HX,51-200,Activo
Constitución Servicios Financieros S. de R.L.,Servicios Financieros,210 Gonzalitos,Del Valle,Monterrey,Nuevo León,64974,81-4506-6330,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285304,KXI892009AN,11-50,Activo
Paseo Construcción Grupo Industrial,Construcción,586 Chipinque,Tecnológico,Monterrey,Nuevo León,64009,81-1372-1680,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285314,CNL775509MF,200+,Activo
Nuevo León Electrónica Grupo Industrial,Electrónica,81 Gonzalitos,Tecnológico,Monterrey,Nuevo León,64822,81-9590-6604,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285327,TNR627861UP,1-10,Activo
Valle Oriente Logística Corporativo,Logística,100 Constitución,Centro,Monterrey,Nuevo León,64989,81-8768-1458,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285337,LTT684301QO,51-200,Activo
Sultana Manufactura Grupo Industrial,Manufactura,520 Fundidora,Centro,Monterrey,Nuevo León,64403,81-5390-1323,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285347,SND467000KO,11-50,Activo
Nuevo León Acero S.A. de C.V.,Acero,467 Vasconcelos,Obispado,Monterrey,Nuevo León,64347,81-7519-7903,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285357,ICS560368GQ,200+,Activo
Monterrey Acero S.A. de C.V.,Acero,105 Chipinque,Tecnológico,Monterrey,Nuevo León,64658,81-4118-4090,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285366,PQG353748GA,51-200,Activo
Monterrey Energía Corporativo,Energía,213 Fundidora,San Pedro,Monterrey,Nuevo León,64916,81-8977-2899,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285375,EPE632428UO,51-200,Activo
San Pedro Comercio Grupo Industrial,Comercio,437 Revolución,Cumbres,Monterrey,Nuevo León,64889,81-7764-4278,México,Registro Público de Nuevo León,2026-05-07T20:56:56.285385,XTF105681VG,200+,Activo
Constitución Energía Corporativo,Energía,37 Vasconcelos,Obispado,Monterrey,Nuevo León,64440,81-7174-8021,México,Registro Público de Nuevo León,2026-05-07T20:56:56.300466,VFY625630PP,51-200,Activo
Regiomontano Comercio Grupo Industrial,Comercio,358 Garza Sada,Cumbres,Monterrey,Nuevo León,64555,81-9014-7219,México,Registro Público de Nuevo León,2026-05-07T20:56:56.300504,PSP343902YO,11-50,Activo
