business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
Angelópolis Alimentos S. de R.L.,Alimentos,589 5 de Mayo,Cuautlancingo,Puebla,Puebla,72289,222-543-1919,México,Registro Público de Puebla,2026-05-07T20:56:56.219326,KBC780488BN,51-200,Activo
Angelópolis Alimentos S. de R.L.,Alimentos,1699 Reforma,San Martín,Puebla,Puebla,72292,222-362-4417,México,Registro Público de Puebla,2026-05-07T20:56:56.219339,KFW831621QE,51-200,Activo
Puebla Construcción S.A. de C.V.,Construcción,46 Independencia,Amalucan,Puebla,Puebla,72119,222-481-7096,México,Registro Público de Puebla,2026-05-07T20:56:56.219356,ABX499289PG,51-200,Activo
Volcano Textiles Industrial,Textiles,1397 Allende,San Martín,Puebla,Puebla,72265,222-254-7371,México,Registro Público de Puebla,2026-05-07T20:56:56.219364,USG898896PC,1-10,Activo
Volcano Textiles S.A. de C.V.,Textiles,170 Independencia,San Martín,Puebla,Puebla,72733,222-511-4687,México,Registro Público de Puebla,2026-05-07T20:56:56.219371,JIR985463QB,200+,Activo
Tlaxcalteca Tecnología Automotriz,Tecnología,214 Allende,La Paz,Puebla,Puebla,72941,222-624-2662,México,Registro Público de Puebla,2026-05-07T20:56:56.219378,AXS116264YN,11-50,Activo
Angelópolis Química Servicios,Química,961 Reforma,Cuautlancingo,Puebla,Puebla,72309,222-113-5549,México,Registro Público de Puebla,2026-05-07T20:56:56.219384,FSP534166ZO,11-50,Activo
Tlaxcalteca Plásticos Industrial,Plásticos,180 Orizaba,Xonaca,Puebla,Puebla,72867,222-274-4770,México,Registro Público de Puebla,2026-05-07T20:56:56.219391,ELV174147AU,200+,Activo
Cholulteca Cerámica Servicios,Cerámica,831 Morelos,La Paz,Puebla,Puebla,72433,222-153-5517,México,Registro Público de Puebla,2026-05-07T20:56:56.241879,FME399341BF,51-200,Activo
Tlaxcalteca Tecnología Textil,Tecnología,1279 Reforma,La Margarita,Puebla,Puebla,72648,222-816-5703,México,Registro Público de Puebla,2026-05-07T20:56:56.241921,FLT464375US,51-200,Activo
Puebla Alimentos S.A. de C.V.,Alimentos,1907 Heroes,Cholula,Puebla,Puebla,72401,222-566-9343,México,Registro Público de Puebla,2026-05-07T20:56:56.241933,MWR417425XL,51-200,Activo
Angelópolis Plásticos Textil,Plásticos,695 Morelos,San Andrés,Puebla,Puebla,72003,222-504-9303,México,Registro Público de Puebla,2026-05-07T20:56:56.241943,XQZ959402ID,51-200,Activo
Tlaxcalteca Comercio Textil,Comercio,1584 Heroes,Angelópolis,Puebla,Puebla,72319,222-397-3185,México,Registro Público de Puebla,2026-05-07T20:56:56.241973,VOU431384ZZ,200+,Activo
Tlaxcalteca Textiles S.A. de C.V.,Textiles,840 5 de Mayo,San Andrés,Puebla,Puebla,72355,222-416-7953,México,Registro Público de Puebla,2026-05-07T20:56:56.241984,JBY614348SN,1-10,Activo
Cholulteca Plásticos S. de R.L.,Plásticos,1443 16 de Septiembre,Amalucan,Puebla,Puebla,72157,222-655-8232,México,Registro Público de Puebla,2026-05-07T20:56:56.241994,MPF818716AE,1-10,Activo
Puebla Cerámica Textil,Cerámica,1919 Juárez,Angelópolis,Puebla,Puebla,72201,222-146-3553,México,Registro Público de Puebla,2026-05-07T20:56:56.242014,CCQ434813BY,200+,Activo
Cholulteca Comercio Automotriz,Comercio,1717 5 de Mayo,Amalucan,Puebla,Puebla,72579,222-210-8543,México,Registro Público de Puebla,2026-05-07T20:56:56.242027,QOR872474PQ,1-10,Activo
