business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
Jarocho Agrícola S. de R.L.,Agrícola,1282 Lerdo,Carranza,Veracruz,Veracruz,91771,229-422-1703,México,Registro Público de Veracruz,2026-05-07T20:56:56.278285,OQQ977715UV,51-200,Activo
Veracruz Pesquero Servicios,Pesquero,1810 5 de Mayo,Centro,Veracruz,Veracruz,91343,229-476-2078,México,Registro Público de Veracruz,2026-05-07T20:56:56.278303,SXJ285450JU,200+,Activo
Jarocho Logística Logístico,Logística,374 5 de Mayo,Carranza,Veracruz,Veracruz,91826,229-639-8614,México,Registro Público de Veracruz,2026-05-07T20:56:56.278319,UYJ361351RC,200+,Activo
Portuario Logística Marítimo,Logística,1542 Independencia,Reforma,Veracruz,Veracruz,91603,229-928-2322,México,Registro Público de Veracruz,2026-05-07T20:56:56.278329,MKO783397JO,11-50,Activo
Portuario Manufactura Servicios,Manufactura,1881 Gómez Farías,Mocambo,Veracruz,Veracruz,91972,229-918-9439,México,Registro Público de Veracruz,2026-05-07T20:56:56.278339,RIZ966336TG,1-10,Activo
Portuario Turismo Logístico,Turismo,1090 Gómez Farías,Mocambo,Veracruz,Veracruz,91980,229-882-7884,México,Registro Público de Veracruz,2026-05-07T20:56:56.278348,AWE132185UF,51-200,Activo
Puerto Turismo S.A. de C.V.,Turismo,408 Lerdo,Centro,Veracruz,Veracruz,91304,229-579-8967,México,Registro Público de Veracruz,2026-05-07T20:56:56.278357,QGT875703SW,1-10,Activo
Veracruz Turismo Marítimo,Turismo,1350 Independencia,Mocambo,Veracruz,Veracruz,91701,229-388-6328,México,Registro Público de Veracruz,2026-05-07T20:56:56.278366,CYW781163CF,200+,Activo
Puerto Manufactura Servicios,Manufactura,542 Zaragoza,Carranza,Veracruz,Veracruz,91158,229-320-7718,México,Registro Público de Veracruz,2026-05-07T20:56:56.278376,GWR988431UY,51-200,Activo
Boca del Río Portuario Logístico,Portuario,1793 5 de Mayo,Playa,Veracruz,Veracruz,91688,229-914-8275,México,Registro Público de Veracruz,2026-05-07T20:56:56.278385,FNJ340239AV,200+,Activo
Portuario Petróleo Petrolero,Petróleo,1814 Díaz Mirón,Carranza,Veracruz,Veracruz,91871,229-651-3854,México,Registro Público de Veracruz,2026-05-07T20:56:56.278395,PKS448221EN,200+,Activo
