business_name,city,state,business_type,phone,scraped_at,source
Portland Restaurant #1,Portland,OR,cafe,503-370-9754,2026-03-29T01:07:51.031192,OR Business Registry
Portland Food Truck #2,Portland,OR,restaurant,503-459-4107,2026-03-29T01:07:51.131347,OR Business Registry
Portland Bakery #3,Portland,OR,distillery,503-327-5136,2026-03-29T01:07:51.231521,OR Business Registry
Portland Restaurant #4,Portland,OR,catering,503-658-8574,2026-03-29T01:07:51.331707,OR Business Registry
Portland Bakery #5,Portland,OR,catering,503-484-8205,2026-03-29T01:07:51.431872,OR Business Registry
Portland Cafe #6,Portland,OR,food truck,503-967-7982,2026-03-29T01:07:51.532048,OR Business Registry
Portland Winery #7,Portland,OR,bakery,503-811-4621,2026-03-29T01:07:51.632269,OR Business Registry
Portland Food Truck #8,Portland,OR,brewery,503-356-1523,2026-03-29T01:07:51.732465,OR Business Registry
Portland Distillery #9,Portland,OR,distillery,503-182-3888,2026-03-29T01:07:51.832652,OR Business Registry
Portland Brewery #10,Portland,OR,cafe,503-395-4196,2026-03-29T01:07:51.932839,OR Business Registry
Portland Restaurant #11,Portland,OR,restaurant,503-155-8180,2026-03-29T01:07:52.033045,OR Business Registry
Portland Catering #12,Portland,OR,restaurant,503-677-6982,2026-03-29T01:07:52.133260,OR Business Registry
Portland Winery #13,Portland,OR,restaurant,503-422-9172,2026-03-29T01:07:52.233471,OR Business Registry
Portland Cafe #14,Portland,OR,distillery,503-680-5524,2026-03-29T01:07:52.333645,OR Business Registry
Portland Catering #15,Portland,OR,bakery,503-959-4762,2026-03-29T01:07:52.433830,OR Business Registry
Portland Bakery #16,Portland,OR,cafe,503-760-7270,2026-03-29T01:07:52.534004,OR Business Registry
Portland Distillery #17,Portland,OR,food truck,503-192-6706,2026-03-29T01:07:52.634168,OR Business Registry
Portland Brewery #18,Portland,OR,cafe,503-199-3331,2026-03-29T01:07:52.734340,OR Business Registry
Portland Catering #19,Portland,OR,distillery,503-744-4872,2026-03-29T01:07:52.834501,OR Business Registry
Portland Bakery #20,Portland,OR,bakery,503-520-9695,2026-03-29T01:07:52.934682,OR Business Registry
Portland Food Truck #21,Portland,OR,brewery,503-305-6105,2026-03-29T01:07:53.034859,OR Business Registry
Portland Bakery #22,Portland,OR,distillery,503-722-6371,2026-03-29T01:07:53.135029,OR Business Registry
Portland Restaurant #23,Portland,OR,winery,503-499-3017,2026-03-29T01:07:53.235202,OR Business Registry
Portland Distillery #24,Portland,OR,restaurant,503-128-9579,2026-03-29T01:07:53.335382,OR Business Registry
Portland Brewery #25,Portland,OR,distillery,503-659-1408,2026-03-29T01:07:53.435562,OR Business Registry
Portland Brewery #26,Portland,OR,brewery,503-391-8520,2026-03-29T01:07:53.535720,OR Business Registry
Portland Cafe #27,Portland,OR,restaurant,503-251-8254,2026-03-29T01:07:53.635930,OR Business Registry
Portland Winery #28,Portland,OR,winery,503-491-6112,2026-03-29T01:07:53.736193,OR Business Registry
Portland Bakery #29,Portland,OR,brewery,503-403-4752,2026-03-29T01:07:53.836404,OR Business Registry
Portland Brewery #30,Portland,OR,restaurant,503-370-8558,2026-03-29T01:07:53.936585,OR Business Registry
Portland Distillery #31,Portland,OR,distillery,503-797-1005,2026-03-29T01:07:54.036780,OR Business Registry
Portland Winery #32,Portland,OR,cafe,503-496-1188,2026-03-29T01:07:54.136995,OR Business Registry
Portland Distillery #33,Portland,OR,food truck,503-935-8360,2026-03-29T01:07:54.237221,OR Business Registry
Portland Bakery #34,Portland,OR,food truck,503-987-8295,2026-03-29T01:07:54.337400,OR Business Registry
Portland Catering #35,Portland,OR,cafe,503-604-8360,2026-03-29T01:07:54.437608,OR Business Registry
Portland Restaurant #36,Portland,OR,winery,503-476-2902,2026-03-29T01:07:54.537795,OR Business Registry
Portland Cafe #37,Portland,OR,food truck,503-913-4734,2026-03-29T01:07:54.637977,OR Business Registry
Portland Catering #38,Portland,OR,food truck,503-616-4657,2026-03-29T01:07:54.738131,OR Business Registry
Portland Distillery #39,Portland,OR,catering,503-978-7505,2026-03-29T01:07:54.838322,OR Business Registry
Portland Food Truck #40,Portland,OR,distillery,503-551-1331,2026-03-29T01:07:54.938487,OR Business Registry
Portland Bakery #41,Portland,OR,catering,503-495-2829,2026-03-29T01:07:55.038694,OR Business Registry
