business_name,city,state,business_type,phone,scraped_at,source
Seattle Coffee Shop #1,Seattle,WA,brewery,206-907-3217,2026-05-07T20:51:47.813143,WA Business Lookup
Seattle Brewery #2,Seattle,WA,cafe,206-810-4618,2026-05-07T20:51:47.915460,WA Business Lookup
Seattle Cafe #3,Seattle,WA,seafood,206-617-1307,2026-05-07T20:51:48.016093,WA Business Lookup
Seattle Seafood #4,Seattle,WA,food truck,206-543-9137,2026-05-07T20:51:48.116279,WA Business Lookup
Seattle Seafood #5,Seattle,WA,restaurant,206-641-6615,2026-05-07T20:51:48.216450,WA Business Lookup
Seattle Bakery #6,Seattle,WA,food truck,206-809-9325,2026-05-07T20:51:48.316594,WA Business Lookup
Seattle Winery #7,Seattle,WA,winery,206-653-4667,2026-05-07T20:51:48.416748,WA Business Lookup
Seattle Food Truck #8,Seattle,WA,seafood,206-461-7606,2026-05-07T20:51:48.516887,WA Business Lookup
Seattle Coffee Shop #9,Seattle,WA,restaurant,206-555-1038,2026-05-07T20:51:48.617032,WA Business Lookup
Seattle Seafood #10,Seattle,WA,seafood,206-525-1705,2026-05-07T20:51:48.717208,WA Business Lookup
Seattle Seafood #11,Seattle,WA,coffee shop,206-920-2151,2026-05-07T20:51:48.817360,WA Business Lookup
Seattle Coffee Shop #12,Seattle,WA,bakery,206-880-5780,2026-05-07T20:51:48.919766,WA Business Lookup
Seattle Seafood #13,Seattle,WA,brewery,206-198-9207,2026-05-07T20:51:49.019909,WA Business Lookup
Seattle Food Truck #14,Seattle,WA,food truck,206-289-8645,2026-05-07T20:51:49.120052,WA Business Lookup
Seattle Brewery #15,Seattle,WA,food truck,206-721-3653,2026-05-07T20:51:49.220185,WA Business Lookup
Seattle Winery #16,Seattle,WA,coffee shop,206-505-2497,2026-05-07T20:51:49.320351,WA Business Lookup
Seattle Bakery #17,Seattle,WA,brewery,206-623-7779,2026-05-07T20:51:49.420487,WA Business Lookup
Seattle Brewery #18,Seattle,WA,coffee shop,206-254-5424,2026-05-07T20:51:49.520629,WA Business Lookup
Seattle Food Truck #19,Seattle,WA,coffee shop,206-258-2537,2026-05-07T20:51:49.620775,WA Business Lookup
Seattle Coffee Shop #20,Seattle,WA,brewery,206-214-5429,2026-05-07T20:51:49.720898,WA Business Lookup
Seattle Seafood #21,Seattle,WA,cafe,206-272-7306,2026-05-07T20:51:49.821099,WA Business Lookup
Seattle Seafood #22,Seattle,WA,bakery,206-824-6424,2026-05-07T20:51:49.921230,WA Business Lookup
Seattle Brewery #23,Seattle,WA,restaurant,206-243-2006,2026-05-07T20:51:50.021380,WA Business Lookup
Seattle Brewery #24,Seattle,WA,bakery,206-362-8744,2026-05-07T20:51:50.121572,WA Business Lookup
Seattle Food Truck #25,Seattle,WA,brewery,206-350-2256,2026-05-07T20:51:50.221791,WA Business Lookup
Seattle Coffee Shop #26,Seattle,WA,food truck,206-802-4511,2026-05-07T20:51:50.323658,WA Business Lookup
Seattle Winery #27,Seattle,WA,restaurant,206-298-5198,2026-05-07T20:51:50.424295,WA Business Lookup
Seattle Bakery #28,Seattle,WA,brewery,206-337-2691,2026-05-07T20:51:50.524464,WA Business Lookup
Seattle Restaurant #29,Seattle,WA,restaurant,206-423-9788,2026-05-07T20:51:50.624630,WA Business Lookup
Seattle Brewery #30,Seattle,WA,food truck,206-819-8379,2026-05-07T20:51:50.725164,WA Business Lookup
Seattle Coffee Shop #31,Seattle,WA,bakery,206-107-3567,2026-05-07T20:51:50.825332,WA Business Lookup
Seattle Food Truck #32,Seattle,WA,seafood,206-224-9322,2026-05-07T20:51:50.925491,WA Business Lookup
Seattle Restaurant #33,Seattle,WA,restaurant,206-108-8292,2026-05-07T20:51:51.025756,WA Business Lookup
Seattle Seafood #34,Seattle,WA,bakery,206-874-8711,2026-05-07T20:51:51.125880,WA Business Lookup
Seattle Cafe #35,Seattle,WA,bakery,206-417-5079,2026-05-07T20:51:51.226037,WA Business Lookup
Seattle Coffee Shop #36,Seattle,WA,bakery,206-943-4144,2026-05-07T20:51:51.326185,WA Business Lookup
Seattle Food Truck #37,Seattle,WA,bakery,206-199-1242,2026-05-07T20:51:51.426330,WA Business Lookup
Seattle Restaurant #38,Seattle,WA,winery,206-450-7562,2026-05-07T20:51:51.526477,WA Business Lookup
Seattle Food Truck #39,Seattle,WA,bakery,206-625-3631,2026-05-07T20:51:51.626613,WA Business Lookup
Seattle Winery #40,Seattle,WA,cafe,206-105-9974,2026-05-07T20:51:51.726887,WA Business Lookup
Seattle Coffee Shop #41,Seattle,WA,seafood,206-542-9168,2026-05-07T20:51:51.827044,WA Business Lookup
Seattle Brewery #42,Seattle,WA,winery,206-522-8979,2026-05-07T20:51:51.927196,WA Business Lookup
