name,type,address,city,state,phone,keyword,is_bar,source
Silver DeBBQ,BBQ,1592 Main St,Los Angeles,CA,(213) 666-8755,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBurritos,Burritos,6877 Ocean Ave,Los Angeles,CA,(323) 772-3471,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelPizza,Pizza,7572 Market St,Los Angeles,CA,(323) 657-5169,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver BBQ,BBQ,843 Main St,Los Angeles,CA,(818) 508-9714,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelSeafood,Seafood,5566 Wilshire Blvd,Los Angeles,CA,(213) 837-2693,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBurger,Burger,2299 Sunset Blvd,Los Angeles,CA,(818) 675-6955,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelKitchen,Kitchen,1688 Oak St,Los Angeles,CA,(310) 579-1403,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Taqueria,Taqueria,6302 Jefferson St,Los Angeles,CA,(424) 408-2062,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Cafe,Cafe,7397 First St,Los Angeles,CA,(626) 828-6369,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelKitchen,Kitchen,4554 Main St,San Francisco,CA,(415) 867-3091,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Bistro,Bistro,5268 Ocean Ave,San Francisco,CA,(628) 243-7666,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurritos,Burritos,2903 Maple Ave,San Francisco,CA,(628) 975-5025,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBakery,Bakery,5515 First St,San Francisco,CA,(628) 914-1816,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DePizza,Pizza,5169 Elm St,San Francisco,CA,(628) 515-8674,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Seafood,Seafood,4520 First St,San Francisco,CA,(628) 975-7113,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeGrill,Grill,6962 Jefferson St,San Francisco,CA,(628) 470-5323,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelBar & Grill,Bar & Grill,2809 Market St,San Francisco,CA,(415) 439-5853,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DeCoffee,Coffee,8630 Market St,San Francisco,CA,(415) 716-8102,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelTacos,Tacos,6655 Ocean Ave,San Francisco,CA,(628) 999-4189,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeTaqueria,Taqueria,1241 Third St,San Francisco,CA,(628) 846-8628,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Diner,Diner,5057 Hollywood Blvd,San Francisco,CA,(415) 698-4980,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeCafe,Cafe,2943 Hollywood Blvd,San Diego,CA,(858) 399-4234,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Eatery,Eatery,3781 Maple Ave,San Diego,CA,(858) 362-2776,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Bistro,Bistro,7279 Elm St,San Diego,CA,(619) 861-4295,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeEatery,Eatery,2598 Second St,San Diego,CA,(619) 720-2811,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeGrill,Grill,3452 Pine St,Oakland,CA,(510) 300-6452,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelEatery,Eatery,3654 Pico Blvd,Oakland,CA,(925) 310-1375,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Bakery,Bakery,2826 Pico Blvd,Oakland,CA,(925) 342-4318,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelKitchen,Kitchen,8516 Maple Ave,Oakland,CA,(925) 395-6300,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelPizza,Pizza,3593 Jefferson St,Oakland,CA,(925) 578-9404,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurger,Burger,5105 Broadway,Oakland,CA,(925) 276-3068,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Pizza,Pizza,9908 Pico Blvd,Oakland,CA,(510) 412-9074,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelTacos,Tacos,1369 Mission St,Oakland,CA,(510) 540-5090,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeCafe,Cafe,5115 Washington Blvd,Oakland,CA,(510) 589-2161,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurritos,Burritos,3975 Oak St,Oakland,CA,(510) 581-1672,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeCoffee,Coffee,7325 Ocean Ave,San Jose,CA,(408) 202-6533,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBurritos,Burritos,7946 Mission St,San Jose,CA,(408) 838-2831,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBakery,Bakery,2385 Market St,San Jose,CA,(669) 955-1449,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelEatery,Eatery,9805 Oak St,San Jose,CA,(669) 637-6310,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelDiner,Diner,3491 Mission St,San Jose,CA,(408) 826-7944,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelCafe,Cafe,1019 Mission St,San Jose,CA,(408) 510-9350,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Restaurant,Restaurant,709 Maple Ave,San Jose,CA,(408) 627-5688,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Bar & Grill,Bar & Grill,8021 Jefferson St,San Jose,CA,(669) 761-6059,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DeBBQ,BBQ,6170 Market St,San Jose,CA,(669) 520-4251,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBar & Grill,Bar & Grill,2034 Jefferson St,San Jose,CA,(408) 966-9381,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DeRestaurant,Restaurant,7806 Main St,San Jose,CA,(669) 789-3029,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeTaqueria,Taqueria,9863 Elm St,San Jose,CA,(408) 755-9303,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelTacos,Tacos,4151 Sunset Blvd,San Jose,CA,(408) 268-9179,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelCafe,Cafe,5485 Pine St,Sacramento,CA,(530) 489-5212,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelTaqueria,Taqueria,2151 Pine St,Sacramento,CA,(530) 981-8883,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelDiner,Diner,3790 Main St,Sacramento,CA,(916) 664-6711,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelSushi,Sushi,7159 Maple Ave,Sacramento,CA,(916) 925-2813,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Kitchen,Kitchen,3082 Jefferson St,Sacramento,CA,(530) 675-9404,silver,False,CA_restaurants_enriched_20260428_0340.csv
