Store_ID,Store_Name,Address,City,State,ZIP,Phone,Status,Latitude,Longitude,Timezone,Order_URL
4307089,28227 Newhall Ranch Rd,"28227 Newhall Ranch Rd, Santa Clarita, CA 91355, USA",Santa Clarita,California,91355,(661) 753-3366,OPEN,34.4409267,-118.5770585,America/Los_Angeles,https://order.teriyakimadness.com/menu/gateway-village
4302229,AL - Teriyaki Madness Hoover,"4741 Chace Circle STE 113 Hoover, AL, 35244",,AL,,205-502-7924,OPEN,33.3679363,-86.7997630,America/Kentucky/Monticello,https://order.teriyakimadness.com/menu/teriyaki-madness-hoover-al
6036792,AL - Teriyaki Madness Huntsville,"7216 Bailey Cove Rd SE, Huntsville, AL 35802",Huntsville,Alabama,35802,2562137966,OPEN,34.6698522,-86.5398065,America/Kentucky/Monticello,https://order.teriyakimadness.com/menu/jones-valley
4282560,AL - Teriyaki Madness Madison,"7709 Hwy 72 W, Madison, AL 35758, USA",Madison,Alabama,35758,(256) 325-1575,OPEN,34.7541605,-86.7373744,America/Kentucky/Monticello,https://order.teriyakimadness.com/menu/madison
11665064,AL - Teriyaki Madness Northport,"250 McFarland Blvd, Northport, AL 35476, USA",Northport,Alabama,35476,,COMING SOON,33.2375992,-87.5587633,America/Chicago,
4937581,AZ - Teriyaki Madness Ahwatukee,"4722 E Ray Rd, Phoenix, AZ 85044, USA",Phoenix,Arizona,85044,4802561093,OPEN,33.3215648,-111.9811417,America/Phoenix,https://order.teriyakimadness.com/menu/phoenix
4304962,AZ - Teriyaki Madness Mesa,"1229 S Power Rd #105, Mesa, AZ 85206, USA",Mesa,Arizona,85206,(480) 641-8623,OPEN,33.3926387,-111.6839123,America/Phoenix,https://order.teriyakimadness.com/menu/mesa-pavilions-north
4304961,AZ - Teriyaki Madness Ocotillo,"4225 S Gilbert Rd Ste. #1 Chandler, AZ, 85249",,AZ,,480-584-5353,OPEN,33.2449874,-111.7889009,America/Phoenix,https://order.teriyakimadness.com/menu/ocotillo-chandler
4306981,AZ - Teriyaki Madness Peoria,"16955 N. 75th Ave, Suite 115, Peoria, AZ",,AZ,,623-878-4219,OPEN,33.6375218,-112.2196334,America/Phoenix,https://order.teriyakimadness.com/menu/peoria
4304960,AZ - Teriyaki Madness San Tan Village,"3131 S Market Street #108 Gilbert, AZ, 85295",,AZ,,480-306-7807,OPEN,33.2965503,-111.7486569,America/Phoenix,https://order.teriyakimadness.com/menu/san-tan-village
4306980,AZ - Teriyaki Madness Scottsdale,"14884 North Pima Road Suite 101, Scottsdale, AZ",,AZ,,(480) 306-7604,OPEN,33.6198065,-111.8922234,America/Phoenix,https://order.teriyakimadness.com/menu/teriyaki-madness-8
4142712,AZ - Teriyaki Madness Tolleson,"3010 S 99th Ave ste 103, Tolleson, AZ 85353, USA",Tolleson,Arizona,85353,602-296-4474,OPEN,33.4190245,-112.2729719,America/Phoenix,https://order.teriyakimadness.com/menu/teriyaki-madness-tolleson
14273349,CA  - Teriyaki Madness Sherman Oaks,"Sherman Oaks, Los Angeles, CA, USA",Los Angeles,California,,,COMING SOON,34.1489719,-118.4513570,America/Los_Angeles,
14512999,CA - Teriyaki Madness Bakersfield,"Bakersfield, CA, USA",Bakersfield,California,,,COMING SOON,35.3732921,-119.0187125,America/Los_Angeles,
