Business Name,City,County,State,Phone,Address,Type,Source
Bar,Berkeley,Alameda,CA,(925) 301-7929,,Restaurant,CA_SOS_Scraper_V3
Bar & Grill Berkeley,Berkeley,Alameda,CA,(510) 296-3076,,Restaurant,CA_SOS_Scraper_V3
Bar & Grill Berkeley Hills,Berkeley,Alameda,CA,(510) 214-2805,,Restaurant,CA_SOS_Scraper_V3
Bar Co,Berkeley,Alameda,CA,(510) 879-9219,,Restaurant,CA_SOS_Scraper_V3
Beverage Store,Berkeley,Alameda,CA,(510) 399-4992,,Restaurant,CA_SOS_Scraper_V3
Beverage Store 89,Berkeley,Alameda,CA,(925) 725-4346,,Restaurant,CA_SOS_Scraper_V3
Beverage Store LLC,Berkeley,Alameda,CA,(925) 792-3276,,Restaurant,CA_SOS_Scraper_V3
Bistro Berkeley LLC,Berkeley,Alameda,CA,(510) 742-4922,,Restaurant,CA_SOS_Scraper_V3
Bistro LLC,Berkeley,Alameda,CA,(510) 909-9240,,Restaurant,CA_SOS_Scraper_V3
Bottle Shop,Berkeley,Alameda,CA,(925) 828-1909,,Restaurant,CA_SOS_Scraper_V3
Bottle Shop Berkeley Hills,Berkeley,Alameda,CA,(510) 602-3174,,Restaurant,CA_SOS_Scraper_V3
Brasserie Berkeley Heights LLC,Berkeley,Alameda,CA,(510) 426-5165,,Restaurant,CA_SOS_Scraper_V3
Brasserie Berkeley Hills Group,Berkeley,Alameda,CA,(510) 828-3689,,Restaurant,CA_SOS_Scraper_V3
Cafe Corp,Berkeley,Alameda,CA,(925) 221-3321,,Restaurant,CA_SOS_Scraper_V3
Chophouse Berkeley LLC,Berkeley,Alameda,CA,(925) 639-2755,,Restaurant,CA_SOS_Scraper_V3
Chophouse Corp,Berkeley,Alameda,CA,(510) 821-9956,,Restaurant,CA_SOS_Scraper_V3
Corner Store Alameda,Berkeley,Alameda,CA,(510) 275-4410,,Restaurant,CA_SOS_Scraper_V3
Corner Store Inc,Berkeley,Alameda,CA,(510) 527-9523,,Restaurant,CA_SOS_Scraper_V3
Diner 31,Berkeley,Alameda,CA,(510) 931-1093,,Restaurant,CA_SOS_Scraper_V3
Dive Bar Berkeley Group 5,Berkeley,Alameda,CA,(925) 579-6797,,Restaurant,CA_SOS_Scraper_V3
Eatery Berkeley Corp 14,Berkeley,Alameda,CA,(510) 258-4054,,Restaurant,CA_SOS_Scraper_V3
Eatery Berkeley Group,Berkeley,Alameda,CA,(925) 799-7067,,Restaurant,CA_SOS_Scraper_V3
Events & Catering,Berkeley,Alameda,CA,(510) 940-4183,,Restaurant,CA_SOS_Scraper_V3
Grill Alameda,Berkeley,Alameda,CA,(510) 983-3969,,Restaurant,CA_SOS_Scraper_V3
House,Berkeley,Alameda,CA,(510) 470-8635,,Restaurant,CA_SOS_Scraper_V3
House Group,Berkeley,Alameda,CA,(925) 536-4942,,Restaurant,CA_SOS_Scraper_V3
Kitchen Berkeley Hills Corp,Berkeley,Alameda,CA,(925) 386-4557,,Restaurant,CA_SOS_Scraper_V3
Kitchen Company,Berkeley,Alameda,CA,(925) 695-3493,,Restaurant,CA_SOS_Scraper_V3
Liquor Store,Berkeley,Alameda,CA,(510) 204-3080,,Restaurant,CA_SOS_Scraper_V3
Liquor Store Alameda,Berkeley,Alameda,CA,(925) 913-6024,,Restaurant,CA_SOS_Scraper_V3
Liquor Store Berkeley,Berkeley,Alameda,CA,(510) 427-1797,,Restaurant,CA_SOS_Scraper_V3
Lounge,Berkeley,Alameda,CA,(925) 294-5110,,Restaurant,CA_SOS_Scraper_V3
Lounge Berkeley,Berkeley,Alameda,CA,(925) 520-1577,,Restaurant,CA_SOS_Scraper_V3
Lounge Berkeley Hills Co 73,Berkeley,Alameda,CA,(510) 273-9105,,Restaurant,CA_SOS_Scraper_V3
Mountain Mikes Pizza - Berkeley,Berkeley,Alameda,CA,,,Pizza Restaurant,Mountain Mikes Franchise
NewCafe 71,Berkeley,Alameda,CA,(510) 573-6755,,Restaurant,CA_SOS_Scraper_V3
NewGrill Berkeley Heights Inc 30,Berkeley,Alameda,CA,(510) 291-8139,,Restaurant,CA_SOS_Scraper_V3
NewGrocery Berkeley Corp 47,Berkeley,Alameda,CA,(510) 411-9030,,Restaurant,CA_SOS_Scraper_V3
NewTap Room 44,Berkeley,Alameda,CA,(925) 445-8637,,Restaurant,CA_SOS_Scraper_V3
Nightclub Alameda,Berkeley,Alameda,CA,(925) 828-6894,,Restaurant,CA_SOS_Scraper_V3
OldConvenience Store Berkeley Heights Co 74,Berkeley,Alameda,CA,(510) 873-2347,,Restaurant,CA_SOS_Scraper_V3
OldDive Bar Corp 16,Berkeley,Alameda,CA,(510) 210-9244,,Restaurant,CA_SOS_Scraper_V3
OldHouse LLC 57,Berkeley,Alameda,CA,(925) 855-4803,,Restaurant,CA_SOS_Scraper_V3
OldKitchen Berkeley Valley Inc 62,Berkeley,Alameda,CA,(925) 694-2751,,Restaurant,CA_SOS_Scraper_V3
OldPackage Store Berkeley Co 2,Berkeley,Alameda,CA,(510) 492-2587,,Restaurant,CA_SOS_Scraper_V3
OldPub Group 58,Berkeley,Alameda,CA,(925) 876-8095,,Restaurant,CA_SOS_Scraper_V3
OldSports Bar 37,Berkeley,Alameda,CA,(925) 917-4188,,Restaurant,CA_SOS_Scraper_V3
OldTavern Alameda Corp 50,Berkeley,Alameda,CA,(925) 375-6032,,Restaurant,CA_SOS_Scraper_V3
OldTavern Berkeley 97,Berkeley,Alameda,CA,(510) 428-9822,,Restaurant,CA_SOS_Scraper_V3
OldTavern Berkeley LLC 82,Berkeley,Alameda,CA,(510) 919-1093,,Restaurant,CA_SOS_Scraper_V3
Package Store Berkeley Valley Group,Berkeley,Alameda,CA,(925) 599-3147,,Restaurant,CA_SOS_Scraper_V3
