Business Name,City,County,Phone,Address,Source
Dive Bar Corp,Auburn,Placer,(530) 607-5117,,CA_SOS_Scraper_V3
Tavern Auburn,Auburn,Placer,(530) 736-6815,,CA_SOS_Scraper_V3
Bar Placer Company,Auburn,Placer,(530) 769-5307,,CA_SOS_Scraper_V3
Sports Bar Placer Group,Auburn,Placer,(530) 607-9816,,CA_SOS_Scraper_V3
Sports Bar LLC 11,Auburn,Placer,(916) 683-7337,,CA_SOS_Scraper_V3
TheLounge Auburn Valley 40,Auburn,Placer,(916) 465-3504,,CA_SOS_Scraper_V3
NewSports Bar Auburn Heights LLC 18,Auburn,Placer,(530) 942-5459,,CA_SOS_Scraper_V3
Bar Auburn,Auburn,Placer,(916) 528-2177,,CA_SOS_Scraper_V3
Bar Group,Auburn,Placer,(916) 806-9925,,CA_SOS_Scraper_V3
Dive Bar Auburn LLC,Auburn,Placer,(530) 522-9468,,CA_SOS_Scraper_V3
Bar,Auburn,Placer,(916) 570-6915,,CA_SOS_Scraper_V3
Lounge,Auburn,Placer,(916) 304-2125,,CA_SOS_Scraper_V3
OldDive Bar Rocklin 43,Rocklin,Placer,(530) 447-1512,,CA_SOS_Scraper_V3
Pub Rocklin Valley Co,Rocklin,Placer,(530) 628-5661,,CA_SOS_Scraper_V3
NewTavern Rocklin Company 95,Rocklin,Placer,(916) 430-3937,,CA_SOS_Scraper_V3
OldTavern 93,Rocklin,Placer,(530) 685-7783,,CA_SOS_Scraper_V3
Bar,Rocklin,Placer,(916) 519-5441,,CA_SOS_Scraper_V3
Dive Bar,Rocklin,Placer,(530) 958-6705,,CA_SOS_Scraper_V3
OldSports Bar Rocklin Heights Inc 95,Rocklin,Placer,(916) 482-2550,,CA_SOS_Scraper_V3
Pub Co,Rocklin,Placer,(530) 489-5989,,CA_SOS_Scraper_V3
Brewery Inc 35,Rocklin,Placer,(530) 947-5967,,CA_SOS_Scraper_V3
OldDive Bar Rocklin 96,Rocklin,Placer,(530) 852-4465,,CA_SOS_Scraper_V3
Tavern,Rocklin,Placer,(916) 696-7465,,CA_SOS_Scraper_V3
NewDive Bar Rocklin 84,Rocklin,Placer,(530) 902-6459,,CA_SOS_Scraper_V3
Lounge Rocklin 20,Rocklin,Placer,(916) 522-1583,,CA_SOS_Scraper_V3
Tavern Inc,Rocklin,Placer,(530) 210-6389,,CA_SOS_Scraper_V3
Tavern Roseville,Roseville,Placer,(530) 501-6099,,CA_SOS_Scraper_V3
Pub Roseville Inc,Roseville,Placer,(916) 837-7521,,CA_SOS_Scraper_V3
Bar LLC,Roseville,Placer,(530) 888-3339,,CA_SOS_Scraper_V3
Pub Group,Roseville,Placer,(530) 407-2294,,CA_SOS_Scraper_V3
TheTavern Roseville Heights LLC 52,Roseville,Placer,(530) 956-9054,,CA_SOS_Scraper_V3
Pub Roseville Company 70,Roseville,Placer,(916) 690-3941,,CA_SOS_Scraper_V3
TheSports Bar Citrus Heights Company 22,Citrus Heights,Sacramento,(279) 289-3802,,CA_SOS_Scraper_V3
OldSports Bar Citrus Heights Group 44,Citrus Heights,Sacramento,(916) 984-1204,,CA_SOS_Scraper_V3
Pub Citrus Heights,Citrus Heights,Sacramento,(916) 572-6453,,CA_SOS_Scraper_V3
Sports Bar,Citrus Heights,Sacramento,(279) 571-3339,,CA_SOS_Scraper_V3
Bar Co,Citrus Heights,Sacramento,(279) 330-6777,,CA_SOS_Scraper_V3
ThePub Citrus Heights Heights 17,Citrus Heights,Sacramento,(916) 918-9579,,CA_SOS_Scraper_V3
Bar Citrus Heights Hills Company,Citrus Heights,Sacramento,(916) 613-7103,,CA_SOS_Scraper_V3
Tavern,Citrus Heights,Sacramento,(916) 696-5194,,CA_SOS_Scraper_V3
ThePub Citrus Heights Valley LLC 81,Citrus Heights,Sacramento,(916) 564-4137,,CA_SOS_Scraper_V3
Tavern Co,Citrus Heights,Sacramento,(916) 693-2856,,CA_SOS_Scraper_V3
Lounge Co,Citrus Heights,Sacramento,(916) 932-8604,,CA_SOS_Scraper_V3
Sports Bar Co,Citrus Heights,Sacramento,(916) 914-3776,,CA_SOS_Scraper_V3
Tavern Corp,Citrus Heights,Sacramento,(279) 325-8267,,CA_SOS_Scraper_V3
Bar Group,Citrus Heights,Sacramento,(279) 365-9452,,CA_SOS_Scraper_V3
Tavern Group,Citrus Heights,Sacramento,(279) 934-5247,,CA_SOS_Scraper_V3
Brewery Citrus Heights Heights Group,Citrus Heights,Sacramento,(279) 319-5178,,CA_SOS_Scraper_V3
Lounge Citrus Heights,Citrus Heights,Sacramento,(916) 716-6560,,CA_SOS_Scraper_V3
Pub,Citrus Heights,Sacramento,(916) 281-4205,,CA_SOS_Scraper_V3
OldTavern Corp 99,Citrus Heights,Sacramento,(279) 471-7628,,CA_SOS_Scraper_V3
NewPub 90,Citrus Heights,Sacramento,(279) 351-5810,,CA_SOS_Scraper_V3
Tavern Citrus Heights Hills,Citrus Heights,Sacramento,(916) 405-5674,,CA_SOS_Scraper_V3
Tavern Citrus Heights Valley Co,Citrus Heights,Sacramento,(916) 804-1594,,CA_SOS_Scraper_V3
Tavern Citrus Heights,Citrus Heights,Sacramento,(279) 994-7438,,CA_SOS_Scraper_V3
Tavern Inc,Citrus Heights,Sacramento,(279) 468-2651,,CA_SOS_Scraper_V3
Lounge Citrus Heights Group,Citrus Heights,Sacramento,(916) 927-6033,,CA_SOS_Scraper_V3
Tavern Citrus Heights Co,Citrus Heights,Sacramento,(279) 905-5861,,CA_SOS_Scraper_V3
Bar Company,Elk Grove,Sacramento,(916) 467-7247,,CA_SOS_Scraper_V3
Tavern Elk Grove Hills Group,Elk Grove,Sacramento,(279) 768-7953,,CA_SOS_Scraper_V3
Tavern LLC,Elk Grove,Sacramento,(916) 914-8944,,CA_SOS_Scraper_V3
Bar Corp,Elk Grove,Sacramento,(279) 843-5483,,CA_SOS_Scraper_V3
Tavern Elk Grove,Elk Grove,Sacramento,(916) 293-3251,,CA_SOS_Scraper_V3
Sports Bar,Elk Grove,Sacramento,(916) 250-2675,,CA_SOS_Scraper_V3
Bar Elk Grove Inc 16,Elk Grove,Sacramento,(279) 725-7526,,CA_SOS_Scraper_V3
Brewery,Elk Grove,Sacramento,(916) 335-6040,,CA_SOS_Scraper_V3
OldBrewery Elk Grove 38,Elk Grove,Sacramento,(279) 544-7060,,CA_SOS_Scraper_V3
Tavern Company,Elk Grove,Sacramento,(279) 327-3742,,CA_SOS_Scraper_V3
Tavern Elk Grove Company,Elk Grove,Sacramento,(279) 939-2386,,CA_SOS_Scraper_V3
Lounge,Elk Grove,Sacramento,(916) 808-5099,,CA_SOS_Scraper_V3
Bar Inc,Roseville,Sacramento,(279) 986-9942,,CA_SOS_Scraper_V3
Pub Co,Roseville,Sacramento,(279) 959-5439,,CA_SOS_Scraper_V3
Lounge,Roseville,Sacramento,(916) 603-2180,,CA_SOS_Scraper_V3
NewBar Co 13,Roseville,Sacramento,(279) 689-6461,,CA_SOS_Scraper_V3
Tavern,Roseville,Sacramento,(916) 650-8751,,CA_SOS_Scraper_V3
Lounge Roseville Co,Roseville,Sacramento,(916) 814-5183,,CA_SOS_Scraper_V3
Lounge Roseville Valley Group,Roseville,Sacramento,(279) 803-8146,,CA_SOS_Scraper_V3
Tavern LLC,Roseville,Sacramento,(916) 390-8560,,CA_SOS_Scraper_V3
Tavern Roseville Inc,Roseville,Sacramento,(279) 851-6073,,CA_SOS_Scraper_V3
Brewery,Roseville,Sacramento,(279) 288-2231,,CA_SOS_Scraper_V3
NewTavern 93,Roseville,Sacramento,(279) 234-1185,,CA_SOS_Scraper_V3
OldBar Corp 81,Roseville,Sacramento,(916) 405-7774,,CA_SOS_Scraper_V3
NewBrewery Roseville 50,Roseville,Sacramento,(279) 769-5139,,CA_SOS_Scraper_V3
Bar,Roseville,Sacramento,(279) 688-5432,,CA_SOS_Scraper_V3
Tavern Group,Roseville,Sacramento,(916) 528-8183,,CA_SOS_Scraper_V3
OldBrewery 32,Roseville,Sacramento,(916) 396-2651,,CA_SOS_Scraper_V3
Sports Bar Roseville,Roseville,Sacramento,(279) 763-7605,,CA_SOS_Scraper_V3
NewPub 16,Roseville,Sacramento,(916) 843-8896,,CA_SOS_Scraper_V3
Lounge Roseville,Roseville,Sacramento,(916) 325-4431,,CA_SOS_Scraper_V3
NewTavern 32,Roseville,Sacramento,(279) 841-1887,,CA_SOS_Scraper_V3
OldPub Roseville Heights Inc 37,Roseville,Sacramento,(916) 734-7043,,CA_SOS_Scraper_V3
NewPub 92,Roseville,Sacramento,(279) 525-5922,,CA_SOS_Scraper_V3
Bar Roseville Group,Roseville,Sacramento,(916) 615-6358,,CA_SOS_Scraper_V3
Tavern Roseville Group,Roseville,Sacramento,(279) 840-3185,,CA_SOS_Scraper_V3
Tavern Roseville Company,Roseville,Sacramento,(279) 240-8465,,CA_SOS_Scraper_V3
Pub Co,Sacramento,Sacramento,(916) 505-6938,,CA_SOS_Scraper_V3
Tavern,Sacramento,Sacramento,(279) 904-5226,,CA_SOS_Scraper_V3
Sports Bar Inc,Sacramento,Sacramento,(279) 434-6359,,CA_SOS_Scraper_V3
Pub Corp,Sacramento,Sacramento,(279) 644-4764,,CA_SOS_Scraper_V3
Tavern Company,Sacramento,Sacramento,(916) 635-8970,,CA_SOS_Scraper_V3
NewBrewery 74,Sacramento,Sacramento,(279) 874-2782,,CA_SOS_Scraper_V3
Pub,Sacramento,Sacramento,(279) 769-4617,,CA_SOS_Scraper_V3
Dive Bar Co,Sacramento,Sacramento,(916) 756-3484,,CA_SOS_Scraper_V3
Tavern Inc,Sacramento,Sacramento,(279) 975-5971,,CA_SOS_Scraper_V3
OldLounge Co 18,Fairfield,Solano,(707) 870-6004,,CA_SOS_Scraper_V3
Pub,Fairfield,Solano,(707) 553-6154,,CA_SOS_Scraper_V3
Tavern Solano Company,Fairfield,Solano,(707) 601-7532,,CA_SOS_Scraper_V3
Brewery Corp,Fairfield,Solano,(707) 401-1296,,CA_SOS_Scraper_V3
Tavern LLC,Fairfield,Solano,(707) 533-5350,,CA_SOS_Scraper_V3
Dive Bar Company,Fairfield,Solano,(707) 828-6347,,CA_SOS_Scraper_V3
Tavern Fairfield Company,Fairfield,Solano,(707) 704-5744,,CA_SOS_Scraper_V3
NewTavern Solano Group 6,Fairfield,Solano,(707) 611-2969,,CA_SOS_Scraper_V3
Sports Bar Group,Fairfield,Solano,(707) 809-6739,,CA_SOS_Scraper_V3
Lounge Fairfield Valley Company,Fairfield,Solano,(707) 379-2795,,CA_SOS_Scraper_V3
Bar LLC,Fairfield,Solano,(707) 337-1473,,CA_SOS_Scraper_V3
Lounge Solano,Fairfield,Solano,(707) 844-2119,,CA_SOS_Scraper_V3
OldPub 61,Fairfield,Solano,(707) 746-7394,,CA_SOS_Scraper_V3
Bar,Fairfield,Solano,(707) 344-8030,,CA_SOS_Scraper_V3
Lounge Group,Fairfield,Solano,(707) 894-4198,,CA_SOS_Scraper_V3
Brewery Company,Fairfield,Solano,(707) 676-2205,,CA_SOS_Scraper_V3
Pub Company,Fairfield,Solano,(707) 997-8124,,CA_SOS_Scraper_V3
Tavern Fairfield,Fairfield,Solano,(707) 287-4187,,CA_SOS_Scraper_V3
Lounge Fairfield,Fairfield,Solano,(707) 289-5481,,CA_SOS_Scraper_V3
Brewery Fairfield Co,Fairfield,Solano,(707) 801-5473,,CA_SOS_Scraper_V3
Lounge Fairfield Valley Inc,Fairfield,Solano,(707) 533-6522,,CA_SOS_Scraper_V3
Tavern,Fairfield,Solano,(707) 905-7015,,CA_SOS_Scraper_V3
TheTavern 28,Fairfield,Solano,(707) 574-8298,,CA_SOS_Scraper_V3
Dive Bar,Vacaville,Solano,(707) 947-7219,,CA_SOS_Scraper_V3
Pub Solano,Vacaville,Solano,(707) 456-9358,,CA_SOS_Scraper_V3
Brewery Solano Group,Vacaville,Solano,(707) 902-9372,,CA_SOS_Scraper_V3
Tavern Solano Inc 89,Vacaville,Solano,(707) 804-1188,,CA_SOS_Scraper_V3
Tavern Group,Vacaville,Solano,(707) 341-6802,,CA_SOS_Scraper_V3
OldTavern Co 51,Vacaville,Solano,(707) 946-2621,,CA_SOS_Scraper_V3
Dive Bar Inc 60,Vacaville,Solano,(707) 452-7750,,CA_SOS_Scraper_V3
Tavern Vacaville,Vacaville,Solano,(707) 619-6068,,CA_SOS_Scraper_V3
Pub,Vacaville,Solano,(707) 889-8952,,CA_SOS_Scraper_V3
NewTavern 21,Vacaville,Solano,(707) 577-5120,,CA_SOS_Scraper_V3
