Business Name,City,County,Phone,Address,Business Type,Source,Notes
1821 FINE WINE & SPIRITS,AMERICAN CANYON,Napa,,125 MEZZETTA CT,Food Service,ABC License,Independent
ANTIGAL WINERY & ESTATES,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License,Independent
BEL KING INDIAN GRILL,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License,Independent
BLOC WINES  INC.,AMERICAN CANYON,Napa,,265 LOMBARD RD,Food Service,ABC License,Independent
BRAZOS WINE IMPORTS  LLC,AMERICAN CANYON,Napa,,125 MEZZETTA CT,Food Service,ABC License,Independent
BROADWAY MARKET,AMERICAN CANYON,Napa,,3915 BROADWAY ST,Food Service,ABC License,Independent
BURGERIM,AMERICAN CANYON,Napa,,101 W AMERICAN CANYON RD,Food Service,ABC License,Independent
CANYON CAFE,AMERICAN CANYON,Napa,,3845 BROADWAY ST,Restaurant,ABC License,Independent
CHARDONNAY GOLF CLUB,AMERICAN CANYON,Napa,,2555 JAMESON CANYON RD,Food Service,ABC License,Independent
CIRCLE K STORES,AMERICAN CANYON,Napa,,112 LOMBARD RD,Food Service,ABC License,Independent
CITATION WINE,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License,Independent
DEUTSCH FAMILY WINE & SPIRITS,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License,Independent
ETHICA WINES,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
FORTHRIGHT WINERY,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License,Independent
FOUR BEARS WINERY,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License,Independent
GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,,255 LOMBARD RD,Food Service,ABC License,Independent
HALBY MARKETING INC,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,Independent
HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,,5555 NAPA VALLEJO HWY,Food Service,ABC License,Independent
HOBEL WINES,AMERICAN CANYON,Napa,,177 TOWER RD,Food Service,ABC License,Independent
HUB & SPOKE WINE CO,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,Independent
INDIGO WINE GROUP,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License,Independent
ISRAELI WINE DIRECT,AMERICAN CANYON,Napa,,5555 BROADWAY,Food Service,ABC License,Independent
JCOMMERCE WINE,AMERICAN CANYON,Napa,,255 LOMBARD RD.  STE K,Food Service,ABC License,Independent
JUNCTION BREWERY & GRILL,AMERICAN CANYON,Napa,,110 W AMERICAN CANYON RD,Food Service,ABC License,Independent
KING ESTATE WINERY,AMERICAN CANYON,Napa,,760-820 HANNA DR,Food Service,ABC License,Independent
LARUE WINES,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,Independent
MASCOT WINE,AMERICAN CANYON,Napa,,265 LOMBARD RD,Food Service,ABC License,Independent
MOUNTAIN MIKES PIZZA,AMERICAN CANYON,Napa,,410 NAPA JUNCTION RD,Food Service,ABC License,Independent
NAKEDWINES.COM,AMERICAN CANYON,Napa,,677 HANNA DR,Food Service,ABC License,Independent
NAPA VALLEJO FLEA MARKET,AMERICAN CANYON,Napa,,303 S KELLY RD,Food Service,ABC License,Independent
NORTHWEST WINES LTD,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,Independent
ONE-TEN RESTAURANT AND BAR LLC,AMERICAN CANYON,Napa,,110 W AMERICAN CANYON RD,Bar,ABC License,Independent
PARRY MARKET,AMERICAN CANYON,Napa,,234 AMERICAN CANYON RD,Food Service,ABC License,Independent
PARRYS PIZZERIA RESTAURANT,AMERICAN CANYON,Napa,,234 AMERICAN CANYON RD,Restaurant,ABC License,Independent
PLATA WINE PARTNERS,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License,Independent
PRECEPT WINE,AMERICAN CANYON,Napa,,700 HANNA DRIVE,Food Service,ABC License,Independent
PRESTIGE WINE CO,AMERICAN CANYON,Napa,,677 HANNA DR,Food Service,ABC License,Independent
PURPLE WINE AND SPIRITS,AMERICAN CANYON,Napa,,205 JIM OSWALT WY,Food Service,ABC License,Independent
PURPLE WINES,AMERICAN CANYON,Napa,,1166 COMMERCE BLVD,Food Service,ABC License,Independent
RANCHO UVA BLANKA FAMILY WINES,AMERICAN CANYON,Napa,,111 HOLCOMB LN,Food Service,ABC License,Independent
SAN FRANCISCO WINE EXCHANGE,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License,Independent
SERENDIPITY WINES WC  LLC,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,Independent
SOKOL BLOSSER WINERY,AMERICAN CANYON,Napa,,760-820 HANNA DR,Food Service,ABC License,Independent
SONOMA WINE COMPANY,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License,Independent
SOUTH KELLY GRILL,AMERICAN CANYON,Napa,,101 CAFE CT,Food Service,ABC License,Independent
SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
SPRINGBOARD WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,Independent
STOVER OAKS VINEYARD & WINERY,AMERICAN CANYON,Napa,,102 GOLD VALLEY CT,Food Service,ABC License,Independent
SUNRISE RANCH WINERY,AMERICAN CANYON,Napa,,1 KIRKLAND RANCH RD,Food Service,ABC License,Independent
SUTTER HOME WINERY,AMERICAN CANYON,Napa,,303 GREEN ISLAND RD,Food Service,ABC License,Independent
SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,,644 HANNA DR.,Food Service,ABC License,Independent
TACOS MICHOACHAN 2,AMERICAN CANYON,Napa,,3945 BROADWAY ST,Mexican Restaurant,ABC License,Independent
THAI KITCHEN RESTAURANT,AMERICAN CANYON,Napa,,3425 BROADWAY ST,Asian Restaurant,ABC License,Independent
TRI-VIN WINES AND SPIRITS,AMERICAN CANYON,Napa,,1155 COMMERCE BLVD,Food Service,ABC License,Independent
USA WINE WEST,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,Independent
VALENTINA'S KITCHEN,AMERICAN CANYON,Napa,,100 W AMERICAN CANYON RD,Food Service,ABC License,Independent
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,Independent
VINITY WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,Independent
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License,Independent
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License,Independent
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License,Independent
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License,Independent
WINEDIRECT,AMERICAN CANYON,Napa,,450 GREEN ISLAND RD,Food Service,ABC License,Independent
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
WINESU,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
WINGSTOP 418,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License,Independent
ADAMVS WINERY,ANGWIN,Napa,,501 WHITE COTTAGE RD N,Food Service,ABC License,Independent
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,,383 LAS POSADAS,Food Service,ABC License,Independent
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,,555 WHITE COTTAGE RD S,Bar,ABC License,Independent
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License,Independent
CADE WINERY,ANGWIN,Napa,,360 HOWELL MOUNTAIN RD,Food Service,ABC License,Independent
FLATLEY WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
HAYFORK WINE COMPANY,ANGWIN,Napa,,2255 SUMMIT LAKE DR,Food Service,ABC License,Independent
HOSSFELD VINEYARDS WINE CO.,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
JACKSON FAMILY WINES INC,ANGWIN,Napa,,1102 LAS POSADAS RD,Food Service,ABC License,Independent
JENNAMARISE WINES,ANGWIN,Napa,,1300 SUMMIT LAKE DR,Food Service,ABC License,Independent
MAXEM WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
MONTESQUIEU WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
MOONE TSAI WINES,ANGWIN,Napa,,1425 LAS POSADAS RD,Food Service,ABC License,Independent
OSHAUGHNESSY ESTATE WINERY,ANGWIN,Napa,,1150 FRIESEN DR,Food Service,ABC License,Independent
OUTPOST WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License,Independent
PARAVEL WINES,ANGWIN,Napa,,994 WHITE COTTAGE RD N,Food Service,ABC License,Independent
PEACE WATER WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,Independent
RED THREAD WINE COMAPANY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,Independent
ROBERT CRAIG WINERY,ANGWIN,Napa,,2475 SUMMIT LAKE DR,Food Service,ABC License,Independent
SELAH WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License,Independent
SOUNDS  SOUNDS WINE,ANGWIN,Napa,,1181 LAS POSADAS RD,Food Service,ABC License,Independent
STELLAREESE WINES,ANGWIN,Napa,,480 BAY ST,Food Service,ABC License,Independent
SUMMIT LAKE VINEYARDS & WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,Independent
THREE FURIES WINES,ANGWIN,Napa,,716 LIPARITA AVE,Food Service,ABC License,Independent
TRUJILLO WINES,ANGWIN,Napa,,1250 LAS POSADOS RD,Food Service,ABC License,Independent
VIDA VALIENTE WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
