Business Name,City,County,State,Phone,Address,Business Type,Source,Chain Status
1821 FINE WINE & SPIRITS,AMERICAN CANYON,Napa,CA,,125 MEZZETTA CT,Food Service,ABC License Data,INDEPENDENT
ANTIGAL WINERY & ESTATES,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,INDEPENDENT
BEL KING INDIAN GRILL,AMERICAN CANYON,Napa,CA,,5075 MAIN ST,Food Service,ABC License Data,INDEPENDENT
BLOC WINES  INC.,AMERICAN CANYON,Napa,CA,,265 LOMBARD RD,Food Service,ABC License Data,INDEPENDENT
BRAZOS WINE IMPORTS  LLC,AMERICAN CANYON,Napa,CA,,125 MEZZETTA CT,Food Service,ABC License Data,INDEPENDENT
BROADWAY MARKET,AMERICAN CANYON,Napa,CA,,3915 BROADWAY ST,Food Service,ABC License Data,INDEPENDENT
BURGERIM,AMERICAN CANYON,Napa,CA,,101 W AMERICAN CANYON RD,Food Service,ABC License Data,INDEPENDENT
CANYON CAFE,AMERICAN CANYON,Napa,CA,,3845 BROADWAY ST,Restaurant,ABC License Data,INDEPENDENT
CHARDONNAY GOLF CLUB,AMERICAN CANYON,Napa,CA,,2555 JAMESON CANYON RD,Food Service,ABC License Data,INDEPENDENT
CIRCLE K STORES,AMERICAN CANYON,Napa,CA,,112 LOMBARD RD,Food Service,ABC License Data,INDEPENDENT
CITATION WINE,AMERICAN CANYON,Napa,CA,,801 HANNA DR,Food Service,ABC License Data,INDEPENDENT
DEUTSCH FAMILY WINE & SPIRITS,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,INDEPENDENT
ETHICA WINES,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
FORTHRIGHT WINERY,AMERICAN CANYON,Napa,CA,,100 NAPA JUNCTION RD,Food Service,ABC License Data,INDEPENDENT
FOUR BEARS WINERY,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,INDEPENDENT
GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,,255 LOMBARD RD,Food Service,ABC License Data,INDEPENDENT
HALBY MARKETING INC,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,INDEPENDENT
HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,CA,,5555 NAPA VALLEJO HWY,Food Service,ABC License Data,INDEPENDENT
HOBEL WINES,AMERICAN CANYON,Napa,CA,,177 TOWER RD,Food Service,ABC License Data,INDEPENDENT
