Business Name,City,County,State,Phone,Address,Type,Source,Category
1821 FINE WINE & SPIRITS,AMERICAN CANYON,Napa,CA,,125 MEZZETTA CT,Food Service,ABC License Data,ABC_LICENSE
7 ELEVEN STORE 2365-16640E,AMERICAN CANYON,Napa,CA,,26 RIO DEL MAR,Food Service,ABC License Data,ABC_LICENSE
ANTIGAL WINERY & ESTATES,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,ABC_LICENSE
ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
BEL KING INDIAN GRILL,AMERICAN CANYON,Napa,CA,,5075 MAIN ST,Food Service,ABC License Data,ABC_LICENSE
BLOC WINES  INC.,AMERICAN CANYON,Napa,CA,,265 LOMBARD RD,Food Service,ABC License Data,ABC_LICENSE
BRAZOS WINE IMPORTS  LLC,AMERICAN CANYON,Napa,CA,,125 MEZZETTA CT,Food Service,ABC License Data,ABC_LICENSE
BROADWAY MARKET,AMERICAN CANYON,Napa,CA,,3915 BROADWAY ST,Food Service,ABC License Data,ABC_LICENSE
BURGERIM,AMERICAN CANYON,Napa,CA,,101 W AMERICAN CANYON RD,Food Service,ABC License Data,ABC_LICENSE
CANYON CAFE,AMERICAN CANYON,Napa,CA,,3845 BROADWAY ST,Restaurant,ABC License Data,ABC_LICENSE
CHARDONNAY GOLF CLUB,AMERICAN CANYON,Napa,CA,,2555 JAMESON CANYON RD,Food Service,ABC License Data,ABC_LICENSE
CIRCLE K STORES,AMERICAN CANYON,Napa,CA,,112 LOMBARD RD,Food Service,ABC License Data,ABC_LICENSE
CITATION WINE,AMERICAN CANYON,Napa,CA,,801 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
DEUTSCH FAMILY WINE & SPIRITS,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
ETHICA WINES,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,ABC_LICENSE
FORTHRIGHT WINERY,AMERICAN CANYON,Napa,CA,,100 NAPA JUNCTION RD,Food Service,ABC License Data,ABC_LICENSE
FOUR BEARS WINERY,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,ABC_LICENSE
GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,,255 LOMBARD RD,Food Service,ABC License Data,ABC_LICENSE
HALBY MARKETING INC,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,ABC_LICENSE
HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,CA,,5555 NAPA VALLEJO HWY,Food Service,ABC License Data,ABC_LICENSE
HOBEL WINES,AMERICAN CANYON,Napa,CA,,177 TOWER RD,Food Service,ABC License Data,ABC_LICENSE
HUB & SPOKE WINE CO,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,ABC_LICENSE
INDIGO WINE GROUP,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
ISRAELI WINE DIRECT,AMERICAN CANYON,Napa,CA,,5555 BROADWAY,Food Service,ABC License Data,ABC_LICENSE
JCOMMERCE WINE,AMERICAN CANYON,Napa,CA,,255 LOMBARD RD.  STE K,Food Service,ABC License Data,ABC_LICENSE
JUNCTION BREWERY & GRILL,AMERICAN CANYON,Napa,CA,,110 W AMERICAN CANYON RD,Food Service,ABC License Data,ABC_LICENSE
KING ESTATE WINERY,AMERICAN CANYON,Napa,CA,,760-820 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
LARUE WINES,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,ABC_LICENSE
MASCOT WINE,AMERICAN CANYON,Napa,CA,,265 LOMBARD RD,Food Service,ABC License Data,ABC_LICENSE
MOUNTAIN MIKES PIZZA,AMERICAN CANYON,Napa,CA,,410 NAPA JUNCTION RD,Food Service,ABC License Data,ABC_LICENSE
NAKEDWINES.COM,AMERICAN CANYON,Napa,CA,,677 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
NAPA VALLEJO FLEA MARKET,AMERICAN CANYON,Napa,CA,,303 S KELLY RD,Food Service,ABC License Data,ABC_LICENSE
NORTHWEST WINES LTD,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,ABC_LICENSE
ONE-TEN RESTAURANT AND BAR LLC,AMERICAN CANYON,Napa,CA,,110 W AMERICAN CANYON RD,Bar,ABC License Data,ABC_LICENSE
PARRY MARKET,AMERICAN CANYON,Napa,CA,,234 AMERICAN CANYON RD,Food Service,ABC License Data,ABC_LICENSE
PARRYS PIZZERIA RESTAURANT,AMERICAN CANYON,Napa,CA,,234 AMERICAN CANYON RD,Restaurant,ABC License Data,ABC_LICENSE
PLATA WINE PARTNERS,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,ABC_LICENSE
PRECEPT WINE,AMERICAN CANYON,Napa,CA,,700 HANNA DRIVE,Food Service,ABC License Data,ABC_LICENSE
PRESTIGE WINE CO,AMERICAN CANYON,Napa,CA,,677 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
PURPLE WINE AND SPIRITS,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WY,Food Service,ABC License Data,ABC_LICENSE
PURPLE WINES,AMERICAN CANYON,Napa,CA,,1166 COMMERCE BLVD,Food Service,ABC License Data,ABC_LICENSE
RANCHO UVA BLANKA FAMILY WINES,AMERICAN CANYON,Napa,CA,,111 HOLCOMB LN,Food Service,ABC License Data,ABC_LICENSE
ROUND TABLE PIZZA,AMERICAN CANYON,Napa,CA,,5055 MAIN ST,Food Service,ABC License Data,ABC_LICENSE
SAN FRANCISCO WINE EXCHANGE,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
SERENDIPITY WINES WC  LLC,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,ABC_LICENSE
SOKOL BLOSSER WINERY,AMERICAN CANYON,Napa,CA,,760-820 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
SONOMA WINE COMPANY,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,ABC_LICENSE
SOUTH KELLY GRILL,AMERICAN CANYON,Napa,CA,,101 CAFE CT,Food Service,ABC License Data,ABC_LICENSE
SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,ABC_LICENSE
SPRINGBOARD WINE COMPANY,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,ABC_LICENSE
STOVER OAKS VINEYARD & WINERY,AMERICAN CANYON,Napa,CA,,102 GOLD VALLEY CT,Food Service,ABC License Data,ABC_LICENSE
SUNRISE RANCH WINERY,AMERICAN CANYON,Napa,CA,,1 KIRKLAND RANCH RD,Food Service,ABC License Data,ABC_LICENSE
SUTTER HOME WINERY,AMERICAN CANYON,Napa,CA,,303 GREEN ISLAND RD,Food Service,ABC License Data,ABC_LICENSE
SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,CA,,644 HANNA DR.,Food Service,ABC License Data,ABC_LICENSE
TACOS MICHOACHAN 2,AMERICAN CANYON,Napa,CA,,3945 BROADWAY ST,Mexican Restaurant,ABC License Data,ABC_LICENSE
THAI KITCHEN RESTAURANT,AMERICAN CANYON,Napa,CA,,3425 BROADWAY ST,Asian Restaurant,ABC License Data,ABC_LICENSE
TRI-VIN WINES AND SPIRITS,AMERICAN CANYON,Napa,CA,,1155 COMMERCE BLVD,Food Service,ABC License Data,ABC_LICENSE
USA WINE WEST,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,ABC_LICENSE
VALENTINA'S KITCHEN,AMERICAN CANYON,Napa,CA,,100 W AMERICAN CANYON RD,Food Service,ABC License Data,ABC_LICENSE
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,ABC_LICENSE
VINITY WINE COMPANY,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,ABC_LICENSE
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,CA,,100 NAPA JUNCTION RD,Food Service,ABC License Data,ABC_LICENSE
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,ABC_LICENSE
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,CA,,801 HANNA DR,Food Service,ABC License Data,ABC_LICENSE
WINEDIRECT,AMERICAN CANYON,Napa,CA,,450 GREEN ISLAND RD,Food Service,ABC License Data,ABC_LICENSE
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,ABC_LICENSE
WINESU,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,ABC_LICENSE
WINGSTOP 418,AMERICAN CANYON,Napa,CA,,5075 MAIN ST,Food Service,ABC License Data,ABC_LICENSE
ADAMVS WINERY,ANGWIN,Napa,CA,,501 WHITE COTTAGE RD N,Food Service,ABC License Data,ABC_LICENSE
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,CA,,383 LAS POSADAS,Food Service,ABC License Data,ABC_LICENSE
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,CA,,555 WHITE COTTAGE RD S,Bar,ABC License Data,ABC_LICENSE
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,CA,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License Data,ABC_LICENSE
CADE WINERY,ANGWIN,Napa,CA,,360 HOWELL MOUNTAIN RD,Food Service,ABC License Data,ABC_LICENSE
FLATLEY WINES,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,ABC_LICENSE
HAYFORK WINE COMPANY,ANGWIN,Napa,CA,,2255 SUMMIT LAKE DR,Food Service,ABC License Data,ABC_LICENSE
HOSSFELD VINEYARDS WINE CO.,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,ABC_LICENSE
JACKSON FAMILY WINES INC,ANGWIN,Napa,CA,,1102 LAS POSADAS RD,Food Service,ABC License Data,ABC_LICENSE
JENNAMARISE WINES,ANGWIN,Napa,CA,,1300 SUMMIT LAKE DR,Food Service,ABC License Data,ABC_LICENSE
MAXEM WINES,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,ABC_LICENSE
MONTESQUIEU WINERY,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,ABC_LICENSE
MOONE TSAI WINES,ANGWIN,Napa,CA,,1425 LAS POSADAS RD,Food Service,ABC License Data,ABC_LICENSE
OSHAUGHNESSY ESTATE WINERY,ANGWIN,Napa,CA,,1150 FRIESEN DR,Food Service,ABC License Data,ABC_LICENSE
OUTPOST WINES,ANGWIN,Napa,CA,,2075 SUMMIT LAKE DR,Food Service,ABC License Data,ABC_LICENSE
PARAVEL WINES,ANGWIN,Napa,CA,,994 WHITE COTTAGE RD N,Food Service,ABC License Data,ABC_LICENSE
PEACE WATER WINERY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,ABC_LICENSE
RED THREAD WINE COMAPANY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,ABC_LICENSE
ROBERT CRAIG WINERY,ANGWIN,Napa,CA,,2475 SUMMIT LAKE DR,Food Service,ABC License Data,ABC_LICENSE
SELAH WINES,ANGWIN,Napa,CA,,2075 SUMMIT LAKE DR,Food Service,ABC License Data,ABC_LICENSE
SOUNDS  SOUNDS WINE,ANGWIN,Napa,CA,,1181 LAS POSADAS RD,Food Service,ABC License Data,ABC_LICENSE
STELLAREESE WINES,ANGWIN,Napa,CA,,480 BAY ST,Food Service,ABC License Data,ABC_LICENSE
SUMMIT LAKE VINEYARDS & WINERY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,ABC_LICENSE
THREE FURIES WINES,ANGWIN,Napa,CA,,716 LIPARITA AVE,Food Service,ABC License Data,ABC_LICENSE
TRUJILLO WINES,ANGWIN,Napa,CA,,1250 LAS POSADOS RD,Food Service,ABC License Data,ABC_LICENSE
VIDA VALIENTE WINERY,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,ABC_LICENSE
Mountain Mikes Pizza - American Canyon,American Canyon,Napa,CA,,,Pizza Restaurant,Mountain Mikes Franchise,FRANCHISE
1510 LIQUOR LLC,CALISTOGA,Napa,CA,,1510 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,ABC_LICENSE
