Business Name,City,County,Phone,Address,Business Type,Source
1821 FINE WINE & SPIRITS,AMERICAN CANYON,Napa,,125 MEZZETTA CT,Food Service,ABC License Data
ANTIGAL WINERY & ESTATES,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data
ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License Data
BEL KING INDIAN GRILL,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License Data
BLOC WINES  INC.,AMERICAN CANYON,Napa,,265 LOMBARD RD,Food Service,ABC License Data
BRAZOS WINE IMPORTS  LLC,AMERICAN CANYON,Napa,,125 MEZZETTA CT,Food Service,ABC License Data
BROADWAY MARKET,AMERICAN CANYON,Napa,,3915 BROADWAY ST,Food Service,ABC License Data
BURGERIM,AMERICAN CANYON,Napa,,101 W AMERICAN CANYON RD,Food Service,ABC License Data
CANYON CAFE,AMERICAN CANYON,Napa,,3845 BROADWAY ST,Restaurant,ABC License Data
CHARDONNAY GOLF CLUB,AMERICAN CANYON,Napa,,2555 JAMESON CANYON RD,Food Service,ABC License Data
CIRCLE K STORES,AMERICAN CANYON,Napa,,112 LOMBARD RD,Food Service,ABC License Data
CITATION WINE,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License Data
DEUTSCH FAMILY WINE & SPIRITS,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License Data
ETHICA WINES,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data
FORTHRIGHT WINERY,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License Data
FOUR BEARS WINERY,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License Data
GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,,255 LOMBARD RD,Food Service,ABC License Data
HALBY MARKETING INC,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License Data
HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,,5555 NAPA VALLEJO HWY,Food Service,ABC License Data
HOBEL WINES,AMERICAN CANYON,Napa,,177 TOWER RD,Food Service,ABC License Data
HUB & SPOKE WINE CO,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License Data
INDIGO WINE GROUP,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License Data
ISRAELI WINE DIRECT,AMERICAN CANYON,Napa,,5555 BROADWAY,Food Service,ABC License Data
JCOMMERCE WINE,AMERICAN CANYON,Napa,,255 LOMBARD RD.  STE K,Food Service,ABC License Data
JUNCTION BREWERY & GRILL,AMERICAN CANYON,Napa,,110 W AMERICAN CANYON RD,Food Service,ABC License Data
KING ESTATE WINERY,AMERICAN CANYON,Napa,,760-820 HANNA DR,Food Service,ABC License Data
LARUE WINES,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License Data
