Business Name,City,County,Phone,Address,Business Type,Source,Chain Status,Chain Name,Priority
1821 FINE WINE & SPIRITS,AMERICAN CANYON,Napa,,125 MEZZETTA CT,Food Service,ABC License,INDEPENDENT,N/A,HIGH
7 ELEVEN STORE 2365-16640E,AMERICAN CANYON,Napa,,26 RIO DEL MAR,Food Service,ABC License,CHAIN,7 ELEVEN,LOW
ANTIGAL WINERY & ESTATES,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BEL KING INDIAN GRILL,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BLOC WINES  INC.,AMERICAN CANYON,Napa,,265 LOMBARD RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BRAZOS WINE IMPORTS  LLC,AMERICAN CANYON,Napa,,125 MEZZETTA CT,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BROADWAY MARKET,AMERICAN CANYON,Napa,,3915 BROADWAY ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BURGERIM,AMERICAN CANYON,Napa,,101 W AMERICAN CANYON RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CANYON CAFE,AMERICAN CANYON,Napa,,3845 BROADWAY ST,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CHARDONNAY GOLF CLUB,AMERICAN CANYON,Napa,,2555 JAMESON CANYON RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CIRCLE K STORES,AMERICAN CANYON,Napa,,112 LOMBARD RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CITATION WINE,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
DEUTSCH FAMILY WINE & SPIRITS,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ETHICA WINES,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FORTHRIGHT WINERY,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FOUR BEARS WINERY,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,,255 LOMBARD RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HALBY MARKETING INC,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,,5555 NAPA VALLEJO HWY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HOBEL WINES,AMERICAN CANYON,Napa,,177 TOWER RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HUB & SPOKE WINE CO,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
INDIGO WINE GROUP,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ISRAELI WINE DIRECT,AMERICAN CANYON,Napa,,5555 BROADWAY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
JCOMMERCE WINE,AMERICAN CANYON,Napa,,255 LOMBARD RD.  STE K,Food Service,ABC License,INDEPENDENT,N/A,HIGH
JUNCTION BREWERY & GRILL,AMERICAN CANYON,Napa,,110 W AMERICAN CANYON RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KING ESTATE WINERY,AMERICAN CANYON,Napa,,760-820 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LARUE WINES,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MASCOT WINE,AMERICAN CANYON,Napa,,265 LOMBARD RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MOUNTAIN MIKES PIZZA,AMERICAN CANYON,Napa,,410 NAPA JUNCTION RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NAKEDWINES.COM,AMERICAN CANYON,Napa,,677 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NAPA VALLEJO FLEA MARKET,AMERICAN CANYON,Napa,,303 S KELLY RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NORTHWEST WINES LTD,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ONE-TEN RESTAURANT AND BAR LLC,AMERICAN CANYON,Napa,,110 W AMERICAN CANYON RD,Bar,ABC License,INDEPENDENT,N/A,HIGH
PARRY MARKET,AMERICAN CANYON,Napa,,234 AMERICAN CANYON RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PARRYS PIZZERIA RESTAURANT,AMERICAN CANYON,Napa,,234 AMERICAN CANYON RD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
PLATA WINE PARTNERS,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PRECEPT WINE,AMERICAN CANYON,Napa,,700 HANNA DRIVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PRESTIGE WINE CO,AMERICAN CANYON,Napa,,677 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PURPLE WINE AND SPIRITS,AMERICAN CANYON,Napa,,205 JIM OSWALT WY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PURPLE WINES,AMERICAN CANYON,Napa,,1166 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RANCHO UVA BLANKA FAMILY WINES,AMERICAN CANYON,Napa,,111 HOLCOMB LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROUND TABLE PIZZA,AMERICAN CANYON,Napa,,5055 MAIN ST,Food Service,ABC License,CHAIN,ROUND TABLE,LOW
SAN FRANCISCO WINE EXCHANGE,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SERENDIPITY WINES WC  LLC,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOKOL BLOSSER WINERY,AMERICAN CANYON,Napa,,760-820 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SONOMA WINE COMPANY,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOUTH KELLY GRILL,AMERICAN CANYON,Napa,,101 CAFE CT,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SPRINGBOARD WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
STOVER OAKS VINEYARD & WINERY,AMERICAN CANYON,Napa,,102 GOLD VALLEY CT,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SUNRISE RANCH WINERY,AMERICAN CANYON,Napa,,1 KIRKLAND RANCH RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SUTTER HOME WINERY,AMERICAN CANYON,Napa,,303 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,,644 HANNA DR.,Food Service,ABC License,INDEPENDENT,N/A,HIGH
TACOS MICHOACHAN 2,AMERICAN CANYON,Napa,,3945 BROADWAY ST,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
THAI KITCHEN RESTAURANT,AMERICAN CANYON,Napa,,3425 BROADWAY ST,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
TRI-VIN WINES AND SPIRITS,AMERICAN CANYON,Napa,,1155 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
USA WINE WEST,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
VALENTINA'S KITCHEN,AMERICAN CANYON,Napa,,100 W AMERICAN CANYON RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
VINITY WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINEDIRECT,AMERICAN CANYON,Napa,,450 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINESU,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINGSTOP 418,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ADAMVS WINERY,ANGWIN,Napa,,501 WHITE COTTAGE RD N,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,,383 LAS POSADAS,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,,555 WHITE COTTAGE RD S,Bar,ABC License,INDEPENDENT,N/A,HIGH
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CADE WINERY,ANGWIN,Napa,,360 HOWELL MOUNTAIN RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FLATLEY WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HAYFORK WINE COMPANY,ANGWIN,Napa,,2255 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
