Business Name,City,County,Phone,Address,Business Type,Source
21ST AMENDMENT LIQUORS,SACRAMENTO,Sacramento,,1555 FULTON AVE,Food Service,ABC License Data
4TH ST TAVERN,GALT,Sacramento,,229 4TH ST,Bar,ABC License Data
5 STAR LIQUOR,CARMICHAEL,Sacramento,,5038 MARCONI AVE,Food Service,ABC License Data
5 TACOS AND BEERS,SACRAMENTO,Sacramento,,1627 16TH ST,Mexican Restaurant,ABC License Data
500F PIZZA X TAPHOUSE,SACRAMENTO,Sacramento,,4341 ARDEN WAY,Food Service,ABC License Data
524 RESTAURANT INC,SACRAMENTO,Sacramento,,3830 NORTHGATE BLVD,Restaurant,ABC License Data
5TH STREET MARKET,SACRAMENTO,Sacramento,,2644 5TH ST,Food Service,ABC License Data
8-TRACK CLUB,SACRAMENTO,Sacramento,,2030 P ST,Food Service,ABC License Data
99 CENT ONLY STORE 160,RANCHO CORDOVA,Sacramento,,2868 ZINFANDEL DR,Food Service,ABC License Data
99 CENTS ONLY STORE,SACRAMENTO,Sacramento,,4319 ELKHORN BLVD,Food Service,ABC License Data
99 CENTS ONLY STORE #352,SACRAMENTO,Sacramento,,4440 FLORIN RD,Food Service,ABC License Data
99 CENTS ONLY STORE 176,CARMICHAEL,Sacramento,,6431 FAIR OAKS BLVD,Food Service,ABC License Data
99 RANCH MARKET,FOLSOM,Sacramento,,25000 BLUE RAVINE RD,Food Service,ABC License Data
99 RANCH MARKET,SACRAMENTO,Sacramento,,4220 FLORIN RD,Food Service,ABC License Data
99¢ ONLY STORE #160,RANCHO CORDOVA,Sacramento,,2868 ZINFANDEL DR,Food Service,ABC License Data
A & A SUPERMARKET,SACRAMENTO,Sacramento,,6545 STOCKTON BLVD,Food Service,ABC License Data
A & E CAFE,GOLD RIVER,Sacramento,,2201 GOLD RUSH DR,Restaurant,ABC License Data
A&P LIQUOR,SACRAMENTO,Sacramento,,1101 21ST ST,Food Service,ABC License Data
A1 MARKET,SACRAMENTO,Sacramento,,6636 SUNNYSLOPE DR,Food Service,ABC License Data
A1 MARKETPLACE,SACRAMENTO,Sacramento,,7261 STOCKTON BLVD,Food Service,ABC License Data
AA TASTY RESTAURANT,SACRAMENTO,Sacramento,,6601 FLORIN RD,Restaurant,ABC License Data
AB INDIAN CUISINE,SACRAMENTO,Sacramento,,7400 ELSIE AVE,Food Service,ABC License Data
ACE LIQUOR,SACRAMENTO,Sacramento,,2222 NORTHGATE BLVD,Food Service,ABC License Data
ACHESON WINE COMPANY,SACRAMENTO,Sacramento,,1629 19TH ST,Food Service,ABC License Data
ACHESON WINE COMPANY@ MIDTOWN FARMERS MARKET CFM,SACRAMENTO,Sacramento,,20TH ST BETWEEN J&K ST,Food Service,ABC License Data
AERY'S MARKET,SACRAMENTO,Sacramento,,4710 AUBURN BLVD,Food Service,ABC License Data
AGAVE RESTAURANT,SACRAMENTO,Sacramento,,3311 POWER INN RD,Restaurant,ABC License Data
AIKO SUSHI,RANCHO CORDOVA,Sacramento,,2252 SUNRISE BLVD,Food Service,ABC License Data
AJI SUSHI,SACRAMENTO,Sacramento,,5239 ELKHORN BLVD,Food Service,ABC License Data
AKIRA JAPANESE RESTAURANT,CITRUS HEIGHTS,Sacramento,,6191 GREENBACK LN,Restaurant,ABC License Data
ALAMAR RESTAURANT & MARINA,SACRAMENTO,Sacramento,,5999 GARDEN HWY,Restaurant,ABC License Data
ALHAMBRA RESTAURANT PARTNERS  LLC,SACRAMENTO,Sacramento,,1525 ALHAMBRA BLVD,Restaurant,ABC License Data
ALIBI BAR  THE,SACRAMENTO,Sacramento,,615  617 & 619 MUNROE ST,Bar,ABC License Data
ALMA WINE BAR & SHOP,SACRAMENTO,Sacramento,,1200 S ST,Bar,ABC License Data
ALOHA SUSHI,FOLSOM,Sacramento,,2791 E BIDWELL ST,Food Service,ABC License Data
AMERICAN FOOD STORE,ORANGEVALE,Sacramento,,5682 MAIN AVE,Food Service,ABC License Data
AMERICAN WAY MARKET,SACRAMENTO,Sacramento,,401 W EL CAMINO AVE,Food Service,ABC License Data
AMIGOS MARKET,GALT,Sacramento,,229 S LINCOLN WY,Food Service,ABC License Data
ANDY'S KITCHEN,FOLSOM,Sacramento,,153 IRON POINT RD,Food Service,ABC License Data
ANTELOPE 76 MARKET,CITRUS HEIGHTS,Sacramento,,7800 LICHEN DR,Food Service,ABC License Data
ANTELOPE GREENS GOLF COURSE,ANTELOPE,Sacramento,,2721 ELVERTA RD,Food Service,ABC License Data
ANTELOPE MARKET,ANTELOPE,Sacramento,,3535 ELVERTA RD,Food Service,ABC License Data
ANTIQUITE MIDTOWN WINERY,SACRAMENTO,Sacramento,,2116 P ST,Food Service,ABC License Data
ARCHWAY MARKET,RIO LINDA,Sacramento,,416 M ST,Food Service,ABC License Data
ARIA GAS AND MARKET 2,SACRAMENTO,Sacramento,,3500 WATT AVE,Food Service,ABC License Data
ARIGATO SUSHI,SACRAMENTO,Sacramento,,1608 HOWE AVE,Food Service,ABC License Data
ARTEAGAS MARKET,SACRAMENTO,Sacramento,,2690 NORTHGATE BLVD,Food Service,ABC License Data
ARTS LIQUOR,SACRAMENTO,Sacramento,,5800 MADISON AVE,Food Service,ABC License Data
ASHLEY'S COUNTRY KITCHEN,ORANGEVALE,Sacramento,,9411 MADISON AVE,Food Service,ABC License Data
ASIAN BROTHERS BREWING COMPANY,ISLETON,Sacramento,,731 W BRANNAN IS RD,Asian Restaurant,ABC License Data
ASIAN FOOD CENTER,SACRAMENTO,Sacramento,,1301 BROADWAY,Asian Restaurant,ABC License Data
ASIAN N' CAJUN,SACRAMENTO,Sacramento,,4271 TRUXEL RD,Asian Restaurant,ABC License Data
ASIAN PEARL RESTAURANT,SACRAMENTO,Sacramento,,6821 STOCKTON BLVD,Asian Restaurant,ABC License Data
AT THAI KITCHEN,FOLSOM,Sacramento,,711 E BIDWELL ST,Asian Restaurant,ABC License Data
AVIATORS RESTAURANT,SACRAMENTO,Sacramento,,6151 FREEPORT BLVD,Restaurant,ABC License Data
AZAYAKA JAPANESE FUSION,SACRAMENTO,Sacramento,,8760 LA RIVIERA DR,Food Service,ABC License Data
AZUKAR SUSHI,SACRAMENTO,Sacramento,,1516 W EL CAMINO AVE,Food Service,ABC License Data
AZUL MEXICAN FOOD & TEQUILA BAR,SACRAMENTO,Sacramento,,1050 20TH ST,Mexican Restaurant,ABC License Data
B & E MARKET,SACRAMENTO,Sacramento,,7596 BRADSHAW RD,Food Service,ABC License Data
B & W LIQUOR,SACRAMENTO,Sacramento,,1810 DEL PASO BLVD,Food Service,ABC License Data
B BROTHERS MINI MART,SACRAMENTO,Sacramento,,4847 AMBER LN,Food Service,ABC License Data
B'S WINE & LIQUOR,FAIR OAKS,Sacramento,,8121 MADISON AVE,Food Service,ABC License Data
B.O.S.S. 5 STAR LOUNGE,SACRAMENTO,Sacramento,,1017 FRONT ST LOWR LEVEL,Bar,ABC License Data
