Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
21ST AMENDMENT LIQUORS,SACRAMENTO,Sacramento,,1555 FULTON AVE,Food Service,ABC License Data,INDEPENDENT
4TH ST TAVERN,GALT,Sacramento,,229 4TH ST,Bar,ABC License Data,INDEPENDENT
5 STAR LIQUOR,CARMICHAEL,Sacramento,,5038 MARCONI AVE,Food Service,ABC License Data,INDEPENDENT
5 TACOS AND BEERS,SACRAMENTO,Sacramento,,1627 16TH ST,Mexican Restaurant,ABC License Data,INDEPENDENT
500F PIZZA X TAPHOUSE,SACRAMENTO,Sacramento,,4341 ARDEN WAY,Food Service,ABC License Data,INDEPENDENT
524 RESTAURANT INC,SACRAMENTO,Sacramento,,3830 NORTHGATE BLVD,Restaurant,ABC License Data,INDEPENDENT
5TH STREET MARKET,SACRAMENTO,Sacramento,,2644 5TH ST,Food Service,ABC License Data,INDEPENDENT
7 ELEVEN STORE #2365-35491A,SACRAMENTO,Sacramento,,2160 EL CAMINO AVE,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE #2365-36868A,SACRAMENTO,Sacramento,,6500 FOLSOM BLVD,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2235 14098A,RANCHO CORDOVA,Sacramento,,10246 MILLS STATION RD,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2235 14119F,SACRAMENTO,Sacramento,,6591 WYNDHAM DR,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2235 16081F,NORTH HIGHLANDS,Sacramento,,4900 WATT AVE,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2235 16350D,SACRAMENTO,Sacramento,,7700 LA RIVIERA DR,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2235 23040E,SACRAMENTO,Sacramento,,2544 ARDEN WY,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2235 23226 B,SACRAMENTO,Sacramento,,3405 BRADSHAW RD,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2235 23265D,SACRAMENTO,Sacramento,,2450 NORTHGATE BLVD,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2365-14107G,SACRAMENTO,Sacramento,,1199 43RD AVE,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2365-23010E,CARMICHAEL,Sacramento,,5101 MARCONI AVE,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 2365-24147D,SACRAMENTO,Sacramento,,5080 AUBURN BLVD,Food Service,ABC License Data,CHAIN
7 ELEVEN STORE 37217A,SACRAMENTO,Sacramento,,1301 HOWE AVE,Food Service,ABC License Data,CHAIN
7-ELEVEN STORE #2365-23233D,SACRAMENTO,Sacramento,,8499 GERBER RD,Food Service,ABC License Data,CHAIN
7-ELEVEN STORE 2365-35347,RANCHO CORDOVA,Sacramento,,11079 FOLSOM BLVD,Food Service,ABC License Data,CHAIN
8-TRACK CLUB,SACRAMENTO,Sacramento,,2030 P ST,Food Service,ABC License Data,INDEPENDENT
99 CENT ONLY STORE 160,RANCHO CORDOVA,Sacramento,,2868 ZINFANDEL DR,Food Service,ABC License Data,INDEPENDENT
99 CENTS ONLY STORE,SACRAMENTO,Sacramento,,4319 ELKHORN BLVD,Food Service,ABC License Data,INDEPENDENT
99 CENTS ONLY STORE #352,SACRAMENTO,Sacramento,,4440 FLORIN RD,Food Service,ABC License Data,INDEPENDENT
99 CENTS ONLY STORE 176,CARMICHAEL,Sacramento,,6431 FAIR OAKS BLVD,Food Service,ABC License Data,INDEPENDENT
99 RANCH MARKET,FOLSOM,Sacramento,,25000 BLUE RAVINE RD,Food Service,ABC License Data,INDEPENDENT
99 RANCH MARKET,SACRAMENTO,Sacramento,,4220 FLORIN RD,Food Service,ABC License Data,INDEPENDENT
99¢ ONLY STORE #160,RANCHO CORDOVA,Sacramento,,2868 ZINFANDEL DR,Food Service,ABC License Data,INDEPENDENT
A & A SUPERMARKET,SACRAMENTO,Sacramento,,6545 STOCKTON BLVD,Food Service,ABC License Data,INDEPENDENT
A & E CAFE,GOLD RIVER,Sacramento,,2201 GOLD RUSH DR,Restaurant,ABC License Data,INDEPENDENT
A&P LIQUOR,SACRAMENTO,Sacramento,,1101 21ST ST,Food Service,ABC License Data,INDEPENDENT
A1 MARKET,SACRAMENTO,Sacramento,,6636 SUNNYSLOPE DR,Food Service,ABC License Data,INDEPENDENT
A1 MARKETPLACE,SACRAMENTO,Sacramento,,7261 STOCKTON BLVD,Food Service,ABC License Data,INDEPENDENT
AA TASTY RESTAURANT,SACRAMENTO,Sacramento,,6601 FLORIN RD,Restaurant,ABC License Data,INDEPENDENT
AB INDIAN CUISINE,SACRAMENTO,Sacramento,,7400 ELSIE AVE,Food Service,ABC License Data,INDEPENDENT
ACE LIQUOR,SACRAMENTO,Sacramento,,2222 NORTHGATE BLVD,Food Service,ABC License Data,INDEPENDENT
ACHESON WINE COMPANY,SACRAMENTO,Sacramento,,1629 19TH ST,Food Service,ABC License Data,INDEPENDENT
ACHESON WINE COMPANY@ MIDTOWN FARMERS MARKET CFM,SACRAMENTO,Sacramento,,20TH ST BETWEEN J&K ST,Food Service,ABC License Data,INDEPENDENT
AERY'S MARKET,SACRAMENTO,Sacramento,,4710 AUBURN BLVD,Food Service,ABC License Data,INDEPENDENT
AGAVE RESTAURANT,SACRAMENTO,Sacramento,,3311 POWER INN RD,Restaurant,ABC License Data,INDEPENDENT
AIKO SUSHI,RANCHO CORDOVA,Sacramento,,2252 SUNRISE BLVD,Food Service,ABC License Data,INDEPENDENT
AJI SUSHI,SACRAMENTO,Sacramento,,5239 ELKHORN BLVD,Food Service,ABC License Data,INDEPENDENT
AKIRA JAPANESE RESTAURANT,CITRUS HEIGHTS,Sacramento,,6191 GREENBACK LN,Restaurant,ABC License Data,INDEPENDENT
ALAMAR RESTAURANT & MARINA,SACRAMENTO,Sacramento,,5999 GARDEN HWY,Restaurant,ABC License Data,INDEPENDENT
ALHAMBRA RESTAURANT PARTNERS  LLC,SACRAMENTO,Sacramento,,1525 ALHAMBRA BLVD,Restaurant,ABC License Data,INDEPENDENT
ALIBI BAR  THE,SACRAMENTO,Sacramento,,615  617 & 619 MUNROE ST,Bar,ABC License Data,INDEPENDENT
ALMA WINE BAR & SHOP,SACRAMENTO,Sacramento,,1200 S ST,Bar,ABC License Data,INDEPENDENT
ALOHA SUSHI,FOLSOM,Sacramento,,2791 E BIDWELL ST,Food Service,ABC License Data,INDEPENDENT
AMERICAN FOOD STORE,ORANGEVALE,Sacramento,,5682 MAIN AVE,Food Service,ABC License Data,INDEPENDENT
AMERICAN WAY MARKET,SACRAMENTO,Sacramento,,401 W EL CAMINO AVE,Food Service,ABC License Data,INDEPENDENT
AMIGOS MARKET,GALT,Sacramento,,229 S LINCOLN WY,Food Service,ABC License Data,INDEPENDENT
ANDY'S KITCHEN,FOLSOM,Sacramento,,153 IRON POINT RD,Food Service,ABC License Data,INDEPENDENT
ANTELOPE 76 MARKET,CITRUS HEIGHTS,Sacramento,,7800 LICHEN DR,Food Service,ABC License Data,INDEPENDENT
ANTELOPE GREENS GOLF COURSE,ANTELOPE,Sacramento,,2721 ELVERTA RD,Food Service,ABC License Data,INDEPENDENT
ANTELOPE MARKET,ANTELOPE,Sacramento,,3535 ELVERTA RD,Food Service,ABC License Data,INDEPENDENT
ANTIQUITE MIDTOWN WINERY,SACRAMENTO,Sacramento,,2116 P ST,Food Service,ABC License Data,INDEPENDENT
APPLEBEE'S NEIGHBORHOOD BAR & GRILL,CITRUS HEIGHTS,Sacramento,,6900 AUBURN BLVD,Bar,ABC License Data,CHAIN
APPLEBEES NEIGHBORHOOD GRILL & BAR,ELK GROVE,Sacramento,,9105 E STOCKTON BLVD,Bar,ABC License Data,CHAIN
APPLEBEES NEIGHBORHOOD GRILL & BAR,SACRAMENTO,Sacramento,,3601 TRUXEL RD,Bar,ABC License Data,CHAIN
