Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
1821 FINE WINE & SPIRITS,AMERICAN CANYON,Napa,,125 MEZZETTA CT,Food Service,ABC License Data,INDEPENDENT
7 ELEVEN STORE 2365-16640E,AMERICAN CANYON,Napa,,26 RIO DEL MAR,Food Service,ABC License Data,CHAIN
ANTIGAL WINERY & ESTATES,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
ARIL WINES 2.0 LLC,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License Data,INDEPENDENT
BEL KING INDIAN GRILL,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License Data,INDEPENDENT
BLOC WINES  INC.,AMERICAN CANYON,Napa,,265 LOMBARD RD,Food Service,ABC License Data,INDEPENDENT
BRAZOS WINE IMPORTS  LLC,AMERICAN CANYON,Napa,,125 MEZZETTA CT,Food Service,ABC License Data,INDEPENDENT
BROADWAY MARKET,AMERICAN CANYON,Napa,,3915 BROADWAY ST,Food Service,ABC License Data,INDEPENDENT
BURGERIM,AMERICAN CANYON,Napa,,101 W AMERICAN CANYON RD,Food Service,ABC License Data,INDEPENDENT
CANYON CAFE,AMERICAN CANYON,Napa,,3845 BROADWAY ST,Restaurant,ABC License Data,INDEPENDENT
CHARDONNAY GOLF CLUB,AMERICAN CANYON,Napa,,2555 JAMESON CANYON RD,Food Service,ABC License Data,INDEPENDENT
CIRCLE K STORES,AMERICAN CANYON,Napa,,112 LOMBARD RD,Food Service,ABC License Data,INDEPENDENT
CITATION WINE,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License Data,INDEPENDENT
DEUTSCH FAMILY WINE & SPIRITS,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License Data,INDEPENDENT
ETHICA WINES,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
FORTHRIGHT WINERY,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License Data,INDEPENDENT
FOUR BEARS WINERY,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License Data,INDEPENDENT
GOLD MEDAL WINE GROUP  LLC,AMERICAN CANYON,Napa,,255 LOMBARD RD,Food Service,ABC License Data,INDEPENDENT
HALBY MARKETING INC,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License Data,INDEPENDENT
HARLAN ESTATE WINERY INC,AMERICAN CANYON,Napa,,5555 NAPA VALLEJO HWY,Food Service,ABC License Data,INDEPENDENT
HOBEL WINES,AMERICAN CANYON,Napa,,177 TOWER RD,Food Service,ABC License Data,INDEPENDENT
HUB & SPOKE WINE CO,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License Data,INDEPENDENT
INDIGO WINE GROUP,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License Data,INDEPENDENT
ISRAELI WINE DIRECT,AMERICAN CANYON,Napa,,5555 BROADWAY,Food Service,ABC License Data,INDEPENDENT
JCOMMERCE WINE,AMERICAN CANYON,Napa,,255 LOMBARD RD.  STE K,Food Service,ABC License Data,INDEPENDENT
JUNCTION BREWERY & GRILL,AMERICAN CANYON,Napa,,110 W AMERICAN CANYON RD,Food Service,ABC License Data,INDEPENDENT
KING ESTATE WINERY,AMERICAN CANYON,Napa,,760-820 HANNA DR,Food Service,ABC License Data,INDEPENDENT
LARUE WINES,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License Data,INDEPENDENT
