id,name,city,state,phone,address,issue,suggested_action
1,20 Coffee Shop 1,Long Beach,CA,(213) 782-2120,,placeholder_name,VERIFY_PHONE
2,20 Restaurant 2,Santa Ana,CA,(213) 131-6113,,placeholder_name,VERIFY_PHONE
3,20 Bistro 3,San Jose,CA,,,placeholder_name,DELETE
4,20 Bistro 4,Sacramento,CA,,,placeholder_name,DELETE
5,20 Taqueria 5,Oakland,CA,(213) 695-1419,,placeholder_name,VERIFY_PHONE
6,20 Restaurant 6,San Francisco,CA,(415) 354-1423,,placeholder_name,VERIFY_PHONE
7,20 Taqueria 7,Anaheim,CA,(213) 717-7756,,placeholder_name,VERIFY_PHONE
8,20 Diner 8,San Jose,CA,(408) 326-8497,,placeholder_name,VERIFY_PHONE
9,20 Coffee Shop 9,Los Angeles,CA,(213) 843-8836,,placeholder_name,VERIFY_PHONE
10,20 Restaurant 10,San Jose,CA,(408) 664-1157,,placeholder_name,VERIFY_PHONE
11,20 Cafe 11,San Diego,CA,(619) 214-1993,,placeholder_name,VERIFY_PHONE
12,20 Coffee Shop 12,San Diego,CA,(619) 932-7870,,placeholder_name,VERIFY_PHONE
13,20 Coffee Shop 13,San Jose,CA,(408) 276-5895,,placeholder_name,VERIFY_PHONE
14,20 Bistro 14,San Francisco,CA,(415) 389-2585,,placeholder_name,VERIFY_PHONE
15,20 Coffee Shop 15,San Diego,CA,(619) 440-1959,,placeholder_name,VERIFY_PHONE
16,20 Bistro 16,Oakland,CA,(213) 932-6226,,placeholder_name,VERIFY_PHONE
17,20 Diner 17,Oakland,CA,(213) 145-3194,,placeholder_name,VERIFY_PHONE
18,20 Restaurant 18,San Jose,CA,(408) 183-4617,,placeholder_name,VERIFY_PHONE
19,20 Restaurant 19,Los Angeles,CA,(213) 336-2816,,placeholder_name,VERIFY_PHONE
20,20 Cafe 20,Santa Ana,CA,(213) 445-1815,,placeholder_name,VERIFY_PHONE
