business_name,pos_system,status_notes,annual_projection,contact,phone,phone_2,address,city,state,email,priority
Sol Food -  Commissary,SUPPLY ONLY,,,Victor,415-595-4867,,79 Mitchell Blvd,San Rafael,Ca,,1.0
Sushi Ko,SUPPLY ONLY,,,Ty ,415-461-8400,415-461-8403,1819 Larkspur Landing Circle,Larkspur,Ca,,1.0
Bagdad Café,SUPPLY ONLY,AH,,Gilbert,760-257-3101,,0.0775,,S BERN,46548 National Trails Hwy,1.0
Barrel House Tavern,SUPPLY ONLY,AH,Aloha,Mark,415-729-9593,,0.0875,0.09,Saus,660 Bridgeway,1.0
Bistro 45,SUPPLY ONLY,,,Robert Simon,626-795-2478,626-644-9387 cell,45 South Mentor Avenue,Pasadena,Ca,edward@welldonebooks.com,1.0
Boca Pizza - Corte Madera,SUPPLY ONLY,Will check on supplies,,George,415-924-3021,510-734-9054,1544 Redwood Highway,Corte Madera,Ca,,1.0
"Bruno's Deli, Market, Café",SUPPLY ONLY,Last order 3/2021,,Steve,415-785-7487,,1304 2nd St,San Rafael,Ca,,1.0
Buckeye Roadhouse,SUPPLY ONLY,Order every 6 weeks,,Peter Schumacher,415-331-2600,415-990-2013,15 Shoreline Highway,Mill Valley,Ca,peterschumacher2@gmail.com,1.0
Boboquivari's,SUPPLY ONLY,AH,,Thomas,415-441-8880,,0.085,,SF,1450B Lombard St,1.0
Boca Pizza - Novato,SUPPLY ONLY,RF,,Mario,415-883-2302,,0.085,0.09,Novato,454 Ignacio Blvd,1.0
Boca Tavern,SUPPLY ONLY,RF,,Brian Penly,415-883-0901,,0.085,0.09,Novato,340 Ignacio Blvd,1.0
Bombay Clay Pit,SUPPLY ONLY,AH,,Bryan,925-240-1466,,0.0875,0.085,CC,3130 Balfour Road Suite E,1.0
Arya Global Cuisine - RWC,SUPPLY ONLY,AH,,Mike,650-367-4939,,0.0925,0.0875,Redwood,885 Middlefield Road,1.0
Ashbury Tobacco Center,SUPPLY ONLY,AH,,Mark,415-552-5556,,0.085,0.0875,SF,1524 Haight Street,1.0
Britannia Arms - Almaden,SUPPLY ONLY,,,Michael,408-266-0550,,5027 Almaden Expressway,San Jose,Ca,,1.0
Rockridge Café,SUPPLY ONLY,,,Daniel,510-653-1567,510-589-6472,5492 College Avenue,Oakland,Ca,,1.0
Belvedere Tennis Club,SUPPLY ONLY,AH,,Ross,415-435-4792,,0.09,,MARIN,700 Tiburon Blvd,1.0
Best Beverage - Corp,SUPPLY ONLY,DF,,Jesse Gleuck,415-642-2410,,0.0875,0.09,SM,"485 Valley Drive, Suite A",1.0
Best Beverage - On the Rox,SUPPLY ONLY,DF,,Noah,310-278-9457,443-854-4373,0.1025,0.09,LA,9009 West Sunset Blvd,1.0
Best Beverage - Social Hall,SUPPLY ONLY,DF,,Eddie,415-777-1715,,0.085,0.0875,SF,1270 Sutter Street,1.0
Bierhaus,SUPPLY ONLY,AH,,Lindsey,415-387-5025,415-999-8467,0.0925,,ALA,360 40th Street,1.0
Black Bear Diner,SUPPLY ONLY,AH,,Marlene,408-842-9901,,0.09,,SC,395 Leavesley Road,1.0
Black Stallion Tap House & Saloon,SUPPLY ONLY,AH,,Jeff Desvoignes,916-988-4763,916-337-0542,0.0775,,SAC ,9353 Greenback Lane #8,1.0
Blue & Gold Fleet - Vallejo,SUPPLY ONLY,AH,,Anna,707-643-3779,,0.08375,0.0863,SOL,289 Mare Island Way,1.0
Alma de la Rosa Restaurant,SUPPLY ONLY,AH,,Max,626-564-8111,,0.1025,0.09,Pasa,41 Hugus Alley,1.0
Alotta's Deli,SUPPLY ONLY,RA,,Mike,650-967-0299,408-807-0575,0.085,,SC,2249 Grant Road,1.0
Amakara,SUPPLY ONLY,AH,,Myly,925-803-8485,925-992-9819,0.0925,0.095,ALA,7222 Regional Street,1.0
AmeriPark,SUPPLY ONLY,AH,,Armando,925-287-5048,,0.0875,,CC,1275 Broadway Plaza Mgmt Office,1.0
Ampco Parking - Downtown Plaza,SUPPLY ONLY,AH,,Mark,916-441-5213,,0.0875,0.085,Sacmen,597 L Street,1.0
Arby's - Orange,SUPPLY ONLY,JS,,April Matthews,714-496-2830,714-282-9313,0.0775,0.08,OR,1107 N. Tustin,1.0
Bay Café,SUPPLY ONLY,AH,,Kimberly,415-456-2365,415-302-7282,0.0925,0.0925,San Raf,2165 Francisco Blvd. East,1.0
Beep's Burger,SUPPLY ONLY,AH,,Carter Nguyen,415-584-2650,415-530-9875,0.085,0.0875,SF,1051 Ocean Avenue,1.0
Valley Tavern,SUPPLY ONLY,AH,,Vince,415-285-0674,415-595-7636,0.085,0.0875,SF,4054 24th Street,1.0
Villa Sport-  Colorado Springs ++++,SUPPLY ONLY,RF,Micros,Willie,719-522-1221,,0,,O/S,5904 Prairie Schooner Drive,1.0
Villa Sport-  Cypress  ++6025++,SUPPLY ONLY,RF,Micros,Antoine,832-225-3035,,0,,O/S,12951 Baker Cypress Road,1.0
Villa Sport-  San Jose ++++,SUPPLY ONLY,RF,Micros,Will,408-785-0320,,0.0925,,SanJose,1167 N. Capitol Avenue,1.0
Vin Antico,SUPPLY ONLY,DK,,Manager,415-721-0600,,0.0925,0.0925,San Raf,881 4th Street,1.0
Vino,SUPPLY ONLY,AH,,Carl,510-652-6317,,0.0925,0.095,ALA,6319 College Avenue,1.0
Vintner's Golf Club,SUPPLY ONLY,DD,,Harrell,707-944-1992,,0.0775,,NAPA,7901 Solano Avenue,1.0
West Brooklyn Pizza,SUPPLY ONLY,DF,,Renato,415-453-7914,,0.0925,,San Raf,900 Andersen Drive,1.0
Yoppi Yogurt - Fillmore,SUPPLY ONLY,LG,,Irene,415-345-0018,,0.085,0.0875,SF,2208 Fillmore St,1.0
Yoppi Yogurt,SUPPLY ONLY,LG,,Mohammad,415-453-3333,,0.085,0.0875,SF,Westfield San Francisco Center 865 Market Street,1.0
Bellam Self Storage,SUPPLY ONLY,set call back schedule,,Andree,415-454-1983,,24 Bellam Blvd,San Rafael,Ca,,1.0
Ben Franklin,SUPPLY ONLY,flup set for 3 months,,Jennifer,530-273-1348,,598 Sutton Way,Grass Valley,Ca,,1.0
City of San Rafael,SUPPLY ONLY,Toner MICR Ink,,Sara Smith,415-485-3066,,1400 Fifth Ave,San Rafael,Ca,sara.smith@cityofsanrafael.org,1.0
Coco's Mercado,SUPPLY ONLY,call schedule 1 per month,,Maria,510-445-1880,,40919 Fremont Blvd (Rick-Mark),Fremont,Ca,abundiz.maria@yahoo.com,1.0
Dino's Burgers,SUPPLY ONLY,Orders every 3 months,,George,714-542-8927,,2217 W. First Street,Santa Ana,Ca,,1.0
Vallejo Elk Lodge,SUPPLY ONLY,AH,,Pete McMullen,707-643-0301,,0.08375,0.08625,SOL,2850 Redwood Parkway,1.0
Yoppi Yogurt - Redwood City,SUPPLY ONLY,LG,,Brad,650-556-1602,,0.0925,0.09,Redwood,851 Middlefield Rd,1.0
Atwater Tavern,SUPPLY ONLY,sent email to John orders every two months,,John Caine,415-512-7153,,295 Terry A Francois Blvd,San Francisco,Ca,fanny@atwatertavern.com,1.0
Bacco Ristorante Italiano,SUPPLY ONLY,No call needed,,Shari,415-370-2191,,3913 24th Street,San Francisco,Ca,,1.0
Baja Fresh- Reno,SUPPLY ONLY,AH,,Leanne,775-826-8900,,0,,O/S,5140 Kietzke Lane Ste A,1.0
Baker St Café,SUPPLY ONLY,Last order 6/2021,,Kevin,650-593-0103,,254 Redwood Shores Pkwy,Redwood City,Ca,,1.0
Bar Bocce,SUPPLY ONLY,Last order 3/2021,,Gary Newman,415-331-0555,,1250 Bridgeway Blvd,Sausalito,Ca,gary@barbocce.com,1.0
Barrel Head Brewhouse,SUPPLY ONLY,,,Natasha Gatto,415-416-6989,,1785 Fulton Street,San Francisco,Ca,natasha@barrelheadsf.com,1.0
Yoppi Yogurt - Palo Alto,SUPPLY ONLY,LG,,Chao,909-896-2366,,0.0875,0.09,SM,429 University Ave,1.0
Bungalow 44,SUPPLY ONLY,Orders every 10 weeks,,Peter Schumacher,415-381-2500,415-990-2013,44 E. Blithedale Road,Mill Valley,Ca,peterschumacher2@gmail.com,1.0
5th Street Steakhouse,SUPPLY ONLY,Called left message,,Traci,530-891-6328,,345 W. 5th Street,Chico,Ca,wearschico@yahoo.com,1.0
Yuzu,SUPPLY ONLY,RF,SH ER-A771,Fred,415-775-1873,,0.085,0.0875,SF,3347 Fillmore Street,1.0
Yoshi's Restaurant & Jazz Club,SUPPLY ONLY,RF,,Rocio Sanchez,510-238-4205,,0.0925,0.095,ALA,510 Embarcadero West,1.0
Yoppi Yogurt - Westfield,SUPPLY ONLY,LG,,Haamid,415-543-3333,,0.085,0.0875,SF,845 Market St,1.0
Anaheim White House,SUPPLY ONLY,sent email 8/18,,Sylvano,714-772-1381,,887 S. Anaheim Blvd,Anaheim,Ca,,1.0
Yoppi Yogurt - San Francisco,SUPPLY ONLY,LG,,Brandon,415-441-2155,,0.085,0.0875,SF,2125 Polk St,1.0
Angela's Kitchen,SUPPLY ONLY,Last order 4/29,,Saboor,510-263-8788,510-333-4874,1640 Park Street,Alameda,Ca,zboor58@gmail.com,1.0
Duboce Park Café,SUPPLY ONLY,,,Jose,415-621-1108,, ,San Francisco,Ca,pablo@doloresparkcafe.com,1.0
Eddie Papa's,SUPPLY ONLY,Monthly call back Last order 6/2021,,Eddie,925-469-6266,,4889 Hopyard Road,Pleasanton,Ca,edwardw@eddiepapas.com,1.0
El Toro Taqueria,SUPPLY ONLY,No call needed,,Gary,415-431-3351,,598 Valencia Street,San Francisco,Ca,garyespinoza@gmail.com,1.0
Epic Steak,SUPPLY ONLY,will contact monthly,,Lydia,415-369-9955,,369 The Embarcadero,San Francisco,Ca,reservations@epicsteak.com,1.0
Ernest - San Francisco,SUPPLY ONLY,,,James,415-342-7676,,1890 Bryant St,San Francisco,Ca,info@ernestsf.com,1.0
Every Little Thing Jamaican,SUPPLY ONLY,once a year,,Victor,707-639-9358,,301 Marina Center,Suisun,Ca,,1.0
Farmstead Restaurant,SUPPLY ONLY,email orders as needed,,Adam,707-963-4555,707-738-6852,738 Main Street,St. Helena,Ca,evan@longmeadowranch.com,1.0
Fattoria E Mare,SUPPLY ONLY,,,Pablo,650-342-4922,,315 Main St,Half Moon Bay,Ca,pablo@fattoriaemare.com,1.0
Taco Time - Auburn,SUPPLY ONLY,AH,,Laura Bice,253-375-1020,,0,0,O/S,"4003 A Street, SE",1.0
Tacolicious - North Beach,SUPPLY ONLY,RF,,Michael,415-433-1800,,0.085,0.0875,SF,1548 Stockton Street,1.0
Tacolicious- Chestnut,SUPPLY ONLY,RF,,Ryan,415-346-1960,,0.085,0.0875,SF,2031 Chestnut Street,1.0
Tacolicious-Valencia St,SUPPLY ONLY,RF,,Julia,415-734-1099,,0.085,0.0875,SF,741 Valencia Street,1.0
Tacolocious- Palo Alto,SUPPLY ONLY,RF,,Alejo,650-838-0500,,0.09,0.0875,SC,632 Emerson Street,1.0
Diyar,SUPPLY ONLY,,,Sal,510-845-5300,,2511 Durant Avenue,Berkeley,Ca,,1.0
Dolores Park Café,SUPPLY ONLY,call back 8/23 orders every 3 months,,Kurt,415-621-2936,,501 Dolores Street,San Francisco,Ca,dan@doloresparkcafe.com,1.0
Domino's - Clayton,SUPPLY ONLY,,,Dan Brumleve,925-980-1105,925-944-5400,3544 Clayton Road,Concord,Ca,,1.0
Teriyaki Madness - Wheatridge,SUPPLY ONLY,AH,,Steve,720-767-4581,,0,,O/S,3500 Youngfield Street,1.0
Teriyaki Madness- Chandler,SUPPLY ONLY,AH,,Isaac,480-306-7807,480-584-5353,0,,O/S,4225 S Gilbert Rd,1.0
Teriyaki Madness- Gilbert,SUPPLY ONLY,AH,,Keith,480-306-7807,,0,,O/S,3131 S. Market Street # 108,1.0
Teriyaki Madness- Macomb,SUPPLY ONLY,AH,,Barney,586-566-6288,,0,,O/S,15619 Hall Road,1.0
Terrapin Crossroads,SUPPLY ONLY,DK,ALOHA,Nathan Clark,415-524-2773,,0.0925,0.0925,San Raf,100 Yacht Club Drive,1.0
Sutro's (at Cliff House),SUPPLY ONLY,AH,,Mary Ing,415-386-3330,415-666-4023,0.085,0.0875,SF,1090 Point Lobos Avenue,1.0
Sutter St. Steakhouse,SUPPLY ONLY,AH,,Eric Freedle,916-351-9100,,0.0775,0.08,Folsom,604 Sutter Street,1.0
Sutter St. Steakhouse,SUPPLY ONLY,AH,,Eric Freedle,916-351-9100,,0.0775,0.08,Folsom,604 Sutter Street,1.0
Discount Cigarettes - Vallejo,SUPPLY ONLY,,,Mgr,707-643-7037,,601 Tennessee St,Vallejo,Ca,94590,1.0
Divino,SUPPLY ONLY,Last order 5/2021,,Goran,310-472-0886,,11714 Barrington Court,Los Angeles,Ca,divinobrentwood@gmail.com,1.0
Talesai,SUPPLY ONLY,RF,,Sumitra,310-275-9724,,0.1025,0.09,LA,9043 Sunset Boulevard,1.0
Taqueria De Amigos,SUPPLY ONLY,AH,,Norman,650-879-0232,,0.0875,0.09,SM,1999 Pescadero Road,1.0
