Name,Tribe,Address,City,State,Zip,Phone,Website,Gaming Types,Hotel Rooms
Pechanga Resort Casino,Pechanga Band of Luiseño Indians,45000 Pechanga Parkway,Temecula,CA,92592,(951) 693-1819,pechanga.com,Slots|Table Games|Poker,1077
Morongo Casino Resort & Spa,Morongo Band of Mission Indians,49500 Seminole Drive,Cabazon,CA,92230,(951) 849-3080,morongocasinoresort.com,Slots|Table Games|Poker|Bingo,310
Agua Caliente Casino Palm Springs,Agua Caliente Band of Cahuilla Indians,401 East Amado Road,Palm Springs,CA,92262,(760) 323-5862,aguacalientecasinos.com,Slots|Table Games,
Agua Caliente Resort Casino Spa Rancho Mirage,Agua Caliente Band of Cahuilla Indians,32250 Bob Hope Drive,Rancho Mirage,CA,92270,(760) 321-2000,aguacalientecasinos.com,Slots|Table Games|Poker,340
Fantasy Springs Resort Casino,Cabazon Band of Mission Indians,84245 Indio Springs Drive,Indio,CA,92203,(760) 342-5000,fantasyspringsresort.com,Slots|Table Games|Poker|Bingo,250
Spotlight 29 Casino,Twenty-Nine Palms Band of Mission Indians,46200 Harrison Street,Coachella,CA,92236,(760) 775-5566,spotlight29.com,Slots|Table Games|Bingo,
Augustine Casino,Cabazon Band of Mission Indians,84-001 Avenue 54,Coachella,CA,92236,(760) 391-9500,augustinecasino.com,Slots|Table Games,
Tortoise Rock Casino,Twentynine Palms Band of Mission Indians,73829 Baseline Road,Twentynine Palms,CA,92277,(760) 361-6300,tortoiserockcasino.com,Slots|Table Games,
Soboba Casino Resort,Soboba Band of Luiseño Indians,22777 Soboba Road,San Jacinto,CA,92583,(951) 665-1000,sobobacasino.com,Slots|Table Games|Poker,200
San Manuel Casino,San Manuel Band of Mission Indians,5797 North Victoria Avenue,Highland,CA,92346,(909) 864-5050,sanmanuelcasino.com,Slots|Table Games|Poker,432
Yaamava' Resort & Casino,San Manuel Band of Mission Indians,777 San Manuel Boulevard,Highland,CA,92346,(909) 864-5050,yaamava.com,Slots|Table Games|Poker,432
Pala Casino Spa & Resort,Pala Band of Mission Indians,11154 Highway 76,Pala,CA,92059,(760) 510-5100,palacasino.com,Slots|Table Games|Poker|Bingo,507
Valley View Casino & Hotel,San Pasqual Band of Diegueño Indians,16300 Nyemii Pass Road,Valley Center,CA,92082,(760) 291-5500,valleyviewcasino.com,Slots|Table Games|Poker,108
Harrah's Resort Southern California,Rincon Band of Luiseño Indians,777 Harrah's Rincon Way,Funner,CA,92082,(760) 751-3100,harrahssocal.com,Slots|Table Games|Poker,1042
Barona Resort & Casino,Barona Band of Mission Indians,1932 Wildcat Canyon Road,Lakeside,CA,92040,(619) 443-2300,barona.com,Slots|Table Games|Poker|Bingo,400
Viejas Casino & Resort,Viejas Band of Kumeyaay Indians,5000 Willows Road,Alpine,CA,91901,(619) 445-5400,viejas.com,Slots|Table Games|Poker|Bingo,237
Jamul Casino,Jamul Indian Village,14145 Campo Road,Jamul,CA,91935,(619) 669-9000,jamulcasinosd.com,Slots|Table Games|Poker,
Chukchansi Gold Resort & Casino,Picayune Rancheria of Chukchansi Indians,711 Lucky Lane,Coarsegold,CA,93614,(559) 642-6000,chukchansigold.com,Slots|Table Games|Poker|Bingo,402
Mono Wind Casino,Mono Tribe,37302 Rancheria Lane,Auberry,CA,93602,(559) 822-5366,monowindcasino.com,Slots|Table Games,
Table Mountain Casino,Table Mountain Rancheria,8184 Table Mountain Road,Friant,CA,93626,(559) 822-7777,tablemountaincasino.com,Slots|Table Games|Poker|Bingo,145
Tachi Palace Casino Resort,Santa Rosa Rancheria,17225 Jersey Avenue,Lemoore,CA,93245,(559) 924-7751,tachipalace.com,Slots|Table Games|Poker|Bingo,255
Eagle Mountain Casino,Tule River Indian Tribe,681 South Reservation Road,Porterville,CA,93257,(559) 788-6225,eaglemtncasino.com,Slots|Table Games|Poker,
Kern Valley River Casino,Kern River Paiute Tribe,16146 Casino Drive,Lake Isabella,CA,93240,(760) 379-5646,kernvalleyrivercasino.com,Slots,
Cache Creek Casino Resort,Yocha Dehe Wintun Nation,14455 State Highway 16,Brooks,CA,95606,(530) 796-3118,cachecreek.com,Slots|Table Games|Poker|Bingo,415
Twin Pine Casino & Hotel,Middletown Rancheria of Pomo Indians,22223 Highway 29,Middletown,CA,95461,(707) 987-0197,twinpine.com,Slots|Table Games,59
River Rock Casino,Dry Creek Rancheria Band of Pomo Indians,3250 Highway 128,Geyserville,CA,95441,(707) 857-2777,riverrockcasino.com,Slots|Table Games|Poker,
Graton Resort & Casino,Federated Indians of Graton Rancheria,288 Golf Course Drive West,Rohnert Park,CA,94928,(707) 588-7100,gratonresortcasino.com,Slots|Table Games|Poker|Bingo,342
Sky River Casino,Wilton Rancheria,10000 Sky River Parkway,Elk Grove,CA,95757,(916) 866-4567,skyrivercasino.com,Slots|Table Games|Poker,145
Thunder Valley Casino Resort,United Auburn Indian Community,1200 Athens Avenue,Lincoln,CA,95648,(916) 408-7777,thundervalleyresort.com,Slots|Table Games|Poker|Bingo,402
Jackson Rancheria Casino Resort,Jackson Rancheria Band of Miwok Indians,12222 New York Ranch Road,Jackson,CA,95642,(209) 223-1670,jacksoncasino.com,Slots|Table Games|Poker|Bingo,146
Gold Country Casino Resort,Enterprise Rancheria,4020 Olive Highway,Oroville,CA,95966,(530) 538-5300,goldcountrycasino.com,Slots|Table Games|Poker|Bingo,112
Rolling Hills Casino,Paskenta Band of Nomlaki Indians,2655 Barham Avenue,Corning,CA,96021,(530) 528-3500,rollinghillscasino.com,Slots|Table Games|Poker|Bingo,100
Win-River Resort & Casino,Redding Rancheria,2100 Redding Rancheria Road,Redding,CA,96001,(530) 243-3377,winrivercasino.com,Slots|Table Games|Poker,84
Cher-Ae Heights Casino,Trinidad Rancheria,27 Scenic Drive,Trinidad,CA,95570,(707) 668-9770,cheraeheightscasino.com,Slots|Table Games|Bingo,22
Blue Lake Casino & Hotel,Blue Lake Rancheria,777 Casino Way,Blue Lake,CA,95525,(707) 668-5100,bluelakecasino.com,Slots|Table Games|Poker|Bingo,72
Bear River Casino Resort,Bear River Band of Rohnerville Rancheria,11 Bear River Drive,Loleta,CA,95551,(707) 668-5100,bearrivercasino.com,Slots|Table Games|Poker|Bingo,104
Lucky 7 Casino,Northfork Rancheria of Mono Indians,350 North Indian Road,Smith River,CA,95567,(707) 487-3366,lucky7casino.com,Slots|Table Games|Bingo,
Pit River Casino,Pit River Tribe,20265 Tamarack Avenue,Burney,CA,96013,(530) 335-2334,pitrivercasino.com,Slots|Table Games|Bingo,
Konocti Vista Casino,Big Valley Band of Pomo Indians,2755 Mission Rancheria Road,Lakeport,CA,95453,(707) 263-4404,konocti.com,Slots|Table Games|Bingo,
Robinson Rancheria Resort & Casino,Robinson Rancheria Band of Pomo Indians,1545 State Highway 20,Nice,CA,95464,(707) 262-4000,robinsonrancheria.com,Slots|Table Games|Poker|Bingo,80
Hopland Sho-Ka-Wah Casino,Hopland Band of Pomo Indians,13101 Nokomis Road,Hopland,CA,95449,(707) 744-1543,shokawah.com,Slots|Table Games,
Red Fox Casino,Cahto Tribe of the Laytonville Rancheria,400 Coates Drive,Laytonville,CA,95454,(707) 984-6800,redfoxcasino.com,Slots,
